beta,lam,A,min_cpar2,y_at_min,min_cperp2,window_lo,window_hi,verdict
1e-18,1e-07,20000002.9998,-693808741815.6953,45.16487384781474,5.025082788371845e-10,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,1e-06,2000002.9999980002,-6938078051690.546,45.16487384781474,5.02507600447503e-09,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,1e-05,200002.99999998,-69379843890355.43,45.16487384781474,5.0250081669620096e-08,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,0.0001,20002.9999999998,-693704790161551.2,45.16487384781474,5.024329892600172e-07,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,0.001,2002.999999999998,-6927696913430547.0,45.16487384781474,5.0175572062746056e-06,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,0.01,202.99999999999994,-6.835555131823338e+16,45.16487384781474,4.9508212237280926e-05,1.0100502512562815,45.16487384781474,UNSTABLE
1e-18,0.1,22.999999999999996,-6.033120398957119e+17,45.16487384781474,0.000436963786268175,1.0100502512562815,45.16487384781474,UNSTABLE
1e-16,1e-07,20000002.979999993,-1149870729.302411,40.14765463432131,5.025082793346677e-10,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,1e-06,2000002.9997999992,-11498691759.443727,40.14765463432131,5.025076004972514e-09,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,1e-05,200002.99999799993,-114985365283.98558,40.14765463432131,5.025008167011758e-08,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,0.0001,20002.99999997999,-1149698445867.4192,40.14765463432131,5.024329892605147e-07,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,0.001,2002.9999999997995,-11481486776168.393,40.14765463432131,5.017557206275103e-06,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,0.01,202.9999999999979,-113287773461395.2,40.14765463432131,4.950821223728142e-05,1.0100502512562815,40.14765463432131,UNSTABLE
1e-16,0.1,22.99999999999997,-999887739681000.8,40.14765463432131,0.0004369637862681755,1.0100502512562815,40.14765463432131,UNSTABLE
1e-15,1e-07,20000002.79999996,-146522238.1905783,37.852090391704785,5.025082838572425e-10,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,1e-06,2000002.997999996,-1465220390.671551,37.852090391704785,5.0250760094950836e-09,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,1e-05,200002.99997999956,-14652006091.742992,37.852090391704785,5.025008167464012e-08,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,0.0001,20002.99999979996,-146500283662.60727,37.852090391704785,5.024329892650369e-07,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,0.001,2002.9999999979957,-1463028044970.9236,37.852090391704785,5.017557206279621e-06,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,0.01,202.99999999997956,-14435690512680.408,37.852090391704785,4.950821223728589e-05,1.0100502512562815,37.852090391704785,UNSTABLE
1e-15,0.1,22.999999999999755,-127410659742341.7,37.852090391704785,0.0004369637862681797,1.0100502512562815,37.852090391704785,UNSTABLE
1e-14,1e-07,20000000.999999803,-50283882.16875801,35.687782015463945,5.025083290829808e-10,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,1e-06,2000002.9799999604,-502838097.60076076,35.687782015463945,5.025076054720701e-09,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,1e-05,200002.99979999603,-5028313048.627846,35.687782015463945,5.0250081719864515e-08,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,0.0001,20002.999997999603,-50276343236.4948,35.687782015463945,5.024329893102491e-07,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,0.001,2002.9999999799602,-502085718257.1613,35.687782015463945,5.017557206324713e-06,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,0.01,202.99999999979593,-4954077308670.165,35.687782015463945,4.9508212237329797e-05,1.0100502512562815,35.687782015463945,UNSTABLE
1e-14,0.1,22.99999999999757,-43725117115614.73,35.687782015463945,0.00043696378626821336,1.0100502512562815,35.687782015463945,UNSTABLE
1e-13,1e-07,19999983.000015996,-476147.4950028368,32.671125132993495,5.025087813404103e-10,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,1e-06,2000002.7999996198,-4761464.236729442,32.671125132993495,5.025076506977326e-09,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,1e-05,200002.99799995997,-47613995.29400475,32.671125132993495,5.02500821721131e-08,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,0.0001,20002.999979995995,-476075679.40210754,32.671125132993495,5.024329897624173e-07,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,0.001,2002.9999997995994,-4754339394.1636095,32.671125132993495,5.017557206776079e-06,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,0.01,202.99999999795966,-46911043377.59927,32.671125132993495,4.950821223777328e-05,1.0100502512562815,32.671125132993495,UNSTABLE
1e-13,0.1,22.9999999999757,-414040948068.1304,32.671125132993495,0.0004369637862685905,1.0100502512562815,32.671125132993495,UNSTABLE
1e-12,1e-07,19999803.00195998,-200569.17750653654,30.80305420071954,5.025133039146857e-10,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,1e-06,2000000.999998,-2005671.0163644345,30.80305420071954,5.02508102954339e-09,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,1e-05,200002.97999960202,-20056421.351341143,30.80305420071954,5.0250086694597044e-08,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,0.0001,20002.999799960002,-200537123.35706243,30.80305420071954,5.024329942840801e-07,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,0.001,2002.9999979959973,-2002668019.1758492,30.80305420071954,5.017557211289545e-06,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,0.01,202.999999979597,-19760315462.064255,30.80305420071954,4.950821224220629e-05,1.0100502512562815,30.80305420071954,UNSTABLE
1e-12,0.1,22.999999999756998,-174406262540.7937,30.80305420071954,0.00043696378627234537,1.0100502512562815,30.80305420071954,UNSTABLE
