time_ns,rmsd_nm
0.01,0.2206448331855432
0.02,0.14820855131423094
0.03,0.21076250994768847
0.04,0.20732514664854296
0.05,0.19640722778677464
0.06,0.2843070100397911
0.07,0.32542750281634913
0.08,0.34515259827116235
0.09,0.2869041692997887
0.1,0.32303194957711767
0.11,0.4197240059754258
0.12,0.4964375630524187
0.13,0.5754354508642131
0.14,0.5473400418772294
0.15,0.5097415381488617
0.16,0.5117615152281881
0.17,0.46482418904097106
0.18,0.40821998974162627
0.19,0.3380182251912319
0.2,0.3019808442392539
0.21,0.31118991665620377
0.22,0.3392615360783567
0.23,0.3543217634390659
0.24,0.39471390829167136
0.25,0.39937386415808873
0.26,0.4011734597409709
0.27,0.30211033218711614
0.28,0.29488329268189767
0.29,0.28752584251559976
0.3,0.290843249122813
0.31,0.3169419423778135
0.32,0.34241915879254503
0.33,0.4353635485537364
0.34,0.36665884469566046
0.35,0.4161006687085068
0.36,0.5172299957048009
0.37,0.4905639080132642
0.38,0.45683123488518035
0.39,0.48447876771781745
0.4,0.45010759052690114
0.41,0.32037315556090223
0.42,0.27551197906175057
0.43,0.2985108866090831
0.44,0.33950591949903447
0.45,0.32753789146172446
0.46,0.30046061766879867
0.47,0.2873119202447941
0.48,0.3385931302922701
0.49,0.3295584239157959
0.5,0.3845901031250146
0.51,0.35568844192577254
0.52,0.297271169188606
0.53,0.3214418366225789
0.54,0.3412716902078034
0.55,0.36288689937068325
0.56,0.24397771406698485
0.57,0.2960661462474965
0.58,0.3085845976513426
0.59,0.2978331429470458
0.6,0.26159431425133317
0.61,0.2473118360681808
0.62,0.3018908184573585
0.63,0.2784099014860359
0.64,0.25433426243239643
0.65,0.22182568185190935
0.66,0.22679072635849493
0.67,0.26941472094966995
0.68,0.3163089081060266
0.69,0.31599636159371347
0.7,0.2037376449727294
0.71,0.2280134734622382
0.72,0.28860660770674207
0.73,0.3198328780587816
0.74,0.42971448462999035
0.75,0.43605844040401703
0.76,0.36342065501336884
0.77,0.4620314056839726
0.78,0.44353422523587127
0.79,0.46813835351719174
0.8,0.4261447480667289
0.81,0.39084246376326887
0.82,0.42825008411554966
