time_ns,rmsd_nm
0.01,0.28284608064302924
0.02,0.30758661273104654
0.03,0.2348645383818835
0.04,0.23754550551564377
0.05,0.16871448800930663
0.06,0.24256545768000642
0.07,0.3267779237245662
0.08,0.3333696722230359
0.09,0.3356327009464012
0.1,0.2679473125580505
0.11,0.22211178476078006
0.12,0.12049221082502158
0.13,0.21585973077030082
0.14,0.1861393003172514
0.15,0.2613490280332104
0.16,0.2884061894939709
0.17,0.4013288200872051
0.18,0.4127856184978389
0.19,0.3639042408690498
0.2,0.32399139635080465
0.21,0.2804536333189052
0.22,0.2551182824846201
0.23,0.1908431273187265
0.24,0.17938456669882086
0.25,0.1820139792717342
0.26,0.18352722679266337
0.27,0.23603294815260786
0.28,0.2468006967173288
0.29,0.13541274825024596
0.3,0.15727864275084427
0.31,0.2839094281440537
0.32,0.26612623845630257
0.33,0.253322576763446
0.34,0.21489064474774391
0.35,0.1879709152798575
0.36,0.18397765484715417
0.37,0.26493542921299934
0.38,0.2546278485882106
0.39,0.29403288732821276
0.4,0.2031093825956067
0.41,0.26171847943425486
0.42,0.20682535933114599
0.43,0.27756373388582084
0.44,0.39392086643478597
0.45,0.5538884811592427
0.46,0.5411824158245812
0.47,0.5928277935286388
0.48,0.6027798653819206
0.49,0.5905869614957789
0.5,0.5953844195506225
0.51,0.6812540052163611
0.52,0.7102354599286698
0.53,0.8100047956092231
0.54,0.8055647298482198
0.55,0.8835046834485686
0.56,0.8882423619273988
0.57,0.8970870401840149
0.58,0.8678057315607689
0.59,0.9367430016123032
0.6,0.8957934803627592
0.61,0.9098192085796464
0.62,0.9220209086256508
0.63,0.9254967329651325
0.64,0.9144906439580256
0.65,0.8443483630116839
0.66,0.8570918887071326
0.67,0.8801206165737677
0.68,0.9292091437843908
0.69,0.9511340923443307
0.7,0.9365404820744251
0.71,0.9533962030196128
0.72,0.9376349778622981
0.73,0.9089126268547912
0.74,0.8837489075015319
0.75,0.7986739700596368
0.76,0.807116211520437
0.77,0.8008685342525871
0.78,0.8346035472574079
0.79,0.8322982166739913
0.8,0.7932162449409839
0.81,0.7899413829979882
0.82,0.8276054966877541
0.83,0.7928569005929804
0.84,0.6582626810242717
0.85,0.5461980466866445
0.86,0.5751280519199983
0.87,0.5580427354533545
0.88,0.6007345948025199
0.89,0.5913147685174514
0.9,0.5113160922000958
0.91,0.537448617744045
0.92,0.510897823190408
0.93,0.5234547969291056
0.94,0.4737127109804155
0.95,0.569184492134904
0.96,0.5878412235378078
0.97,0.5400781342673163
0.98,0.4987028634794234
0.99,0.46582206792787473
1.0,0.4757058454144327
1.01,0.44846677326978457
1.02,0.4550624723514698
1.03,0.4383857492887598
1.04,0.397773219904992
1.05,0.4418229824979958
1.06,0.44127858354707095
1.07,0.47735963980073365
1.08,0.3730724586649226
1.09,0.39071050030328897
1.1,0.4007830969917923
1.11,0.4579604054502353
1.12,0.5038642715048753
1.13,0.6049717391031303
1.14,0.5202420649807303
1.15,0.47467200187440256
1.16,0.545856187445362
1.17,0.6600662420224088
1.18,0.6850016536224471
1.19,0.7370312066587245
1.2,0.6749072164078989
1.21,0.5394449982284606
1.22,0.5046119756006049
1.23,0.5201337011666768
1.24,0.5746022217914534
1.25,0.5132015947722653
1.26,0.6131113486838108
1.27,0.6196110118442689
1.28,0.7082217906314436
1.29,0.7030975766093611
1.3,0.789303903148984
1.31,0.7989399059094376
1.32,0.7208724420396562
1.33,0.7078706219155367
1.34,0.7271964073908586
1.35,0.7479740010065572
1.36,0.8121555857703333
1.37,0.8003430722928817
1.38,0.7297839292730804
1.39,0.6840693771111546
1.4,0.7473521263801015
1.41,0.7159841768009352
1.42,0.5947813044795034
1.43,0.5078285637377495
1.44,0.4448299089306342
1.45,0.5827481622174017
1.46,0.7206225024780734
1.47,0.6123662769981815
1.48,0.5519776100907218
1.49,0.5223288165376191
1.5,0.5039137526645698
1.51,0.40526301102843004
1.52,0.4663466574865238
1.53,0.40829047795830054
1.54,0.44863326182553576
1.55,0.424251406961585
1.56,0.4568535163094841
1.57,0.48361852730590266
1.58,0.5167936840490456
1.59,0.5698872889940132
1.6,0.5610297704832593
1.61,0.5401053348841953
1.62,0.6099462840983478
1.63,0.6307504237621829
1.64,0.5340727069634364
1.65,0.49926509736548497
1.66,0.4698178545690078
1.67,0.4202288414921019
1.68,0.4363137447307256
1.69,0.38834933963999324
1.7,0.3932505336891779
1.71,0.26137830052543165
1.72,0.2467443037046534
1.73,0.26672342736614035
1.74,0.394511345086193
1.75,0.3146499325288766
1.76,0.308949646675121
1.77,0.28454998594045344
1.78,0.2967007589352496
1.79,0.2872137729507685
1.8,0.3648302244430627
1.81,0.4529618828192019
1.82,0.5569143408005656
1.83,0.5434239241437822
1.84,0.6693603236947371
1.85,0.6316154112493056
1.86,0.5982694958413115
1.87,0.6340916825069635
1.88,0.6453413131604299
1.89,0.6997549235068788
1.9,0.6991056887362764
1.91,0.6580959352125502
1.92,0.6647652916165379
1.93,0.6158496939968015
1.94,0.699613455219645
1.95,0.5695818655190223
1.96,0.6485040743556624
1.97,0.5359572394318652
1.98,0.6032413429493151
1.99,0.708548285481716
2.0,0.714588666661288
2.01,0.6869893080067797
2.02,0.7149437817916735
2.03,0.7714115127465307
2.04,0.7765679564912661
2.05,0.7256911188993677
2.06,0.6965291562652797
2.07,0.6772113109910225
2.08,0.6748597198600468
2.09,0.6564046363464746
2.1,0.7584007163637406
2.11,0.7441438712224928
2.12,0.8507905515439051
2.13,0.850256399522764
2.14,0.8009265388980513
2.15,0.866089098937927
2.16,0.7600790749127327
2.17,0.8250917904070069
2.18,0.832796970298903
2.19,0.7891279205902251
2.2,0.8146770570335674
2.21,0.8059594224757107
2.22,0.8545608172281182
2.23,0.8811785603356475
2.24,0.8925733702270374
2.25,0.895130055446611
2.26,0.8572942671952455
2.27,0.8876407229278962
2.28,0.8048340729563455
2.29,0.8606302268374413
2.3,0.8398410443996859
2.31,0.7926927157793263
2.32,0.7823495564970955
2.33,0.7543018379723859
2.34,0.7064969495822084
2.35,0.7274829045519529
2.36,0.7108067979413127
2.37,0.7232478292456618
2.38,0.7840951807710119
2.39,0.8387345984682221
2.4,0.8493511252071378
2.41,0.827007101555411
2.42,0.8242989197623033
2.43,0.7937475906980502
2.44,0.8187372348733234
2.45,0.7468077302176073
2.46,0.7404296785800487
2.47,0.733016500789541
2.48,0.7127349726677622
2.49,0.673030212767751
2.5,0.647231016754319
2.51,0.6072934124597125
2.52,0.5023762941442887
2.53,0.5241186598019226
2.54,0.5412710275002809
2.55,0.5222372190929118
2.56,0.6153361781986901
2.57,0.614859863481036
2.58,0.6115710755031222
2.59,0.6234352722179616
2.6,0.6954225503613148
2.61,0.6432781729163773
2.62,0.6283742899247379
2.63,0.6170551900704251
2.64,0.6674766415919091
2.65,0.6287876832329199
2.66,0.5122603390277459
2.67,0.5137423405376614
2.68,0.5227643818863026
2.69,0.5097822140754409
2.7,0.5488283688248698
2.71,0.539310164692885
2.72,0.5062144470680088
2.73,0.4854273585114517
2.74,0.5075872177316754
2.75,0.5010248457316886
2.76,0.46401192244263884
2.77,0.43034802734344485
2.78,0.44419544332064975
2.79,0.4950405185292698
2.8,0.4451183313459421
2.81,0.42733495350815726
2.82,0.48662761725762466
2.83,0.481775657468398
2.84,0.4809029626698201
2.85,0.4806273271040134
2.86,0.555409385929241
2.87,0.5538683050259893
2.88,0.5198395543668893
2.89,0.5329433745110926
2.9,0.5056559613672317
2.91,0.5149847555005352
2.92,0.5052542608665692
2.93,0.49157293695868437
2.94,0.48483231993776427
2.95,0.4657488512318319
2.96,0.43164498458111283
2.97,0.47863238827416976
2.98,0.4968548368914581
2.99,0.5015996764571479
3.0,0.5171974148189342
3.01,0.5558465835517029
3.02,0.557561767267819
3.03,0.546563462497377
3.04,0.5089059229109144
3.05,0.5154151786471651
3.06,0.5238132044970224
3.07,0.5592926663829513
3.08,0.5480273580813135
3.09,0.5197438335409812
3.1,0.5419299614058775
3.11,0.5268428032608073
3.12,0.4892159121178896
3.13,0.5841177668315298
3.14,0.5941565617073284
3.15,0.5682141568600706
3.16,0.5760487068651733
3.17,0.5433087602647635
3.18,0.5430024950613
3.19,0.5613704763113968
3.2,0.520962232396476
3.21,0.5783871503921652
3.22,0.5728762596508113
3.23,0.5430481929824466
3.24,0.6054822565750074
3.25,0.5749141136180742
3.26,0.5571799827504453
3.27,0.6253887781559292
3.28,0.6152925072424302
3.29,0.7063253457909077
3.3,0.7780949356027155
3.31,0.6483827254729241
3.32,0.6403551130611653
3.33,0.613974612211717
3.34,0.6254922977519092
3.35,0.6036326488058653
3.36,0.5646651124725054
3.37,0.5658301228570287
3.38,0.5192920579170571
3.39,0.5156057591904195
3.4,0.47874220369717185
3.41,0.4709685794725869
3.42,0.5180726181876971
3.43,0.533816044824733
3.44,0.5649204126012373
3.45,0.5752505677025991
3.46,0.5911082540152417
3.47,0.5305763777439921
3.48,0.5805929487637639
3.49,0.6150596519690811
3.5,0.6455114504318152
3.51,0.6977696452524115
3.52,0.6923518232051386
3.53,0.6002383428136988
3.54,0.6573580862006662
3.55,0.7156833829887413
3.56,0.6664921357042308
3.57,0.6995631053716652
3.58,0.6764203015680961
3.59,0.5849766151308969
3.6,0.5607934485370437
3.61,0.5914133807914204
3.62,0.5704398049607537
3.63,0.599617416605967
3.64,0.5852470057829351
3.65,0.6771112666028836
3.66,0.6078916742219822
3.67,0.6545662735225424
3.68,0.6030090630898679
3.69,0.6252610976149794
3.7,0.6574374383252517
3.71,0.7312995229913276
3.72,0.7401382542325993
3.73,0.7363783458125842
3.74,0.7229180431587325
3.75,0.6827279257740423
3.76,0.6868328624301185
3.77,0.756899327649035
3.78,0.8011964597706978
3.79,0.8045910580684008
3.8,0.7308986083603372
3.81,0.7507132204209988
3.82,0.7352504217467994
3.83,0.7090980686579781
3.84,0.6484867517549001
3.85,0.6133690622901311
3.86,0.596974202343645
3.87,0.5943630695766197
3.88,0.537069810309922
3.89,0.495828337971798
3.9,0.5117007476113536
3.91,0.42626139240705824
3.92,0.4967731865931935
3.93,0.4639311437526555
3.94,0.41460452150946375
3.95,0.47381108961333684
3.96,0.4982312525648975
3.97,0.497484564228309
3.98,0.5510212713129876
3.99,0.6089867401143447
4.0,0.5981772423845608
4.01,0.6704107278914078
4.02,0.7069846879971572
4.03,0.7072637687740063
4.04,0.7792464922471567
4.05,0.7260180541500701
4.06,0.771411397480509
4.07,0.7283288707617349
4.08,0.7458986118592444
4.09,0.6741132195608953
4.1,0.6607402619504867
4.11,0.6873784143107996
4.12,0.6934605235514378
4.13,0.610094679228082
