row,petroR50_r,modelMag_r
636,,
637,0.4708102,22.74797
638,6.252959,15.21858
639,,
641,1.955196,16.14349
642,,
644,,
645,,
646,1.238781,20.40165
647,0.5060136,22.10174
648,0.8339202,22.79251
651,,
653,0.6925234,19.00639
654,3.740339,14.82843
659,2.632321,16.4594
660,,
661,,
664,0.6236123,22.69531
665,3.526747,15.20926
666,2.769396,17.3968
667,1.410548,17.40411
668,1.359903,17.592
669,0.876193,21.76833
670,1.734657,18.22404
671,4.749395,18.81864
672,9.248778,14.34559
673,9.248778,14.34559
674,1.935401,20.87879
675,,
676,,
677,,
678,,
679,,
680,,
681,0.9503897,17.81807
684,3.42589,19.03982
687,,
688,1.107278,20.035
689,2.806497,15.64153
690,3.119484,17.18675
691,1.096144,21.51976
693,4.387424,14.98552
694,0.7108365,21.96748
695,1.419755,17.1307
696,,
698,5.770971,15.24714
699,5.770971,15.24714
700,2.484799,16.83035
701,3.724946,15.98973
702,1.526724,17.26211
703,1.843177,20.89843
705,0.6237292,22.42929
707,1.905396,17.98814
708,2.199774,18.51052
709,,
711,3.272249,17.03444
713,5.145501,15.70992
714,0.6783403,21.25174
715,0.6783403,21.25174
716,,
717,2.145791,17.15417
718,2.753121,19.89614
720,1.533061,19.20676
721,0.695915,21.16599
722,0.695915,21.16599
723,1.975618,18.38319
724,,
725,0.8747889,21.65102
726,1.417293,19.68662
727,,
728,2.022617,17.71182
729,3.344439,17.10427
730,1.406338,18.4894
731,2.641942,16.42801
732,3.838137,16.89517
733,,
734,1.760486,19.57171
735,2.051812,17.75581
736,1.856523,17.74393
737,0.7530443,21.30115
738,2.686794,18.35207
739,1.306638,20.42667
740,1.850727,18.20131
741,3.426021,17.29646
742,2.410697,19.18743
743,2.099875,17.69829
745,0.4699275,22.24846
746,2.859126,16.70482
747,0.8999652,22.31273
748,1.7762,17.77558
749,2.91387,17.12231
750,0.89689,19.12006
751,,
752,2.270181,17.12676
753,2.815493,17.70131
754,1.277372,18.12099
755,1.517524,20.14853
756,0.8192442,20.81361
757,2.302387,16.88303
758,,
759,1.248412,20.38616
760,6.533086,17.71992
761,6.718115,19.68326
762,1.42113,17.55393
763,1.492436,17.398
764,0.7023044,21.40354
765,2.001454,18.32589
766,1.603932,19.74694
767,2.5177,19.03875
768,,
769,1.742404,17.89386
770,,
771,2.023535,18.61134
772,1.027056,20.84644
773,0.7832894,20.9645
774,2.462741,17.9929
775,0.5850493,21.57281
776,2.363997,18.67429
777,0.9070818,20.36322
778,1.959635,18.78974
779,2.049667,17.57391
780,1.623168,19.06737
781,0.7726939,20.56779
782,1.899237,18.54737
783,1.77069,16.96799
784,1.171412,18.29688
785,1.666438,18.17933
786,1.295916,17.63999
787,1.485294,17.24044
788,,
789,1.039199,18.76993
790,2.618645,18.88136
791,0.7600291,22.25863
792,1.940177,18.17932
793,1.949958,18.19942
794,2.277479,17.01552
795,1.064312,19.14308
796,1.090011,20.87671
797,0.734224,20.71815
798,,
799,0.7360876,21.78208
800,2.016877,18.57655
801,,
802,1.829571,17.58108
803,1.593637,18.20568
805,1.565385,20.37619
806,0.6267508,22.30295
807,1.89975,18.42619
808,1.332796,19.10749
809,1.648822,18.99708
810,1.683236,19.7043
811,1.474025,18.81889
812,2.331186,18.03093
813,1.605529,18.66766
814,1.227956,17.74139
815,1.249192,18.96744
818,1.762105,18.74736
819,0.5686607,22.2641
820,1.568019,18.51786
822,0.6852105,20.19294
823,1.537607,17.97431
824,1.428027,20.13161
825,1.612227,19.01834
826,1.596504,20.41292
827,1.194587,18.44389
828,0.7192101,20.34921
829,0.8936358,20.70287
830,2.091735,19.50982
831,1.547868,18.36892
832,2.637825,18.09585
833,1.106352,19.81307
834,1.381504,19.84253
835,0.9093099,20.25862
836,1.108888,19.35526
837,0.8303851,20.15831
838,1.645324,18.43118
839,1.292345,18.14067
840,0.6471354,22.00903
841,1.942877,17.85397
842,0.8526552,18.67208
844,1.451622,19.34574
845,1.537135,17.34133
846,1.844827,17.62025
847,1.012608,20.84702
848,0.9248928,22.01392
849,,
850,1.111106,17.95802
851,1.430245,20.04635
852,1.452213,17.60365
853,1.719673,17.78616
854,,
855,1.59156,17.20148
856,0.8348547,18.75998
857,0.8167339,20.98787
858,1.248477,19.88206
859,0.5991655,22.5832
860,2.656828,17.53917
861,0.9052291,20.19473
862,0.53338,22.16714
864,1.270329,19.58537
865,1.211491,18.17789
866,0.8891909,18.89391
867,0.95916,21.17617
868,1.606206,17.7109
869,3.523776,16.74775
870,,
871,1.083786,18.40556
872,0.8237883,21.28357
873,1.228683,18.42896
874,,
875,1.605598,19.47372
876,0.967951,19.42134
877,1.897451,19.30562
878,1.069159,18.72431
879,1.42065,19.64269
880,0.7403893,20.25945
881,1.721856,19.27712
882,0.9200321,19.8025
883,0.9176651,19.02876
885,1.073744,19.53009
887,1.543012,19.24438
