row,h_ra,h_dec,petroR50_r,expRad_r,deVRad_r,fracDeV_r,modelMag_r
309,44.3902630912897,5.97695081636299,3.606745,3.850496,5.604323,0.909849,13.86569
311,,,,,,,
312,,,,,,,
314,170.255753847113,21.34013825573,0.7321236,0.5034514,0.495878,0.0,20.58715
315,170.255753847113,21.34013825573,0.7321236,0.5034514,0.495878,0.0,20.58715
323,208.529251012359,9.41544038323074,1.79687,0.7917525,1.184322,0.9581019,19.47721
324,279.994280330564,39.9818210181713,8.8058,8.971569,10.4481,1.0,13.2028
326,,,,,,,
328,,,,,,,
329,,,,,,,
332,,,,,,,
335,,,,,,,
336,176.442108152362,19.7737587977997,10.18239,8.847153,13.14977,1.0,12.56147
337,176.442108152362,19.7737587977997,10.18239,8.847153,13.14977,1.0,12.56147
338,162.840859754259,8.57773607334215,0.4540772,0.7471092,0.6920235,1.0,24.08285
339,162.840859754259,8.57773607334215,0.4540772,0.7471092,0.6920235,1.0,24.08285
340,162.840859754259,8.57773607334215,0.4540772,0.7471092,0.6920235,1.0,24.08285
341,138.748134985191,29.7349980168411,0.5211055,0.0009131375,0.0001821376,1.0,22.94554
342,138.748134985191,29.7349980168411,0.5211055,0.0009131375,0.0001821376,1.0,22.94554
343,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,197.037929049537,27.8266010988324,5.430675,4.595008,8.154612,1.0,14.71085
353,,,,,,,
355,339.876890574505,8.60491854774704,0.9737713,0.8741781,0.8821813,0.0,21.34035
356,,,,,,,
357,,,,,,,
359,,,,,,,
360,,,,,,,
362,203.689904263948,13.8536076528691,2.245121,3.283978,6.344594,0.0,20.91562
363,190.436830551243,35.0696017052163,0.6644488,0.3789972,0.2780491,0.0,21.09268
364,190.436830551243,35.0696017052163,0.6644488,0.3789972,0.2780491,0.0,21.09268
366,184.32185799223,16.3716134319701,5.76901,5.492125,9.942191,0.7069631,14.14869
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
376,,,,,,,
380,333.669595126303,5.07855861173525,5.637442,7.369437,21.96845,0.0,15.55902
381,333.669595126303,5.07855861173525,5.637442,7.369437,21.96845,0.0,15.55902
382,,,,,,,
