# Simulation 1: Chiral Fermion Zero-Mode Constraint
# Date: 2026-05-11T20:49:23.132
# N_sites = 24
# Eigenvalues:
1	-2.0
2	-1.9318516525781384
3	-1.9318516525781346
4	-1.7320508075688783
5	-1.7320508075688767
6	-1.4142135623730963
7	-1.4142135623730907
8	-1.0000000000000002
9	-0.9999999999999987
10	-0.5176380902050421
11	-0.5176380902050401
12	-2.4424906541753444e-15
13	0.0
14	0.5176380902050397
15	0.5176380902050404
16	0.9999999999999996
17	0.9999999999999998
18	1.414213562373094
19	1.4142135623730945
20	1.7320508075688772
21	1.7320508075688772
22	1.9318516525781364
23	1.9318516525781366
24	2.0
