z,Mstar,VC_kms,Reff_kpc,sigma0_kms
0.9976,4.0647e+10,228.00,8.592,101.94
0.8400,9.2264e+09,109.35,3.158,39.66
1.0404,4.5397e+10,229.28,5.042,38.98
0.9707,8.1102e+09,97.87,1.696,20.18
0.8217,9.4848e+09,192.04,2.192,46.46
0.8494,1.9277e+10,123.09,2.139,117.53
0.8611,4.2957e+09,117.75,4.080,37.35
0.8201,2.8644e+10,124.12,4.285,32.76
0.8391,3.1119e+10,141.18,3.155,26.35
0.8198,5.6109e+09,163.80,5.040,43.48
0.8939,1.4895e+10,178.78,5.689,53.34
0.9609,2.2132e+10,154.56,2.669,46.19
0.8231,1.3093e+10,142.24,3.900,60.33
0.9761,5.2605e+09,125.33,3.189,43.84
0.9860,3.0271e+09,41.84,1.182,40.07
0.8047,2.4268e+10,254.07,3.725,31.02
0.9819,3.1407e+10,204.77,5.369,70.59
0.9875,6.8082e+09,118.72,2.981,35.56
0.9815,1.9277e+10,182.87,5.367,47.58
0.8852,1.1403e+10,129.55,3.545,34.29
0.8477,9.1418e+09,161.60,1.920,24.19
0.8229,1.7580e+09,54.25,1.438,35.73
0.8420,1.0496e+10,168.25,3.372,45.23
0.9535,9.1418e+09,93.59,3.115,52.12
0.9810,4.0647e+09,119.32,2.222,19.76
0.8585,2.9446e+10,135.04,2.592,33.54
0.9905,2.4719e+09,51.06,3.236,35.08
0.9628,7.2616e+09,94.55,1.682,46.25
0.9631,3.8109e+09,161.92,2.907,32.16
0.9904,1.1299e+10,200.44,1.989,45.68
0.8407,5.9845e+09,77.18,2.117,28.20
0.8415,5.5594e+09,168.62,5.213,41.06
0.9638,9.8408e+09,47.66,2.910,45.40
0.9773,1.4895e+10,103.18,2.822,67.22
0.8218,1.8751e+10,282.53,1.922,65.75
0.8444,1.3965e+10,84.49,1.225,30.00
0.8044,2.2753e+09,43.13,3.811,28.58
0.9715,2.3390e+10,193.84,5.024,44.02
0.9593,2.4948e+09,94.10,3.502,48.15
0.9662,4.7537e+10,235.46,5.101,46.77
0.8043,1.6483e+09,63.52,2.498,43.82
0.8407,4.7977e+09,61.17,3.161,55.54
0.9644,1.3093e+10,194.03,2.912,33.66
0.9803,1.2503e+10,110.47,3.203,54.74
0.8637,7.7452e+09,115.14,3.435,46.94
0.8347,7.8892e+09,127.17,1.211,30.57
0.9045,1.4094e+10,150.89,3.623,35.90
0.9906,5.6109e+09,64.70,5.445,42.33
0.9909,2.1729e+10,133.84,5.124,45.32
0.8900,5.3092e+10,175.23,4.603,74.62
0.8375,2.5647e+10,95.95,3.148,21.73
0.8112,2.1332e+10,124.80,1.061,26.65
0.8072,1.2736e+10,149.13,2.949,15.19
0.8063,2.2963e+10,201.45,3.731,20.46
0.8092,2.1332e+10,189.60,1.059,44.26
0.8197,1.7101e+10,268.65,1.966,68.80
0.8086,1.1615e+10,152.93,1.058,13.74
0.8079,1.0400e+10,71.75,2.093,25.59
