idx,name,z,logMbar_Msun,Re_kpc,fDM_within_Re,Vc_Re_kms,sigma0_kms,g_Re_ms2,a0_Vc4_over_GMbar_ms2,a0_over_1.2e-10,deepMOND_g_lt_a0
61,zC 412369,2.02,10.64,4.38,0.45,197,94,2.8715e-10,2.5992e-10,2.166,0
62,K20 ID9,2.04,10.39,7.11,0.45,234,24,2.4958e-10,9.2012e-10,7.668,0
63,COS4 10347,2.06,10.51,5.19,0.21,220,46,3.0222e-10,5.4534e-10,4.545,0
64,COS4 13174,2.1,11.28,6.99,0.16,268,41,3.3300e-10,2.0395e-10,1.700,0
65,GS4 01529,2.12,9.63,4.5,0.11,313,64,7.0554e-10,1.6949e-08,141.246,0
66,CDFS 2954,2.13,10.97,4.29,0.55,324,114,7.9301e-10,8.8953e-10,7.413,0
67,zC 405501,2.15,10.68,7.13,0.21,89,61,3.6003e-11,9.8750e-12,0.082,1
68,COS4 08775,2.16,10.46,4.24,0.17,129,48,1.2719e-10,7.2333e-11,0.603,0
69,COS4 05094,2.17,10.77,4.95,0.3,223,50,3.2557e-10,3.1637e-10,2.636,0
70,SSA22 MD41,2.17,10.46,7.61,0.74,190,73,1.5373e-10,3.4040e-10,2.837,0
71,BX389,2.17,11.05,6.95,0.56,302,79,4.2528e-10,5.5848e-10,4.654,0
72,U4 36568,2.18,11.19,3.71,0.03,342,77,1.0217e-09,6.6540e-10,5.545,0
73,zC 407302,2.18,10.74,4.64,0.4,225,43,3.5358e-10,3.5133e-10,2.928,0
74,GS3 24273,2.19,10.84,7.69,0.27,211,23,1.8762e-10,2.1583e-10,1.799,0
75,U4 20704,2.19,11.39,8.89,0.19,234,80,1.9961e-10,9.2012e-11,0.767,0
76,COS4 05433,2.19,10.8,5.4,0.22,206,40,2.5468e-10,2.1500e-10,1.792,0
77,zC 406690,2.2,11.0,4.82,0.04,276,72,5.1217e-10,4.3713e-10,3.643,0
78,BX610,2.21,11.04,5.24,0.38,307,75,5.8290e-10,6.1028e-10,5.086,0
79,K20 ID8,2.22,10.7,5.67,0.16,168,45,1.6132e-10,1.1973e-10,0.998,0
80,U3 10584,2.22,10.61,6.17,0.4,181,57,1.7208e-10,1.9847e-10,1.654,0
81,K20 ID7,2.22,11.04,7.5,0.65,282,72,3.4362e-10,4.3449e-10,3.621,0
82,U4 13704,2.22,10.62,3.59,0.41,193,39,3.3625e-10,2.5073e-10,2.089,0
83,K20 ID5,2.22,11.18,2.48,0.07,174,100,3.9563e-10,4.5622e-11,0.380,0
84,K20 ID6,2.24,10.66,5.19,0.27,154,62,1.4809e-10,9.2696e-11,0.772,0
85,zC 400569,2.24,10.95,4.31,0.16,241,58,4.3672e-10,2.8513e-10,2.376,0
86,BX482,2.26,10.97,5.98,0.6,285,71,4.4018e-10,5.3255e-10,4.438,0
87,J0901+1814,2.26,11.09,4.33,0.06,209,55,3.2693e-10,1.1683e-10,0.974,0
88,zC 405226,2.29,10.19,6.15,0.69,167,68,1.4696e-10,3.7831e-10,3.153,0
89,COS4 02672,2.31,10.83,7.11,0.4,199,62,1.8050e-10,1.7474e-10,1.456,0
90,U3 06856,2.31,10.58,2.48,0.26,195,53,4.9689e-10,2.8650e-10,2.387,0
91,D3a 15504,2.38,11.11,6.61,0.24,234,69,2.6846e-10,1.7532e-10,1.461,0
92,D3a 6004,2.39,11.47,5.52,0.1,359,65,7.5665e-10,4.2399e-10,3.533,0
93,zC 400528,2.39,10.82,1.75,0.03,308,74,1.7567e-09,1.0261e-09,8.551,0
94,GS4 37124,2.43,10.73,4.14,0.39,253,66,5.0106e-10,5.7473e-10,4.789,0
95,COS4 06079,2.44,10.59,5.26,0.07,239,36,3.5193e-10,6.3179e-10,5.265,0
96,zC 413507,2.45,10.13,2.02,0.09,136,40,2.9674e-10,1.9104e-10,1.592,0
97,GS4 42930,2.45,10.39,3.67,0.28,154,50,2.0942e-10,1.7261e-10,1.438,0
98,zC 410041,2.45,9.88,4.45,0.63,124,56,1.1198e-10,2.3478e-10,1.957,1
99,COS4 19753,2.47,10.59,4.22,0.08,134,73,1.3789e-10,6.2431e-11,0.520,0
100,U3 25105,2.52,11.06,5.72,0.08,239,53,3.2363e-10,2.1408e-10,1.784,0
