# a0(z) measurements -- the decisive scaling-MOND dataset.
# Drop your z>2 measurements in as new rows and rerun:  python real_research/a0_decisive_pipeline.py
# columns:  z, a0_e10, sigma_e10, source         (a0 in 1e-10 m/s^2)
0.00, 1.20, 0.26, SPARC_McGaugh+2016
0.05, 1.69, 0.13, Varasteanu+2025
0.90, 2.38, 0.11, MUSE-DARK-III_2026
# ---- ADD z>2 ROWS BELOW (the decisive datum). Example format: ----
# 2.30, 4.10, 0.30, YOUR_JWST_NIRSpec_kinematics
# 3.50, 6.00, 0.40, YOUR_ALMA_[CII]_dispersion
