RAJ2000,DEJ2000,Ktmag,cz
58.61853,-35.96715,8.478,1343
16.85396,32.41256,8.456,5098
195.25330,-32.44135,8.475,5109
193.36386,-48.74919,8.509,3678
218.50519,-78.38750,8.508,2699
221.54631,-0.22301,8.424,1659
7.31275,2.86405,8.511,4241
198.74739,-16.59031,8.571,1887
231.89603,-64.17095,8.294,3260
331.70898,-64.31625,8.498,2881
193.95685,-12.05530,8.481,941
159.23349,21.88213,8.514,1321
330.13718,-43.38972,8.519,2417
348.70209,-43.59994,8.449,1557
194.30101,-13.66485,8.487,4358
107.08556,18.78025,8.475,2206
225.00172,1.89129,8.431,1355
202.86783,-34.79443,8.500,2425
234.13190,16.60785,8.514,1967
119.21788,60.34938,8.515,1442
339.44534,23.78669,8.549,1313
213.89261,36.22698,8.511,2870
176.45442,13.76670,8.490,3186
304.59702,-41.05016,8.474,5628
95.38657,59.12668,8.598,3111
152.21068,-67.03085,8.488,1397
159.14854,-27.51843,8.434,4039
181.11276,1.89601,8.479,5911
133.63544,-32.93748,8.528,2156
54.84709,-31.32143,8.604,1034
68.76662,73.26243,8.506,4221
252.72760,-61.81264,8.521,4706
333.90833,-45.85007,8.541,1915
291.70728,-54.95131,8.501,3165
317.96689,-49.28373,8.527,2766
198.49191,-49.47871,8.529,3487
145.92125,-20.47719,8.524,1994
159.44725,-27.08125,8.508,2990
319.63770,26.44691,8.531,4672
179.03102,-19.89618,8.449,1723
186.32538,4.92506,8.504,2559
316.28058,66.77304,8.497,2502
152.71733,-66.64742,8.549,1918
197.20309,-6.77754,8.472,1680
198.58429,-46.12486,8.492,3091
328.33432,-47.88245,8.499,1840
134.25465,-24.67375,8.540,2578
189.61842,4.31915,8.455,780
216.03163,34.85887,8.524,3892
217.91092,-43.41844,8.543,1973
185.89561,6.08174,8.527,1289
190.15353,-5.13301,8.530,2539
149.98143,-29.61780,8.478,2424
185.50935,-35.79274,8.628,2926
166.69789,72.56853,8.497,2649
23.77366,-7.34030,8.544,1823
29.38636,33.20928,8.542,5171
164.08678,-50.56024,8.557,2823
34.05539,70.68877,8.558,3605
218.90013,-45.96696,8.546,2852
76.36300,-11.87138,8.467,2299
177.20985,59.41562,8.544,3223
184.84270,6.09876,8.530,1776
191.08163,-40.73181,8.518,2896
289.59448,-60.50109,8.463,3686
39.63658,-6.67755,8.429,1453
114.11740,-47.63555,8.213,972
307.14090,-36.02712,8.595,2215
108.57268,84.38227,8.564,2222
245.45258,-2.28344,8.647,1581
108.88035,-29.35903,8.573,2098
192.05698,-3.33292,8.528,1126
138.38165,-63.62642,8.574,1903
51.55865,66.59373,8.544,1848
237.85513,62.31003,8.466,827
208.14957,0.81835,8.653,4443
170.42955,20.16957,8.476,4248
228.76353,42.04987,8.573,2562
217.33083,-33.45512,8.565,2922
59.90612,-67.63477,8.605,1341
311.14056,-68.74773,8.498,3114
54.45708,72.57133,8.573,2215
190.38647,7.31482,8.553,1783
186.34239,10.01672,8.324,948
193.28012,-10.49428,8.539,4430
354.45810,-47.72778,8.563,2844
174.75716,-37.73857,8.606,2817
196.05995,-10.33961,8.421,3188
234.98912,58.07939,8.491,3010
163.22357,-32.92762,8.580,3274
323.14688,-44.06756,8.566,2688
178.50642,-19.56877,8.673,1623
158.39934,-27.45445,8.560,3375
171.30370,-26.73688,8.485,1987
