Cluster,RAJ2000,DEJ2000,cz,e_cz,R,Mm
"RX0058",14.67344583333333,26.90947722222222,15795,88,3.7,1
"RX0058",14.697587499999997,26.977583888888883,13593,25,16.3,1
"RX0058",14.486720833333331,26.938156388888885,15753,19,14.4,1
"RX0058",14.851737499999999,27.059249166666664,13764,48,6.9,1
"RX0058",14.824662499999999,27.068539999999995,15518,75,4.6,1
"RX0058",14.853512499999997,27.122501111111106,14386,66,5.0,1
"RX0058",14.724058333333332,27.134345277777776,14901,25,10.7,1
"A671",126.83662916666665,30.153119999999994,62609,14,6.2,0
"A671",127.32860416666665,30.23703583333333,19329,29,5.4,0
"A671",127.21992499999999,30.24526083333333,15224,66,2.2,1
"A671",127.25135416666664,30.327710277777772,13864,17,13.5,1
"A671",127.36411249999998,30.275805277777774,19620,23,8.2,0
"A671",127.30592499999999,30.348801111111108,15954,31,5.9,1
"A671",127.34678333333332,30.39508833333333,19728,55,5.9,0
"A671",127.35895416666665,30.42470222222222,15297,35,5.6,1
"A671",127.41871249999998,30.48057583333333,52646,60,5.6,0
"A671",127.14392916666665,30.26645166666666,16538,26,15.4,1
"A671",127.10359583333332,30.300697499999995,16827,39,8.3,1
"A671",126.96194166666665,30.317853055555553,24218,47,3.0,0
"A671",127.09517499999998,30.35642472222222,12977,126,2.8,1
"A671",127.08974583333331,30.402662499999995,13864,46,6.5,1
"A671",127.13193749999998,30.431402222222218,15079,32,13.0,1
"A671",127.04189583333331,30.39809472222222,16717,15,9.9,1
"A671",127.23943749999998,30.397598333333328,16323,26,13.5,1
"A671",127.26740416666665,30.439516111111107,15412,20,7.3,1
"A671",127.41781666666665,30.53909972222222,15033,44,3.9,1
"A671",127.33593333333332,30.58091805555555,14121,39,4.2,1
"A671",127.20357499999999,30.47868805555555,14841,72,2.3,1
"A671",127.16104999999999,30.58544055555555,30106,69,5.2,0
"A671",127.30465416666665,30.58668194444444,15328,51,3.2,1
