plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
9182-6103,1-72325,9182,6103,120.705,40.4574,0.0421724,12.7694,0.674856,230.957,0.57135,0.702613,3.56559,5.816,4.83987,11.1125,11.4772,3.85584e-10,4.11949,0.317508,0.142774,0.249455,3.85584e-10,3.41225,0.30889,0.136763,0.24195,0,1
11760-3704,1-233420,11760,3704,193.265,49.8797,0.0314862,12.7682,0.896497,211.188,0.386049,0.881693,6,3.96861,2.49737,10.6645,11.1121,5.16204e-10,5.515,0.411439,0.233268,0.352784,5.16204e-10,4.56818,0.404638,0.228605,0.346769,1,1
9874-3701,1-591253,9874,3701,195.038,28.1704,0.0225232,12.7605,0.863907,138.207,0.559831,0.709213,2.71309,3.82356,1.73982,10.2143,10.5869,3.77229e-10,4.03022,0.324409,0.149962,0.31722,3.77229e-10,3.33831,0.315641,0.143839,0.308578,0,1
9498-3703,1-556749,9498,3703,120.017,23.4378,0.0291978,12.7584,0.581193,147.708,0.587219,0.885704,6,5.28527,3.09268,10.6411,10.8945,3.18903e-10,3.40708,0.19752,0.0254159,0.182741,3.18903e-10,2.82215,0.18754,0.0183659,0.173048,0,1
9887-3704,1-264886,9887,3704,238.28,27.7109,0.0819316,12.7525,0.655257,127.893,0.181728,0.829907,6,2.54687,3.92956,11.0548,10.8734,5.12171e-10,5.47191,-0.217926,-0.396013,-0.215961,5.12171e-10,4.53249,-0.224771,-0.400709,-0.222834,1,1
10515-1901,1-181880,10515,1901,147.325,5.56596,0.0241833,12.7038,0.523796,73.3066,0.531954,0.81185,1.13665,3.43556,1.67514,9.35564,10.0197,5.63391e-11,0.601913,0.451462,0.315504,0.502064,5.63391e-11,0.498576,0.425041,0.293385,0.47408,0,1
8657-6101,1-31788,8657,6101,9.3992,0.280662,0.0349048,12.679,0.985136,119.383,0.598117,0.676938,6,6.35903,4.41798,10.9605,10.8644,3.26102e-10,3.48399,-0.150895,-0.323325,-0.141045,3.26102e-10,2.88586,-0.160708,-0.330246,-0.151049,0,1
12491-3702,1-61949,12491,3702,165.109,1.65566,0.0397931,12.6619,0.47575,138.192,0.162792,0.932208,6,1.59427,1.2554,9.96348,10.4451,4.06619e-10,4.34423,0.436597,0.261184,0.429375,4.06619e-10,3.5984,0.428334,0.255441,0.421232,1,1
8597-3704,1-198180,8597,3704,224.616,48.4924,0.0376048,12.6276,0.942892,227.348,0.203387,0.909136,6,5.09981,3.8049,11.0852,11.359,5.85903e-10,6.25965,0.241619,0.0621697,0.173463,5.85903e-10,5.18499,0.235507,0.0580046,0.168171,1,1
8247-6101,1-217022,8247,6101,136.09,41.4817,0.0244671,12.599,0.615263,167.419,0.147877,0.875477,4.70725,5.37715,2.6517,10.6067,10.9365,4.00805e-10,4.2821,0.284167,0.108936,0.254234,4.00805e-10,3.54694,0.275809,0.103121,0.24637,1,1
8157-1902,1-41772,8157,1902,30.8767,12.5883,0.0463076,12.5842,0.508401,173.667,0.356381,0.96896,6,1.87782,1.70747,10.3965,10.7771,5.95798e-10,6.36536,0.34889,0.16928,0.313625,5.95798e-10,5.27255,0.342863,0.165177,0.308031,1,1
9882-1901,1-568619,9882,1901,207.08,25.1338,0.0306367,12.5585,0.545274,83.3378,0.569765,0.939321,4.01571,2.76071,1.69212,10.1252,10.1354,3.24765e-10,3.46972,-0.0447204,-0.217091,0.00638601,3.24765e-10,2.87403,-0.0545632,-0.224035,-0.00448736,0,1
9862-3704,1-623641,9862,3704,195.027,28.0041,0.0242459,12.5562,0.830535,111.371,0.547487,0.959724,6,3.33088,1.62818,10.2167,10.3706,4.33083e-10,4.62696,0.111374,-0.0648136,0.1297,4.33083e-10,3.8326,0.103519,-0.0702526,0.121546,0,1
8717-3701,1-584637,8717,3701,117.547,34.4153,0.0284197,12.5543,0.823383,185.94,0.177615,0.957369,6,4.0419,2.30425,10.617,10.9666,5.43484e-10,5.80645,0.315113,0.136407,0.271757,5.43484e-10,4.80959,0.308599,0.131953,0.265809,1,1
10514-1901,1-77742,10514,1901,143.691,3.09644,0.0235589,12.5341,0.889074,86.9868,0.492602,0.888709,6,3.47971,1.6541,10.1985,10.1628,4.02404e-10,4.29919,-0.0811405,-0.256422,-0.0339802,4.02404e-10,3.5611,-0.0894718,-0.262217,-0.0431393,0,1
8243-3704,1-47290,8243,3704,131.382,53.959,0.0307899,12.5173,0.633125,169.984,0.441755,0.789562,6,3.98847,2.45642,10.4696,10.9164,3.40631e-10,3.63922,0.394099,0.221045,0.362808,3.40631e-10,3.01443,0.384608,0.214372,0.353891,0,1
9862-1901,1-456594,9862,1901,194.783,27.855,0.021927,12.5125,0.979457,167.057,0.407586,0.934719,4.53164,3.7414,1.65857,10.3336,10.7308,5.46274e-10,5.83626,0.362831,0.184074,0.33247,5.46274e-10,4.83428,0.356345,0.179639,0.326384,0,1
9862-12701,1-455941,9862,12701,193.193,27.9068,0.018952,12.5107,0.7416,94.051,0.564654,0.789174,2.67856,2.7772,1.06793,9.71945,10.0406,3.20363e-10,3.42268,0.265472,0.0933013,0.302696,3.20363e-10,2.83507,0.255527,0.086278,0.292002,0,1
8978-3702,1-569098,8978,3702,247.919,42.4487,0.0714196,12.5104,0.649343,192.727,0.120902,0.849331,6,2.67066,3.63611,10.9467,11.1958,4.66284e-10,4.98166,0.209464,0.0324119,0.162247,4.66284e-10,4.1264,0.202068,0.0273118,0.155539,1,1
11946-3704,1-135829,11946,3704,250.553,38.7079,0.0625165,12.5034,0.573469,133.055,0.515077,0.859335,5.68186,3.05259,3.67616,10.8347,10.8788,3.52505e-10,3.76608,-0.0070444,-0.180576,-0.00975397,3.52505e-10,3.11951,-0.016288,-0.18706,-0.0189479,0,1
11754-3703,1-76488,11754,3703,131.128,2.29493,0.0505998,12.4787,0.721788,203.517,0.253939,0.975541,4.15757,3.97716,3.93149,11.0896,11.2771,5.54325e-10,5.92227,0.153589,-0.0253157,0.0991754,5.54325e-10,4.90553,0.147183,-0.0296927,0.0934622,1,1
11827-3703,1-197166,11827,3703,213.887,50.181,0.0441282,12.431,0.723027,229.644,0.153844,0.78141,6,4.78767,4.15921,10.9784,11.4064,3.83379e-10,4.09592,0.380628,0.205968,0.313286,3.83379e-10,3.39273,0.37197,0.199929,0.305736,1,1
11833-3701,1-176132,11833,3701,185.059,50.6482,0.0470675,12.4186,0.767887,172.961,0.399203,0.761468,5.519,4.34699,4.01387,10.9683,11.1448,4.02181e-10,4.2968,0.131068,-0.0442065,0.0972584,4.02181e-10,3.55912,0.122733,-0.0500039,0.0894772,1,1
12518-3702,1-2739,12518,3702,158.711,0.676384,0.0320346,12.3733,0.813815,133.193,0.222718,0.910214,3.66277,4.25269,2.72097,10.6951,10.749,4.66565e-10,4.98467,0.0142174,-0.162842,0.011319,4.66565e-10,4.12889,0.00682434,-0.167939,0.00396985,1,1
10001-3704,1-48223,10001,3704,134.91,56.8789,0.0307813,12.3607,0.742895,103.619,0.412813,0.933142,4.60186,3.85183,2.37163,10.5447,10.4712,4.34387e-10,4.64089,-0.115829,-0.292052,-0.0889714,4.34387e-10,3.84413,-0.123664,-0.297477,-0.0972469,0,1
8158-6104,1-52590,8158,6104,62.5264,-6.05165,0.0577918,12.3584,0.614671,150.89,0.568582,0.769082,4.15613,3.40064,3.80691,10.5759,11.0032,1.81148e-10,1.93534,0.336851,0.174497,0.320695,1.81148e-10,1.60308,0.322035,0.163526,0.306299,0,1
8249-6104,1-137845,8249,6104,139.309,44.4892,0.0320271,12.3098,0.658302,210.64,0.412964,0.744394,6,7.28768,4.66177,10.9818,11.381,3.07607e-10,3.28639,0.341439,0.169872,0.285498,3.07607e-10,2.72218,0.331185,0.162609,0.276316,0,1
8078-6102,1-36890,8078,6102,42.5328,-0.26696,0.0290844,12.3016,0.378905,157.337,0.179707,0.809392,5.99974,6.43032,3.74861,10.6467,11.0328,2.19906e-10,2.34943,0.309139,0.143124,0.287911,2.19906e-10,1.94608,0.296102,0.133638,0.275376,1,1
9091-3704,1-318148,9091,3704,241.945,25.5375,0.0406597,12.2889,0.540506,87.447,0.135468,0.924551,5.18361,2.10069,1.68845,9.99305,10.1763,2.40626e-10,2.57079,0.111899,-0.0557057,0.156009,2.40626e-10,2.12943,0.0996466,-0.064552,0.142714,1,1
11744-6101,1-459622,11744,6101,121.819,14.9509,0.0294784,12.2721,0.927054,214.529,0.121727,0.992698,6,5.69071,3.3608,10.9323,11.2547,5.28035e-10,5.6414,0.287021,0.108612,0.226368,5.28035e-10,4.67287,0.280347,0.104042,0.220492,1,1
8979-3701,1-248410,8979,3701,241.209,42.0358,0.0250348,12.2599,0.461959,71.5002,0.19939,0.612715,2.87787,2.46092,1.24089,9.58065,9.86767,1.72367e-10,1.84153,0.192828,0.0314615,0.256203,1.72367e-10,1.52537,0.17754,0.0200878,0.239165,1,1
