plateifu,mangaid,plate,ifudsgn,objra,objdec,z,snr_med,sb_1re,sigma_e,vsig_glob,ba,sersic_n,th50_arcsec,re_kpc,log_mstar,log_mdyn,gbar_canon,y_canon,delta_canon,delta_canon_imfA,delta_canon_imfB,gbar_alt,y_alt,delta_alt,delta_alt_imfA,delta_alt_imfB,cut_primary,cut_variant
10221-3703,1-229966,10221,3703,122.589,25.1223,0.0276947,11.6775,0.563794,142.877,0.214744,0.980724,4.08179,4.72783,2.62882,10.563,10.795,3.68761e-10,3.93975,0.182892,0.00874765,0.171818,3.68761e-10,3.26337,0.173967,0.00250512,0.163089,1,1
8312-3701,1-211006,8312,3701,246.994,39.604,0.0261375,11.6684,0.706701,169.812,0.492318,0.906749,5.04819,4.46942,2.3498,10.5096,10.8963,4.08108e-10,4.36013,0.341883,0.166424,0.310218,4.08108e-10,3.61157,0.333645,0.160699,0.302494,0,1
10503-6101,1-80403,10503,6101,160.448,4.98838,0.0268709,11.6397,0.735568,177.998,0.0968376,0.623522,6,6.08023,3.28348,10.6174,11.0825,2.67917e-10,2.86237,0.400022,0.230616,0.364198,2.67917e-10,2.37095,0.388671,0.222492,0.353603,1,1
11944-3704,1-200363,11944,3704,243.681,36.5337,0.0328805,11.628,0.618567,192.411,0.594364,0.70679,2.98821,5.58732,3.66557,10.7699,11.1979,3.05385e-10,3.26266,0.370005,0.198546,0.324647,3.05385e-10,2.70252,0.359695,0.19124,0.315217,0,1
10214-3704,1-136508,10214,3704,123.658,34.4998,0.0626168,11.6196,0.491165,167.28,0.123513,0.955523,4.5714,2.65785,3.20554,10.88,11.0181,5.14634e-10,5.49823,0.101792,-0.0763458,0.0713902,5.14634e-10,4.55428,0.0949746,-0.0810216,0.0649912,1,1
8154-6103,1-37155,8154,6103,44.3495,-0.309409,0.0290858,11.615,0.580666,166.107,0.250367,0.801325,4.14542,7.19932,4.1971,10.9232,11.129,3.31584e-10,3.54257,0.15183,-0.0208406,0.123312,3.31584e-10,2.93437,0.142141,-0.0276659,0.114156,1,1
8598-3704,1-247258,8598,3704,230.508,48.0237,0.0723045,11.6014,0.554681,202.282,0.470719,0.842075,6,2.93851,4.04618,10.9929,11.2843,4.18844e-10,4.47483,0.247608,0.0718271,0.194988,4.18844e-10,3.70658,0.239539,0.0662286,0.187743,0,1
9514-9102,1-42227,9514,9102,33.2955,14.018,0.0260585,11.5953,0.438958,152.422,0.263927,0.741157,6,6.83709,3.58408,10.7671,10.9858,3.17387e-10,3.39089,0.162599,-0.00943434,0.144186,3.17387e-10,2.80874,0.152584,-0.0165121,0.134526,1,1
11953-1902,1-283550,11953,1902,191.196,42.1026,0.0726899,11.5815,0.5408,273.743,0.180983,0.865873,6,3.65113,5.05195,11.1902,11.6435,4.23255e-10,4.52195,0.409831,0.233921,0.32083,4.23255e-10,3.74562,0.40183,0.228373,0.314169,1,1
11830-9101,1-233722,11830,9101,196.423,49.4216,0.034177,11.5652,0.692374,248.901,0.1696,0.581725,4.69662,8.28462,5.6407,11.0455,11.6087,2.4328e-10,2.59915,0.492518,0.324725,0.418846,2.4328e-10,2.15292,0.48036,0.315954,0.408284,1,1
11953-6103,1-258856,11953,6103,190.914,44.1013,0.0405347,11.5647,0.611148,220.874,0.0984688,0.731983,6,5.38271,4.31376,10.9049,11.3885,3.00961e-10,3.2154,0.42471,0.253473,0.363358,3.00961e-10,2.66337,0.414287,0.246079,0.354121,1,1
8258-6104,1-256283,8258,6104,167.899,43.5913,0.061473,11.5594,0.508193,253.073,0.543287,0.580616,6,3.95189,4.68547,10.8622,11.5426,2.31164e-10,2.4697,0.606585,0.43968,0.531437,2.31164e-10,2.0457,0.593987,0.430553,0.52051,0,1
8983-3701,1-626822,8983,3701,204.636,26.1347,0.0639157,11.5394,0.575732,232.346,0.22557,0.876463,6,3.0121,3.7025,10.8966,11.3661,4.00745e-10,4.28146,0.423917,0.248687,0.354934,4.00745e-10,3.54641,0.415558,0.242872,0.347674,1,1
10224-3702,1-35926,10224,3702,34.9214,-0.255641,0.0257528,11.536,1.56169,106.17,0.532446,0.68192,6,5.23961,2.71544,10.4758,10.5512,2.82757e-10,3.02091,0.0132485,-0.157022,0.0362743,2.82757e-10,2.50228,0.0023342,-0.164801,0.0248674,0,1
11974-3701,1-337227,11974,3701,239.477,9.40992,0.0427768,11.5355,0.774031,171.918,0.23932,0.978335,5.15518,4.57598,3.85977,11.0726,11.1225,5.53035e-10,5.9085,0.0159625,-0.162919,-0.0179078,5.53035e-10,4.89412,0.00954362,-0.167305,-0.0238861,1,1
9507-1901,1-299094,9507,1901,129.464,26.5989,0.0878269,11.4952,0.679267,237.035,0.380231,0.768641,6,3.61855,5.94404,11.3817,11.589,4.7509e-10,5.07575,0.168306,-0.00895819,0.0960204,4.7509e-10,4.20434,0.161022,-0.0139753,0.089753,1,1
7978-3701,1-115388,7978,3701,333.622,13.4909,0.0741286,11.4799,0.461486,195.221,0.463529,0.828358,4.93789,2.89904,4.08383,10.9997,11.2574,4.17656e-10,4.46214,0.213847,0.0381007,0.165486,4.17656e-10,3.69607,0.205759,0.0324885,0.15816,0,1
9512-3703,1-53968,9512,3703,140.293,1.47274,0.0163325,11.4784,0.705703,91.1336,0.372319,0.823527,6,4.03517,1.34144,9.96296,10.1122,3.55704e-10,3.80025,0.0985609,-0.0750948,0.139812,3.55704e-10,3.14782,0.0893817,-0.0815304,0.129853,1,1
8949-1901,1-623581,8949,1901,194.858,28.187,0.0257644,11.4713,0.406992,81.3939,0.201114,0.904222,5.82211,2.237,1.15984,9.61952,9.9509,2.15772e-10,2.30526,0.253138,0.0874672,0.304455,2.15772e-10,1.90949,0.239931,0.0778421,0.289963,1,1
11758-12705,1-591782,11758,12705,201.726,52.7535,0.0297606,11.4631,0.714998,260.784,0.343938,0.816708,6,9.00118,5.36496,11.1733,11.6274,3.60958e-10,3.85639,0.404063,0.230207,0.321957,3.60958e-10,3.19432,0.394988,0.22385,0.31427,1,1
11969-1901,1-333771,11969,1901,226.405,8.63504,0.0461245,11.4428,0.473143,118.455,0.187891,0.938496,4.42024,2.20748,1.99972,10.2823,10.5134,3.33902e-10,3.56733,0.177446,0.00467605,0.188222,3.33902e-10,2.95489,0.167809,-0.00210983,0.178378,1,1
11863-3702,1-195176,11863,3702,192.977,54.9611,0.083295,11.4317,0.547444,240.953,0.383081,0.792238,6,2.84255,4.45171,11.0566,11.4777,4.00691e-10,4.28089,0.37553,0.200302,0.302196,4.00691e-10,3.54594,0.36717,0.194486,0.295,1,1
8248-1902,1-481671,8248,1902,138.326,16.1955,0.0915489,11.4175,0.56706,202.216,0.41805,0.900712,6,3.22274,5.49454,11.3976,11.4169,5.76788e-10,6.16227,-0.0133824,-0.19268,-0.0671475,5.76788e-10,5.10432,-0.0195771,-0.196904,-0.0726774,0,1
10508-3703,1-151120,10508,3703,183.204,52.9033,0.0320959,11.4057,0.611704,223.741,0.142649,0.766734,6,7.43794,4.76772,11.0119,11.4431,3.15205e-10,3.36758,0.374716,0.202784,0.31158,3.15205e-10,2.78943,0.364648,0.195666,0.302696,1,1
8596-3704,1-247300,8596,3704,230.996,48.7929,0.0737797,11.3771,0.573602,201.212,0.455457,0.849512,6,4.04065,5.66752,11.1712,11.426,3.21859e-10,3.43867,0.199408,0.0271686,0.148588,3.21859e-10,2.84831,0.189498,0.0201724,0.139628,0,1
8551-3703,1-247628,8551,3703,235.019,46.1059,0.0365581,11.3747,0.778071,200.736,0.246945,0.726581,6,4.71366,3.42319,10.7849,11.205,3.62471e-10,3.87256,0.370257,0.196344,0.319168,3.62471e-10,3.20771,0.361211,0.19001,0.311006,1,1
11944-1901,1-200530,11944,1901,242.694,37.1198,0.070779,11.361,0.554563,200.436,0.169352,0.73348,3.98407,3.20271,4.32463,10.9691,11.3052,3.47113e-10,3.70847,0.284281,0.110964,0.233563,3.47113e-10,3.07179,0.274927,0.104394,0.225112,1,1
8716-3703,1-548341,8716,3703,123.506,52.7525,0.070729,11.3569,0.549845,175.286,0.303685,0.937247,5.73637,2.97152,4.00985,10.988,11.1559,4.21732e-10,4.50568,0.124392,-0.0514731,0.0888605,4.21732e-10,3.73214,0.116368,-0.0570384,0.0813984,1,1
8314-3704,1-248618,8314,3704,243.155,39.419,0.0321959,11.3505,0.621176,94.8663,0.421869,0.896224,6,4.658,2.99472,10.6057,10.4959,3.1348e-10,3.34915,-0.166488,-0.338338,-0.130332,3.1348e-10,2.77416,-0.176597,-0.345488,-0.141178,0,1
7980-6104,1-115417,7980,6104,333.876,13.6732,0.0250492,11.3415,0.691447,118.71,0.50244,0.928166,5.56779,2.57389,1.29858,10.0843,10.3278,5.01955e-10,5.36277,0.206299,0.028428,0.217195,5.01955e-10,4.44208,0.199338,0.0236479,0.210076,0,1
8727-3703,1-583556,8727,3703,54.7586,-6.81106,0.0231694,11.3317,0.5814,95.8874,0.320105,0.628387,6,4.73917,2.21659,9.73927,10.3745,7.78341e-11,0.831561,0.463794,0.320223,0.492399,7.78341e-11,0.688797,0.440514,0.3014,0.468211,1,1
8604-6102,1-210863,8604,6102,246.073,39.211,0.0300181,11.3175,0.705941,207.368,0.108544,0.896473,5.16163,5.53132,3.32432,10.8309,11.2205,4.27285e-10,4.56501,0.346642,0.170617,0.290963,4.27285e-10,3.78128,0.338701,0.165114,0.283881,1,1
10493-1901,1-352045,10493,1901,123.971,51.7626,0.0315512,11.3103,0.709594,165.772,0.274856,0.93221,6,3.14592,1.98361,10.4553,10.8018,5.05397e-10,5.39954,0.309629,0.131684,0.280358,5.05397e-10,4.47254,0.302707,0.126933,0.273846,1,1
8609-3703,1-446684,8609,3703,245.996,14.6217,0.0513269,11.2901,0.464145,194.407,0.563621,0.720379,6,3.04955,3.05522,10.6219,11.1278,3.12678e-10,3.34057,0.449013,0.277201,0.402347,3.12678e-10,2.76706,0.438884,0.270035,0.39311,0,1
12080-1901,1-35826,12080,1901,31.0333,0.285746,0.0408424,11.2866,0.401618,93.6671,0.306654,0.7235,6,2.18934,1.76723,9.96359,10.2558,2.05248e-10,2.19282,0.210606,0.0458565,0.246396,2.05248e-10,1.81635,0.196948,0.0358587,0.23183,1,1
12491-1902,1-4106,12491,1902,166.4,0.877853,0.0706052,11.2845,0.710771,240.81,0.381841,0.82447,6,3.55252,4.78617,11.2799,11.5087,5.79702e-10,6.19339,0.196244,0.0168966,0.121082,5.79702e-10,5.1301,0.190075,0.0126916,0.115821,1,1
12514-3703,1-66619,12514,3703,199.474,2.21807,0.0787042,11.2761,0.515008,217.053,0.190357,0.909283,4.48701,2.80967,4.17992,11.0589,11.3596,4.56954e-10,4.88199,0.260217,0.0833963,0.198757,4.56954e-10,4.04384,0.252697,0.0782054,0.192135,1,1
8243-3701,1-46757,8243,3701,128.164,53.2332,0.0430794,11.2679,0.41501,141.314,0.347035,0.80451,4.77435,2.72722,2.3158,10.299,10.7304,2.58746e-10,2.76438,0.364336,0.195503,0.354894,2.58746e-10,2.28979,0.352697,0.187149,0.343463,1,1
8260-3701,1-281900,8260,3701,181.962,42.5719,0.0453893,11.2604,0.615166,172.283,0.216014,0.962216,4.44403,4.77395,4.25942,11.0149,11.1672,3.97668e-10,4.24859,0.106302,-0.0688288,0.0729907,3.97668e-10,3.51919,0.0978924,-0.0746827,0.0651308,1,1
12622-3702,1-591689,12622,3702,200.383,32.9197,0.0382532,11.2454,0.65419,202.948,0.0948091,0.916323,4.0963,4.4397,3.36691,10.8197,11.2073,4.05989e-10,4.33749,0.342564,0.167171,0.289681,4.05989e-10,3.59282,0.334292,0.16142,0.282255,1,1
8466-3701,1-575898,8466,3701,168.377,44.6659,0.0681317,11.2433,0.556629,239.964,0.334682,0.863163,5.99578,2.8206,3.67758,10.9115,11.3912,4.20408e-10,4.49154,0.435998,0.260171,0.362883,4.20408e-10,3.72043,0.427953,0.25459,0.35596,1,1
8550-6101,1-594483,8550,6101,247.083,38.8114,0.0309815,11.2356,0.835439,195.692,0.132864,0.948342,6,5.46481,3.38584,10.9007,11.1781,4.83747e-10,5.16824,0.239041,0.0615747,0.189856,4.83747e-10,4.28095,0.231864,0.0566365,0.183376,1,1
8088-1902,1-120793,8088,1902,4.70333,14.7831,0.0410546,11.2147,0.544587,81.3121,0.496085,0.891339,6,2.19072,1.77708,10.0149,10.1353,2.28436e-10,2.44055,0.0458578,-0.120838,0.0976575,2.28436e-10,2.02155,0.0331554,-0.130049,0.0836914,0,1
8952-3704,1-458209,8952,3704,206.086,26.0842,0.0282688,11.2145,0.657221,127.861,0.485619,0.825631,5.78567,3.8555,2.18671,10.3756,10.6186,3.46189e-10,3.6986,0.190996,0.0177154,0.192927,3.46189e-10,3.06362,0.181622,0.0111315,0.183517,0,1
8589-6102,1-593604,8589,6102,226.166,54.714,0.0295738,11.1857,0.736719,179.653,0.581151,0.928503,6,5.65822,3.35204,10.8351,11.0995,4.24385e-10,4.53402,0.221113,0.0451707,0.182625,4.24385e-10,3.75562,0.213128,0.0396354,0.175246,0,1
8330-3701,1-402454,8330,3701,203.414,38.0284,0.064668,11.1796,0.538404,206.638,0.317604,0.867101,5.29168,3.02284,3.75612,10.8544,11.2705,3.53326e-10,3.77486,0.365066,0.191503,0.310671,3.53326e-10,3.12678,0.355839,0.185031,0.302399,1,1
8330-3703,1-402609,8330,3703,204.178,39.2051,0.061366,11.1687,0.543642,133.302,0.378096,0.986908,6,2.90889,3.44329,10.8326,10.852,3.99913e-10,4.27257,-0.0263402,-0.201543,-0.0292996,3.99913e-10,3.53905,-0.0347128,-0.207369,-0.0376222,1,1
12667-3702,1-211292,12667,3702,248.036,37.9811,0.0981897,11.1642,0.557514,222.173,0.419559,0.883516,6,2.41357,4.37984,11.2089,11.4002,5.87872e-10,6.28068,0.159147,-0.0203355,0.0937978,5.87872e-10,5.2024,0.153051,-0.024488,0.0884899,0,1
8482-1901,1-594386,8482,1901,244.348,50.6359,0.0415421,11.1471,0.535687,245.655,0.122829,0.954827,6,6.6298,5.43871,11.1517,11.5815,3.34188e-10,3.57039,0.376136,0.203354,0.30164,3.34188e-10,2.95742,0.366505,0.196573,0.293343,1,1
10519-6103,1-182803,10519,6103,154.001,6.25144,0.0458332,11.1351,0.848018,206.776,0.302045,0.980719,5.95346,5.47865,4.93337,11.2679,11.3895,5.3078e-10,5.67072,0.0862653,-0.092197,0.0300708,5.3078e-10,4.69717,0.079621,-0.0967465,0.0241651,1,1
8441-6102,1-252443,8441,6102,223.634,37.0756,0.031385,11.0937,0.750164,185.224,0.44054,0.925636,6,4.83275,3.03176,10.7977,11.0824,4.76023e-10,5.08571,0.245681,0.0683943,0.20318,4.76023e-10,4.21259,0.238408,0.0633857,0.196521,0,1
8546-3702,1-91171,8546,3702,237.184,52.3429,0.0346854,11.0823,0.697274,206.419,0.0934913,0.843924,5.22668,5.10784,3.52733,10.8266,11.2423,3.75787e-10,4.01481,0.367406,0.19301,0.312846,3.75787e-10,3.32555,0.358611,0.186866,0.304971,1,1
9509-6102,1-298626,9509,6102,123.769,25.6087,0.0207932,11.0796,0.637066,133.322,0.243695,0.957692,4.32878,5.35334,2.25351,10.4275,10.668,3.67287e-10,3.92401,0.191232,0.0171415,0.188278,3.67287e-10,3.25033,0.182279,0.0108778,0.179377,1,1
8315-3703,1-560826,8315,3703,236.166,38.4254,0.0759358,11.0619,0.609352,193.188,0.377058,0.834804,5.53918,4.96607,7.1511,11.3348,11.4917,2.94691e-10,3.1484,0.0969156,-0.0739993,0.0512504,2.94691e-10,2.60788,0.0863287,-0.0815217,0.0415685,1,1
11865-3704,1-2653,11865,3704,158.057,0.709317,0.0994704,11.0495,0.427802,212.784,0.418273,0.797481,6,2.75967,5.06576,11.1916,11.4258,4.22254e-10,4.51126,0.190772,0.0148919,0.132057,4.22254e-10,3.73676,0.182756,0.00933245,0.12495,0,1
9047-1901,1-295721,9047,1901,245.807,26.4793,0.0644593,11.0437,0.58478,185.087,0.369833,0.927005,4.00294,3.78684,4.69141,11.1199,11.2714,4.17377e-10,4.45915,0.107572,-0.068166,0.0655796,4.17377e-10,3.6936,0.0994801,-0.0737814,0.0581537,1,1
8623-3701,1-178782,8623,3701,310.45,-0.468316,0.0269389,11.0398,0.359853,82.7444,0.506353,0.828019,2.68437,4.77327,2.584,10.3082,10.3131,2.12287e-10,2.26802,-0.0744677,-0.239841,-0.0250428,2.12287e-10,1.87864,-0.0878206,-0.249586,-0.0396411,0,1
12673-6104,1-135092,12673,6104,247.289,40.9876,0.0343526,11.0327,0.896969,159.71,0.496449,0.884742,5.44311,4.24515,2.9046,10.8105,10.9351,5.34106e-10,5.70626,0.0894754,-0.0890516,0.0646064,5.34106e-10,4.7266,0.0828658,-0.0935758,0.0583318,0,1
10507-3703,1-280716,10507,3703,177.397,47.8312,0.0249741,11.0147,0.632146,143.634,0.160603,0.884173,6,4.62139,2.32481,10.379,10.7462,3.08693e-10,3.29801,0.309684,0.138063,0.298184,3.08693e-10,2.7318,0.299457,0.130821,0.288184,1,1
7957-6101,1-561020,7957,6101,256.792,34.2698,0.0311029,11.011,0.601874,176.877,0.149905,0.900378,4.43367,6.24849,3.88599,10.8978,11.1502,3.64803e-10,3.89747,0.202779,0.0287796,0.166609,3.64803e-10,3.22835,0.193778,0.0224798,0.158239,1,1
11757-1901,1-270185,11757,1901,248.71,26.3063,0.041904,11.0017,0.414848,79.0357,0.595758,0.81877,5.99694,2.14432,1.77364,10.0743,10.1098,2.62915e-10,2.80892,-0.0305753,-0.199672,0.0252702,2.62915e-10,2.32668,-0.0420812,-0.20792,0.0124913,0,1
8998-6101,1-173583,8998,6101,162.386,47.9332,0.0280561,10.9991,0.7515,204.176,0.468751,0.822818,6,5.42368,3.05376,10.6675,11.1702,3.47646e-10,3.71416,0.450857,0.277518,0.397952,3.47646e-10,3.07651,0.441513,0.270957,0.389549,0,1
8999-3703,1-148621,8999,3703,164.663,50.1903,0.0254048,10.9921,0.60906,119.834,0.210334,0.940061,6,3.88744,1.98828,10.2496,10.521,3.1325e-10,3.34669,0.214609,0.0427696,0.223986,3.1325e-10,2.77212,0.204494,0.0356148,0.213684,1,1
10495-6104,1-45698,10495,6104,125.092,47.2276,0.0563281,10.9815,0.481529,199.856,0.119641,0.902899,6,3.18605,3.48236,10.7983,11.2086,3.61253e-10,3.85954,0.360311,0.186444,0.309756,3.61253e-10,3.19693,0.351241,0.180092,0.301564,1,1
10498-3703,1-299571,10498,3703,130.308,27.9078,0.0580602,10.9771,0.526665,159.326,0.160299,0.912757,5.56502,2.99039,3.36213,10.7888,10.9965,3.79184e-10,4.05111,0.159791,-0.0147239,0.135848,3.79184e-10,3.35561,0.151059,-0.0208205,0.127527,1,1
9486-6101,1-72210,9486,6101,121.076,40.1957,0.0408501,10.9638,0.760353,187.309,0.292407,0.787753,6,5.36116,4.32829,11.0298,11.2468,3.98533e-10,4.25783,0.171119,-0.00403984,0.127863,3.98533e-10,3.52684,0.162724,-0.00988278,0.120175,1,1
8259-3702,1-257813,8259,3702,177.794,45.2228,0.0358399,10.9607,0.493316,93.4646,0.512607,0.945087,3.54576,4.77849,3.40502,10.5087,10.5387,1.93973e-10,2.07236,-0.0554808,-0.219163,-0.0197242,1.93973e-10,1.71658,-0.0696569,-0.229593,-0.0348299,0,1
7443-3702,12-84670,7443,3702,230.598,43.3678,0.110451,10.9545,0.373826,211.62,0.0785409,0.950645,6,2.62501,5.2837,11.2511,11.4394,4.45148e-10,4.75585,0.146819,-0.0296954,0.0885273,4.45148e-10,3.93936,0.139137,-0.0350061,0.0817159,1,1
9866-3702,1-271959,9866,3702,242.271,32.7037,0.0970394,10.9429,0.507336,214.657,0.119761,0.956613,5.16325,2.44033,4.38231,11.1767,11.3705,5.4515e-10,5.82425,0.159454,-0.0192826,0.0986041,5.4515e-10,4.82433,0.152957,-0.0237251,0.0928875,1,1
11868-3704,1-550860,11868,3704,249.398,25.2943,0.0571807,10.9152,0.473736,183.995,0.200743,0.922015,6,2.86605,3.17682,10.753,11.0969,3.91087e-10,4.17828,0.297344,0.122426,0.256275,3.91087e-10,3.46095,0.288822,0.116488,0.248434,1,1
8713-3703,1-43856,8713,3703,118.37,39.2997,0.0426397,10.9063,0.481986,88.4791,0.182218,0.782858,6,2.46229,2.07058,10.0412,10.2751,1.78752e-10,1.90975,0.142487,-0.0196045,0.183674,1.78752e-10,1.58188,0.127546,-0.0306822,0.167622,1,1
10218-3702,1-382284,10218,3702,118.184,16.7095,0.0715511,10.866,0.596326,225.008,0.311522,0.845942,4.93755,2.76207,3.76691,10.962,11.3457,4.50105e-10,4.80881,0.342661,0.166017,0.276933,4.50105e-10,3.98323,0.335048,0.160757,0.270287,1,1
8602-1902,1-211049,8602,1902,247.304,39.6154,0.0308944,10.8605,0.338223,83.2678,0.533232,0.80785,2.70115,2.12832,1.31508,9.67554,10.0252,1.90947e-10,2.04004,0.263059,0.0996788,0.311119,1.90947e-10,1.6898,0.248737,0.0891257,0.29553,0,1
12651-3703,1-325456,12651,3703,252.194,27.0105,0.052546,10.8511,0.494367,210.315,0.252091,0.88271,6,2.51236,2.5731,10.6449,11.1215,4.6482e-10,4.96603,0.43675,0.259733,0.379019,4.6482e-10,4.11345,0.429334,0.254619,0.372439,1,1
9883-3703,1-176928,9883,3703,256.462,32.9754,0.0313922,10.8482,0.625353,151.27,0.53779,0.725799,4.25827,4.03947,2.53467,10.5005,10.8287,3.43474e-10,3.6696,0.27595,0.10278,0.258284,3.43474e-10,3.0396,0.26652,0.0961527,0.249179,0,1
9196-3701,1-24623,9196,3701,261.179,53.8551,0.0822918,10.826,0.473384,287.218,0.514996,0.631928,3.68658,4.57394,7.08518,11.4303,11.8321,3.73989e-10,3.99561,0.3533,0.178967,0.25942,3.73989e-10,3.30964,0.344472,0.172799,0.252127,0,1
8482-3701,1-92774,8482,3701,243.408,49.0694,0.0551706,10.8252,0.647692,188.762,0.365205,0.937307,6,2.48447,2.66336,10.6751,11.0426,4.65056e-10,4.96855,0.327664,0.150642,0.282958,4.65056e-10,4.11554,0.320251,0.14553,0.2762,1,1
8651-3703,1-179248,8651,3703,315.017,0.198385,0.0512748,10.8107,0.361261,176.136,0.380467,0.90019,4.83117,3.00513,3.00785,10.6079,11.0353,3.12367e-10,3.33725,0.370453,0.198655,0.335286,3.12367e-10,2.76431,0.360316,0.191484,0.325828,1,1
9883-3702,1-176882,9883,3702,255.749,33.5545,0.0849016,10.8056,0.481818,318.458,0.497409,0.844405,4.23715,2.83019,4.50943,11.1146,11.7255,4.46297e-10,4.76813,0.569604,0.393059,0.461931,4.46297e-10,3.94953,0.561939,0.387761,0.455801,0,1
9500-3703,1-386126,9500,3703,132.622,25.7419,0.146562,10.8029,0.242751,169.159,0.0832264,0.908386,6,1.2057,3.09177,10.8166,11.0121,4.7801e-10,5.10694,0.156702,-0.0206307,0.125115,4.7801e-10,4.23018,0.149455,-0.0256209,0.118326,1,1
8315-3702,1-322671,8315,3702,235.797,39.2388,0.0637475,10.8014,0.553359,163.546,0.199752,0.893481,6,2.89522,3.55016,10.824,11.0428,3.68795e-10,3.94012,0.169721,-0.00442516,0.142757,3.68795e-10,3.26367,0.160796,-0.0106672,0.134304,1,1
11014-6104,1-456912,11014,6104,194.775,27.9967,0.0255748,10.7877,0.681425,136.694,0.379262,0.772127,6,5.77031,2.97044,10.5831,10.8096,3.02535e-10,3.23221,0.167957,-0.00336013,0.162183,3.02535e-10,2.6773,0.157574,-0.0107227,0.151917,1,1
8553-6102,1-90192,8553,6102,233.713,56.4511,0.0394443,10.7803,0.726161,213.418,0.152629,0.889768,5.29204,6.20545,4.84563,11.1372,11.4091,4.07164e-10,4.35005,0.226998,0.0515686,0.168095,4.07164e-10,3.60322,0.218745,0.0458321,0.160777,1,1
8718-6101,1-44063,8718,6101,120.591,44.0301,0.0639056,10.7547,0.558217,154.095,0.254898,0.752227,6,3.846,4.72684,10.8269,11.1155,2.09402e-10,2.2372,0.20838,0.0432586,0.189588,2.09402e-10,1.85311,0.194904,0.0334113,0.176569,1,1
8249-6103,1-155456,8249,6103,136.794,46.2111,0.040334,10.7502,0.469641,182.652,0.130434,0.962315,6,6.54493,5.22045,11.0627,11.3063,2.95512e-10,3.15718,0.183805,0.0128468,0.144626,2.95512e-10,2.61515,0.173239,0.0053414,0.13484,1,1
8942-3702,1-218427,8942,3702,124.342,27.7962,0.149571,10.7437,0.252677,384.641,0.412027,0.852478,6,2.76569,7.21341,11.4185,12.0936,3.51147e-10,3.75157,0.623758,0.45028,0.495506,3.51147e-10,3.10749,0.614487,0.443775,0.488359,0,1
9878-6104,1-568594,9878,6104,202.814,25.9829,0.0658835,10.7422,0.558832,193.935,0.365307,0.800131,6,3.41487,4.31684,10.9195,11.2758,3.10738e-10,3.31985,0.299165,0.127445,0.252811,3.10738e-10,2.74989,0.288988,0.120243,0.243524,1,1
8239-3703,1-378428,8239,3703,116.523,48.848,0.0327643,10.7262,0.622276,192.834,0.146902,0.912906,4.67393,4.97016,3.24961,10.8122,11.1475,4.28387e-10,4.57678,0.292378,0.116322,0.245393,4.28387e-10,3.79103,0.284454,0.110831,0.238198,1,1
8993-3701,1-277317,8993,3701,164.405,45.6344,0.0426827,10.7087,0.645365,157.705,0.2942,0.963597,6,4.67456,3.93468,10.9615,11.0559,4.12044e-10,4.40218,0.0499759,-0.125603,0.0270807,4.12044e-10,3.64641,0.0418005,-0.131281,0.0192776,1,1
8324-1902,1-284505,8324,1902,197.845,47.1514,0.0288013,10.6917,0.557464,106.669,0.417019,0.668011,6,3.57297,2.06332,10.11,10.436,2.10949e-10,2.25373,0.246185,0.0809283,0.267914,2.10949e-10,1.86681,0.232776,0.071136,0.253964,0,1
9511-6103,1-213651,9511,6103,129.782,4.56732,0.0474272,10.6903,0.467404,82.0598,0.551094,0.644381,2.89619,7.81826,7.2712,10.8706,10.7552,9.78836e-11,1.04577,-0.261177,-0.410143,-0.216401,9.78836e-11,0.866227,-0.282132,-0.42667,-0.238761,0,1
12491-3701,1-61959,12491,3701,164.833,2.01898,0.0395774,10.6826,0.446957,84.813,0.534612,0.848936,2.91079,1.52702,1.19623,9.86153,10.0001,3.54141e-10,3.78356,0.0875991,-0.0859961,0.137125,3.54141e-10,3.13399,0.0783886,-0.0924556,0.126969,0,1
8093-3702,1-563951,8093,3702,19.3721,14.7025,0.0378424,10.6517,0.58858,134.963,0.302847,0.94411,5.88706,4.53811,3.40625,10.8236,10.858,4.00217e-10,4.27583,-0.0111911,-0.186404,-0.0156117,4.00217e-10,3.54175,-0.0195585,-0.192226,-0.0239046,1,1
7975-6101,1-114128,7975,6101,323.471,10.4397,0.077875,10.6469,0.362275,237.354,0.509936,0.864153,3.85479,3.28624,4.84206,11.0662,11.5011,3.46281e-10,3.69958,0.382971,0.209687,0.312307,3.46281e-10,3.06443,0.373599,0.203104,0.304176,0,1
7964-6101,1-179386,7964,6101,316.59,-0.771235,0.0486859,10.6427,0.32866,89.4524,0.370173,0.982276,2.17106,5.47478,5.21903,10.8558,10.6861,1.83589e-10,1.96142,-0.259129,-0.421746,-0.218956,1.83589e-10,1.62468,-0.273818,-0.43261,-0.234716,1,1
11872-1902,1-576094,11872,1902,180.228,51.9775,0.0668043,10.6395,0.534919,188.264,0.0759895,0.95145,6,3.06936,3.93006,10.9509,11.2092,4.03025e-10,4.30582,0.213043,0.0377424,0.169143,4.03025e-10,3.56659,0.204722,0.0319553,0.161534,1,1
12090-6103,1-598278,12090,6103,351.155,14.6424,0.0421825,10.6335,0.757839,207.066,0.0939402,0.978902,5.13128,3.78646,3.15168,10.9364,11.1961,6.06116e-10,6.47559,0.228525,0.0487536,0.171695,6.06116e-10,5.36385,0.222587,0.0447136,0.166431,1,1
