# MIGHTEE-HI RAR (2504.20857) fork: radial-average Y_K; extracted from RAR_comp.pdf panel 3
# unmatched error bars (hidden under markers) filled with panel median
# columns: log10_gbar  log10_gobs  sigma_x[dex]  sigma_y[dex]
-11.9754,-10.5246,0.2218,0.0676
-11.9219,-10.4920,0.3166,0.0529
-11.8893,-10.5119,0.4198,0.0478
-11.8586,-10.5606,0.5157,0.0476
-11.8323,-10.6057,0.6017,0.0454
-11.8152,-10.6482,0.6838,0.0488
-11.8104,-10.6903,0.7693,0.0518
-11.8189,-10.7432,0.8646,0.0532
-11.5878,-10.6412,0.0503,0.2539
-11.7404,-10.7959,0.0435,0.2513
-11.8385,-10.8253,0.0575,0.2661
-11.2261,-10.5083,0.0177,0.0895
-11.4680,-10.5994,0.0201,0.1346
-11.7365,-10.6723,0.0454,0.1752
-11.7910,-10.8176,0.0675,0.1987
-11.9176,-10.8736,0.0600,0.2004
-12.0845,-11.0085,0.0853,0.1222
-10.7386,-10.3327,0.0056,0.1734
-11.0145,-10.4905,0.0085,0.1761
-11.2640,-10.6196,0.0203,0.2012
-10.9658,-10.2460,0.0162,0.0841
-11.2805,-10.4430,0.0404,0.0826
-11.4508,-10.5790,0.0582,0.0853
-11.5756,-10.6637,0.1087,0.0901
-11.6919,-10.7753,0.2780,0.1186
-11.2306,-10.5739,0.0616,0.0656
-11.4705,-10.7036,0.0291,0.1222
-11.6179,-10.8737,0.0440,0.0846
-11.7431,-10.9955,0.0681,0.1222
-10.3523,-10.2071,0.0117,0.1242
-10.6309,-10.3306,0.0173,0.1202
-10.8550,-10.3930,0.0269,0.1164
-11.0150,-10.5052,0.0387,0.1181
-11.1442,-10.5825,0.0419,0.1370
-11.2889,-10.2317,0.0227,0.0850
-11.5146,-10.4241,0.0496,0.0881
-11.6138,-10.5514,0.0749,0.0977
-11.7043,-10.7282,0.1139,0.1125
-11.8077,-10.9192,0.1745,0.1056
-10.0374,-9.8230,0.0285,0.1956
-10.4167,-10.0492,0.0250,0.1972
-10.7125,-10.2973,0.0300,0.2036
-10.9187,-10.4065,0.0432,0.1946
-11.0696,-10.4887,0.0459,0.1955
-11.1909,-10.5126,0.0421,0.2017
-10.0979,-10.2290,0.0066,0.1222
-10.5639,-10.3132,0.0090,0.1968
-10.8493,-10.5214,0.0148,0.1222
-11.0558,-10.4930,0.0141,0.1493
-11.2259,-10.5902,0.0150,0.1443
-10.8474,-10.1995,0.0055,0.0480
-11.2283,-10.3976,0.0167,0.0508
-11.4861,-10.5580,0.0365,0.0643
-11.3598,-10.6270,0.0288,0.1919
-11.4768,-10.7769,0.0229,0.1901
-11.5902,-10.8993,0.0215,0.2008
-11.7030,-11.0321,0.0351,0.2210
-11.4548,-10.4733,0.0197,0.1734
-11.7683,-10.6481,0.0320,0.1735
-11.9746,-10.8446,0.0611,0.1793
-11.7129,-10.5429,0.0261,0.0632
-11.9478,-10.7360,0.0243,0.0654
-12.0750,-10.8658,0.0539,0.0671
-12.1390,-10.9682,0.0852,0.1222
-11.0245,-10.4783,0.0657,0.1348
-11.4472,-10.4559,0.0351,0.0800
-11.6819,-10.5641,0.0395,0.0615
-11.8308,-10.6675,0.0377,0.0544
-11.9253,-10.7532,0.0662,0.0595
-10.5531,-10.1080,0.0063,0.0794
-10.9344,-10.3392,0.0179,0.0843
-11.2049,-10.5319,0.0362,0.1120
-10.8058,-10.3308,0.0225,0.1274
-11.1822,-10.5856,0.0241,0.1341
-11.4273,-10.6368,0.0412,0.1395
-11.6198,-10.8028,0.0599,0.1380
-10.3366,-10.0551,0.0038,0.1464
-10.6241,-10.2235,0.0041,0.1474
-10.8621,-10.3478,0.0087,0.1505
-11.0737,-10.4581,0.0156,0.1620
