# MIGHTEE-HI RAR (arXiv:2504.20857) fiducial varying-M/L sample, extracted from
# vector PDF RAR_best_fit_residuals_with_postpredictive.pdf (arXiv source tarball).
# Validation: MNR refit with their nu reproduces published a0=(1.69+/-0.13)e-10.
# columns: log10_gbar[m/s2]  log10_gobs[m/s2]  sigma_x[dex]  sigma_y[dex]
-11.6239,-10.5246,0.0777,0.0676
-11.6986,-10.4920,0.1409,0.0529
-11.7718,-10.5119,0.2414,0.0478
-11.8007,-10.5605,0.3488,0.0476
-11.8014,-10.6057,0.4570,0.0454
-11.7968,-10.6481,0.5537,0.0488
-11.7990,-10.6902,0.6388,0.0518
-11.8124,-10.7432,0.7275,0.0532
-11.6271,-10.6412,0.0543,0.2539
-11.7568,-10.7959,0.0488,0.2513
-11.8473,-10.8252,0.0644,0.2661
-11.2750,-10.5082,0.0322,0.0895
-11.4934,-10.5993,0.0293,0.1346
-11.7278,-10.6722,0.0464,0.1752
-11.6616,-10.8175,0.0446,0.1987
-11.6230,-10.8736,0.0302,0.2004
-11.6883,-11.0085,0.0423,0.2296
-10.8377,-10.3327,0.0330,0.1734
-11.1296,-10.4904,0.0287,0.1761
-11.3793,-10.6196,0.0361,0.2012
-10.9304,-10.2459,0.0504,0.0841
-11.2553,-10.4430,0.0518,0.0826
-11.4310,-10.5789,0.0504,0.0853
-11.5583,-10.6637,0.0648,0.0901
-11.6764,-10.7752,0.0909,0.1186
-11.2707,-10.5739,0.1204,0.0656
-11.4922,-10.7036,0.0562,0.0712
-11.6262,-10.8736,0.0495,0.0846
-11.7402,-10.9954,0.0677,0.1290
-10.5632,-10.2071,0.0823,0.1242
-10.8492,-10.3305,0.0650,0.1202
-11.0411,-10.3929,0.0681,0.1164
-11.1677,-10.5051,0.1642,0.1181
-11.2740,-10.5824,0.2556,0.1370
-11.2298,-10.2317,0.0377,0.0850
-11.4819,-10.4241,0.0550,0.0881
-11.5922,-10.5514,0.0797,0.0977
-11.6870,-10.7282,0.1133,0.1125
-11.7927,-10.9192,0.1624,0.1056
-9.9696,-9.8229,0.0855,0.1956
-10.3878,-10.0491,0.0719,0.1972
-10.6828,-10.2972,0.0695,0.2036
-10.8827,-10.4064,0.0706,0.1946
-11.0319,-10.4886,0.0679,0.1955
-11.1559,-10.5125,0.0661,0.2017
-10.1726,-10.2289,0.0503,0.1825
-10.6373,-10.3131,0.0487,0.1968
-10.9140,-10.5213,0.0498,0.2254
-11.1161,-10.4930,0.0473,0.1493
-11.2849,-10.5902,0.0459,0.1443
-10.8917,-10.1994,0.0283,0.0480
-11.2680,-10.3975,0.0264,0.0508
-11.5176,-10.5579,0.0388,0.0643
-11.1423,-10.6269,0.0627,0.1919
-11.3639,-10.7768,0.0371,0.1901
-11.4844,-10.8992,0.0277,0.2008
-11.5768,-11.0321,0.0387,0.2210
-11.3729,-10.4733,0.0357,0.1734
-11.7021,-10.6480,0.0352,0.1735
-11.9157,-10.8445,0.0547,0.1793
-11.6691,-10.5428,0.0389,0.0632
-11.9101,-10.7359,0.0321,0.0654
-12.0425,-10.8657,0.0521,0.0671
-12.1377,-10.9682,0.0841,0.1075
-10.8327,-10.4782,0.0409,0.1348
-11.2928,-10.4558,0.0367,0.0800
-11.5421,-10.5641,0.0411,0.0615
-11.7064,-10.6675,0.0362,0.0544
-11.8246,-10.7531,0.0597,0.0595
-10.5304,-10.1080,0.0368,0.0794
-10.9216,-10.3392,0.0355,0.0843
-11.1953,-10.5319,0.0478,0.1120
-10.9457,-10.3308,0.0497,0.1274
-11.2924,-10.5856,0.0390,0.1341
-11.5144,-10.6368,0.0441,0.1395
-11.6915,-10.8028,0.0563,0.1380
-10.4923,-10.0550,0.0458,0.1464
-10.8229,-10.2234,0.0377,0.1474
-11.0562,-10.3478,0.0325,0.1505
-11.2534,-10.4580,0.0389,0.1620
