time_ns,rmsd_nm
0.01,0.25023820317324597
0.02,0.24254750084280516
0.03,0.152672300423052
0.04,0.23016735714400763
0.05,0.22732440810465676
0.06,0.3785718590337101
0.07,0.3295815949968859
0.08,0.2720821752063336
0.09,0.2706719792471377
0.1,0.3043877985918997
0.11,0.2539138021509593
0.12,0.277286885147665
0.13,0.2886338654451769
0.14,0.25806501701628415
0.15,0.3400377769170134
0.16,0.42857857924425163
0.17,0.4322725421820218
0.18,0.4332687628378695
0.19,0.5208969231293429
0.2,0.5736668312443556
0.21,0.5850239222167848
0.22,0.6116649404104213
0.23,0.6776302526049975
0.24,0.557836826115068
0.25,0.5561140416950802
0.26,0.6066678408607729
0.27,0.5957336837693905
0.28,0.6993674921202986
0.29,0.7435096826011529
0.3,0.7592537402481812
0.31,0.7394888028453932
0.32,0.6575819727870184
0.33,0.7223311053467675
0.34,0.6541039813295483
0.35,0.6930454662789789
0.36,0.7728896054040599
0.37,0.6936638081732611
0.38,0.7498239772129699
0.39,0.73480944991865
0.4,0.7076709315753144
0.41,0.7021806573836461
0.42,0.7133243360204642
0.43,0.674817985625944
0.44,0.6270660151417778
0.45,0.6740316671318184
0.46,0.6977726538206724
0.47,0.7526487080223664
0.48,0.7300646388306418
0.49,0.7420522363719724
0.5,0.790627003416175
0.51,0.8066663605087611
0.52,0.9410932118144903
0.53,0.8659865793638326
0.54,0.9290637057680311
0.55,0.9777466796041987
0.56,0.9935291330008826
0.57,0.9949780160856891
0.58,0.9789225673619103
0.59,0.9855019026577416
0.6,0.9575108235547822
0.61,1.0141080593132388
0.62,1.0074439186720474
0.63,1.0180474813340632
0.64,1.0111019416799807
0.65,1.0325022544859284
0.66,1.049695376250068
0.67,1.0265501259283758
0.68,0.9865991010250327
0.69,1.0220823575073446
0.7,1.0386407342586415
0.71,1.0741399529873643
0.72,1.071264844781423
0.73,1.0670628960576425
0.74,1.0641875641906535
0.75,1.0642184193516486
0.76,1.0752846802563591
0.77,1.06844980880179
0.78,1.0454850888860574
0.79,1.0922383268837115
0.8,1.0780994464347537
0.81,1.0782131971637017
0.82,1.0827579679282717
0.83,1.067258245103895
0.84,1.05816495443441
0.85,1.0819460188442638
0.86,1.0524713792842533
0.87,1.050856524547791
0.88,1.0199148222698509
0.89,0.9737442285955793
0.9,0.984062998233714
0.91,1.014793248558687
0.92,1.042519849476841
0.93,1.0636369905465475
0.94,1.0318427181632712
0.95,0.9824777954811654
0.96,1.0030628171626998
0.97,1.008447250045321
0.98,1.0426008817153531
0.99,1.008782144721991
1.0,0.9852456499868827
1.01,0.9908436819730752
1.02,0.9800019953317418
1.03,0.9820819988315024
1.04,1.0142151375814434
1.05,0.9683467386269478
1.06,0.9566345274792919
1.07,0.9786075455095782
1.08,1.0045315629916294
1.09,1.0156269477467785
1.1,0.9651823614233906
1.11,1.0052229931046648
1.12,1.0007664349563878
1.13,0.9459321379349759
1.14,0.9290888770530109
1.15,0.9531720937634747
1.16,0.9061884302135983
1.17,0.9479262806728883
1.18,0.9718672746527833
1.19,0.9713201085273702
1.2,1.0235634463194923
1.21,1.0239065441452302
1.22,0.9942351385962594
1.23,1.0359969070580435
1.24,1.0423698711524423
1.25,1.0645360966762234
1.26,1.0557600702655796
1.27,1.061436743416776
1.28,1.077643705055168
1.29,1.0709712941999208
1.3,1.1036184151766177
1.31,1.1020914951286582
1.32,1.0590863905794485
1.33,1.0490681062466152
1.34,1.0267105959585623
1.35,1.008354114834594
1.36,0.9760369694797618
1.37,1.006194653976496
1.38,0.9944620045036247
1.39,0.966971980564374
