name,flag,dom_share,firing,n_real,cone68_deg,cone90_deg,median_theta_deg
UGC09133,soft,0.3125,yes,200,20.82,30.16,16.41
UGC09992,soft,0.4615,no,200,6.625,12.44,4.992
UGC10310,soft,0.4136,no,200,6.517,11.55,5.314
UGC11455,soft,0.1286,no,200,4.069,6.704,3.094
UGC11557,soft,0.2299,no,200,7.991,11.8,6.087
UGC11820,soft,0.1992,no,200,7.824,10.9,6.299
UGC11914,soft,0.2315,no,200,8.247,11.79,6.45
UGC12506,soft,0.158,no,200,13.77,17.19,12.1
UGC12632,soft,0.3685,no,200,8.759,12.9,6.409
UGC12732,soft,0.2972,yes,200,10.07,14.85,7.863
UGCA281,robust,0.5347,no,200,9.373,22.5,6.509
UGCA442,soft,0.4208,no,200,8.992,12.25,7.277
UGCA444,soft,0.4819,no,200,7.096,10.19,5.545
