# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J100656-450242,Vela,151.73333,-45.04500,3912.9,4193.7,57.45,8.68,no,-0.117744,-0.728158,0.675220,0.289240,0.465001,0.836728,260.815,42.471,0.89,4.3246e-14,3.5012e-13,3.6039e-04,2.9177e-03,4.6203e-04,3.7406e-03,3.8271e-04,3.0984e-03,RXCJ1036.6-2731,cluster,0.224,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,8.29,11.08,200,edge,yes
J100748-430145,Vela,151.95000,-43.02917,6255.2,6543.7,89.64,10.40,no,0.862626,0.304808,0.403693,0.775482,-0.630996,0.021724,19.461,23.809,1.72,1.6834e-13,1.7188e-12,1.4029e-03,1.4323e-02,1.7985e-03,1.8363e-02,1.4898e-03,1.5211e-02,10070094-4303277,gal2mpp,0.797,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,60.26,64.69,200,clear,no
J100801-473847,Vela,152.00417,-47.64639,3356.2,3627.1,49.69,6.69,no,-0.221668,-0.647309,0.729284,0.324462,0.573800,0.751983,251.096,46.826,1.92,4.8934e-14,4.0460e-13,4.0778e-04,3.3717e-03,5.2280e-04,4.3227e-03,4.3304e-04,3.5805e-03,RXCJ1036.6-2731,cluster,0.193,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,6.74,8.93,200,edge,yes
J100916-431959,Vela,152.31667,-43.33306,4608.4,4896.2,67.07,10.31,no,0.118443,-0.649238,0.751307,0.470331,0.277899,0.837592,280.339,48.704,2.10,4.1506e-14,3.4024e-13,3.4588e-04,2.8354e-03,4.4344e-04,3.6351e-03,3.6731e-04,3.0110e-03,RXCJ1036.6-2731,cluster,0.148,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,7.81,17.16,200,clear,yes
J100938-255850,Hydra,152.40833,-25.98056,3079.7,3417.2,46.81,24.15,no,-0.451877,-0.815427,-0.361782,-0.759626,0.328862,0.561086,241.007,-21.210,1.10,8.2764e-14,6.5837e-13,6.8970e-04,5.4864e-03,8.8423e-04,7.0338e-03,7.3243e-04,5.8262e-03,RXCJ1036.6-2731,cluster,0.764,Abell 1060 (Hydra),29.27,7.28,16.28,34.75,200,clear,yes
J101035-254920,Hydra,152.64583,-25.82222,2516.2,2854.5,39.10,24.40,no,0.219139,-0.658389,-0.720071,-0.763181,-0.442587,0.470820,288.410,-46.060,4.15,3.0707e-14,2.4483e-13,2.5589e-04,2.0403e-03,3.2806e-04,2.6157e-03,2.7174e-04,2.1667e-03,RXCJ1036.6-2731,cluster,0.596,Abell 1060 (Hydra),80.14,13.51,33.69,44.67,200,clear,no
J101219-471739,Vela,153.07917,-47.29417,2525.4,2798.9,38.34,7.40,no,-0.704014,-0.617331,0.351094,-0.172147,0.842069,0.511161,221.247,20.554,1.57,4.4933e-14,3.6534e-13,3.7444e-04,3.0445e-03,4.8005e-04,3.9032e-03,3.9763e-04,3.2331e-03,RXCJ1248.7-4118,cluster,0.246,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,11.21,16.19,200,edge,yes
J101247-275028,Hydra,153.19583,-27.84111,2619.8,2954.6,40.47,23.13,no,-0.092636,-0.787292,-0.609582,-0.828875,-0.102798,0.549907,263.289,-37.559,3.43,3.0499e-14,2.3801e-13,2.5416e-04,1.9834e-03,3.2584e-04,2.5428e-03,2.6990e-04,2.1063e-03,RXCJ1036.6-2731,cluster,0.772,Abell 1060 (Hydra),70.95,12.04,33.18,41.41,200,clear,no
J101330-434301,Vela,153.37500,-43.71694,4578.3,4866.0,66.66,10.45,no,0.175284,-0.526185,0.832108,0.603294,0.249705,0.757419,288.424,56.316,2.60,4.4673e-14,3.7179e-13,3.7227e-04,3.0982e-03,4.7727e-04,3.9721e-03,3.9533e-04,3.2902e-03,RXCJ1036.6-2731,cluster,0.138,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,11.20,18.34,200,clear,yes
J101331-434904,Vela,153.37917,-43.81778,4212.0,4499.3,61.63,10.37,no,0.113427,-0.646626,0.754327,0.471945,0.283450,0.834820,279.949,48.967,2.06,4.3235e-14,3.5489e-13,3.6029e-04,2.9574e-03,4.6191e-04,3.7915e-03,3.8261e-04,3.1406e-03,RXCJ1036.6-2731,cluster,0.200,"Vela SC (behind ZoA, cz~18000; NOT in 2M++/MCXC reach)",,,6.35,10.56,200,clear,yes
