# FIREWALL: at N~237 the achieved sensitivity at AQUAL amplitude is ~1-1.5 sigma (n=16 gave 0.3 sigma; sqrt(237/16)=3.85x). NEITHER pre-registered kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 / N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. Input vectors only, not a verdict.
# SIGN TRAP: pre-registered A_i = 2(v_rec - v_appr)/(v_rec + v_appr) (RECEDING side), psi from the RECEDING-side kinematic major axis; perside_extractor.py's pilot printout used the OPPOSITE ordering -- the firing lane must convert and hand-verify on a raw mom1 map.
# amplitudes are OUR OWN scale; +0.100 dex global offset to the Chae Table-3 scale REPORTED NOT APPLIED. unit vector / pointing = maxclu (PRIMARY) bracket. usable = cone68<30 deg AND |b|>=5 (2M++ ZoA cloned fill). readers: skip lines starting with #.
name,field,ra_deg,dec_deg,cz_bary_kms,cz_cmb_kms,D_mpc,gal_b_deg,hr_only_cz,ux_icrs,uy_icrs,uz_icrs,usgx,usgy,usgz,point_ra_deg,point_dec_deg,angle_noclu_maxclu_deg,g_noclu_ms2,g_maxclu_ms2,eN_noclu_chae12,eN_maxclu_chae12,eN_noclu_can936,eN_maxclu_can936,eN_noclu_alt113,eN_maxclu_alt113,dom_name,dom_kind,dom_share,attractor,angle_to_attractor_deg,sep_attr_mpc,cone68_deg,cone90_deg,n_real,zoa_flag,usable
J104000-292445,Hydra,160.00000,-29.41250,3764.4,4103.1,56.21,25.30,no,0.574792,-0.216053,0.789262,0.822054,-0.157242,0.547268,339.400,52.117,0.37,1.7287e-13,1.4022e-12,1.4406e-03,1.1685e-02,1.8469e-03,1.4981e-02,1.5298e-03,1.2409e-02,RXCJ1036.6-2731,cluster,0.808,Abell 1060 (Hydra),8.43,4.85,19.10,100.21,200,clear,yes
J104004-301606,Hydra,160.01667,-30.26833,3405.2,3741.8,51.26,24.58,no,-0.471840,0.427245,0.771251,0.633623,0.713665,-0.298670,137.840,50.466,0.25,4.9119e-13,3.9366e-12,4.0933e-03,3.2805e-02,5.2478e-03,4.2058e-02,4.3468e-03,3.4837e-02,RXCJ1036.6-2731,cluster,1.002,Abell 1060 (Hydra),2.76,2.60,55.74,82.43,200,clear,no
J104016-274630,Hydra,160.06667,-27.77500,3975.0,4317.6,59.15,26.71,no,0.852522,0.046407,0.520628,0.784269,-0.547043,0.292689,3.116,31.374,2.19,1.1965e-13,1.0125e-12,9.9710e-04,8.4378e-03,1.2783e-03,1.0818e-02,1.0589e-03,8.9605e-03,RXCJ1036.6-2731,cluster,0.475,Abell 1060 (Hydra),14.56,7.44,19.53,76.01,200,clear,yes
J104059-270456,Hydra,160.24583,-27.08222,4745.5,5089.7,69.72,27.38,no,0.831764,-0.384914,0.400013,0.525294,-0.538824,0.658586,335.167,23.579,3.27,4.8892e-14,4.2356e-13,4.0743e-04,3.5297e-03,5.2235e-04,4.5253e-03,4.3267e-04,3.7484e-03,RXCJ1036.6-2731,cluster,0.194,Abell 1060 (Hydra),7.69,18.01,7.53,10.51,200,clear,yes
J104309-300301,Hydra,160.78750,-30.05028,3199.4,3537.1,48.45,25.12,no,-0.827208,0.548339,0.122683,-0.017298,0.743212,-0.668833,146.460,7.047,0.54,1.6741e-13,1.3329e-12,1.3951e-03,1.1108e-02,1.7886e-03,1.4241e-02,1.4815e-03,1.1796e-02,RXCJ1036.6-2731,cluster,1.160,Abell 1060 (Hydra),4.44,4.15,59.48,119.29,200,clear,no
J104311-261500,Hydra,160.79583,-26.25000,4532.9,4879.4,66.84,28.34,no,0.808026,-0.424342,0.408690,0.510411,-0.510005,0.692369,332.293,24.123,2.35,5.8681e-14,5.0546e-13,4.8900e-04,4.2122e-03,6.2693e-04,5.4002e-03,5.1930e-04,4.4731e-03,RXCJ1036.6-2731,cluster,0.227,Abell 1060 (Hydra),12.89,15.22,9.60,20.83,200,clear,yes
J104339-285157,Hydra,160.91250,-28.86583,3462.2,3802.9,52.09,26.18,no,0.136900,0.730536,0.669010,0.877322,0.093950,-0.470617,79.386,41.991,0.10,9.4869e-13,7.6098e-12,7.9058e-03,6.3415e-02,1.0136e-02,8.1302e-02,8.3955e-03,6.7344e-02,RXCJ1036.6-2731,cluster,0.993,Abell 1060 (Hydra),1.40,1.88,65.95,77.63,200,clear,no
J104905-292232,Hydra,162.27083,-29.37556,4279.2,4619.5,63.28,26.36,no,0.747550,-0.265681,0.608755,0.714324,-0.385082,0.584340,340.435,37.500,2.05,6.1718e-14,5.2184e-13,5.1431e-04,4.3487e-03,6.5938e-04,5.5753e-03,5.4617e-04,4.6181e-03,RXCJ1036.6-2731,cluster,0.355,Abell 1060 (Hydra),13.38,11.99,8.19,18.23,200,clear,yes
J122708+055255,NGC 4636,186.78333,5.88194,1115.9,1456.9,19.96,67.98,no,0.959219,-0.041976,0.279530,0.586314,-0.737809,0.334474,357.494,16.232,0.74,1.4919e-13,1.2071e-12,1.2433e-03,1.0059e-02,1.5939e-03,1.2896e-02,1.3203e-03,1.0682e-02,Virgo,cluster,0.895,Virgo,8.09,5.53,45.56,95.94,200,clear,no
J122710+071549,NGC 4636,186.79167,7.26361,928.9,1267.9,17.37,69.32,no,0.899366,-0.038297,0.435516,0.699566,-0.617510,0.359568,357.562,25.818,0.29,4.2188e-13,3.3839e-12,3.5157e-03,2.8199e-02,4.5072e-03,3.6153e-02,3.7334e-03,2.9946e-02,Virgo,cluster,1.116,Virgo,8.02,2.96,69.64,118.82,200,clear,no
J122726+061551,NGC 4636,186.85833,6.26417,1462.8,1803.1,24.70,68.37,no,0.969699,-0.104964,-0.220606,0.137686,-0.955645,0.260356,353.822,-12.745,2.53,4.5896e-14,3.7359e-13,3.8247e-04,3.1132e-03,4.9034e-04,3.9913e-03,4.0616e-04,3.3061e-03,Virgo,cluster,0.863,Virgo,19.35,10.12,39.23,66.20,200,clear,no
J122733+061359,NGC 4636,186.88750,6.23306,6413.1,6753.4,92.51,68.35,no,0.939647,0.112854,0.322997,0.669291,-0.716411,0.196989,6.849,18.844,1.86,2.9832e-14,2.7935e-13,2.4860e-04,2.3279e-03,3.1872e-04,2.9845e-03,2.6400e-04,2.4721e-03,RXC J1259.7+2756,cluster,0.326,Virgo,23.92,77.83,13.39,25.45,200,clear,yes
J122852+041739,NGC 4636,187.21667,4.29417,4245.1,4587.3,62.84,66.54,no,0.661402,-0.377964,-0.647835,-0.439342,-0.835752,0.329390,330.254,-40.379,8.94,1.1738e-14,1.0413e-13,9.7816e-05,8.6771e-04,1.2541e-04,1.1124e-03,1.0388e-04,9.2146e-04,RXC J1259.7+2756,cluster,0.577,Virgo,50.93,48.25,27.56,53.65,200,clear,yes
J122932+005020,NGC 4636,187.38333,0.83889,2240.3,2585.7,35.42,63.19,no,0.863551,-0.065019,-0.500052,-0.129334,-0.983936,0.123052,355.694,-30.003,5.54,2.2570e-14,1.8574e-13,1.8809e-04,1.5478e-03,2.4114e-04,1.9844e-03,1.9974e-04,1.6437e-03,RXCJ1315.3-1623,cluster,0.436,Virgo,38.78,21.14,24.17,44.75,200,clear,yes
J123026+041450,NGC 4636,187.60833,4.24722,2434.9,2776.3,38.03,66.58,no,0.878298,0.370930,-0.301667,0.195995,-0.953852,-0.227492,22.896,-17.558,4.57,2.5283e-14,2.1729e-13,2.1069e-04,1.8108e-03,2.7011e-04,2.3215e-03,2.2374e-04,1.9229e-03,Virgo,cluster,0.276,Virgo,23.80,23.49,23.08,36.40,200,clear,yes
J123138+035620,NGC 4636,187.90833,3.93889,1684.1,2025.3,27.74,66.33,no,0.193558,-0.333636,-0.922617,-0.836488,-0.537544,0.106466,300.120,-67.312,2.18,3.0047e-14,2.3311e-13,2.5039e-04,1.9426e-03,3.2102e-04,2.4905e-03,2.6591e-04,2.0629e-03,12340849+0239137,gal2mpp,1.173,Virgo,86.75,13.29,79.40,102.25,200,clear,no
J123228+002315,NGC 4636,188.11667,0.38750,1510.1,1854.4,25.40,62.87,no,0.939468,-0.342576,0.006487,0.240964,-0.808368,0.537102,339.966,0.372,3.00,3.6751e-14,3.0031e-13,3.0626e-04,2.5026e-03,3.9264e-04,3.2084e-03,3.2523e-04,2.6576e-03,Virgo,cluster,0.853,Virgo,32.01,11.36,42.39,62.09,200,clear,no
J123236+023943,NGC 4636,188.15000,2.66194,1725.4,2067.5,28.32,65.12,no,-0.491340,-0.870949,0.005759,-0.476603,0.527223,0.703481,240.571,0.330,0.15,5.5465e-13,4.5535e-12,4.6221e-03,3.7946e-02,5.9258e-03,4.8648e-02,4.9084e-03,4.0296e-02,12340849+0239137,gal2mpp,1.014,Virgo,127.60,13.97,117.80,126.42,200,clear,no
J123244+000656,NGC 4636,188.18333,0.11556,1100.3,1444.6,19.79,62.62,no,0.871131,0.010693,0.490934,0.753464,-0.573073,0.322302,0.703,29.402,0.81,1.0574e-13,8.5942e-13,8.8114e-04,7.1618e-03,1.1297e-03,9.1819e-03,9.3572e-04,7.6055e-03,Virgo,cluster,1.003,Virgo,7.67,6.19,44.80,84.30,200,clear,no
J123407+023905,NGC 4636,188.52917,2.65139,1731.8,2073.0,28.40,65.17,no,0.915674,0.035300,-0.400368,0.010373,-0.997620,0.068168,2.208,-23.601,7.40,1.5952e-14,1.3030e-13,1.3294e-04,1.0858e-03,1.7043e-04,1.3921e-03,1.4117e-04,1.1531e-03,Virgo,cluster,1.285,Virgo,31.93,14.05,34.24,63.89,200,clear,no
J123427+021108,NGC 4636,188.61250,2.18556,1800.8,2142.3,29.35,64.73,no,0.999009,0.035103,-0.027349,0.363055,-0.912518,0.188420,2.012,-1.567,1.76,6.4063e-14,5.3298e-13,5.3386e-04,4.4415e-03,6.8443e-04,5.6942e-03,5.6693e-04,4.7166e-03,12340849+0239137,gal2mpp,0.656,Virgo,11.98,15.02,36.40,85.18,200,clear,no
J123530-021940,NGC 4636,188.87500,-2.32778,7163.4,7507.9,102.85,60.29,no,0.979282,0.021613,0.201344,0.548158,-0.795445,0.258438,1.264,11.616,3.62,4.5033e-14,4.1881e-13,3.7528e-04,3.4901e-03,4.8112e-04,4.4745e-03,3.9852e-04,3.7063e-03,RXC J1231.0+0037,cluster,0.128,Virgo,10.33,88.63,10.19,18.41,200,clear,yes
J123554-015112,NGC 4636,188.97500,-1.85333,6882.8,7226.7,99.00,60.78,no,0.951340,0.143255,0.272819,0.640806,-0.751341,0.157654,8.563,15.832,5.09,4.6173e-14,4.0770e-13,3.8477e-04,3.3975e-03,4.9330e-04,4.3558e-03,4.0861e-04,3.6080e-03,RXC J1231.0+0037,cluster,0.321,Virgo,11.54,84.74,15.59,27.30,200,clear,yes
J123555-025405,NGC 4636,188.97917,-2.90139,7112.0,7456.5,102.14,59.74,no,0.973650,0.016627,0.227439,0.566835,-0.778719,0.268877,0.978,13.146,3.36,4.8367e-14,4.5552e-13,4.0306e-04,3.7960e-03,5.1675e-04,4.8667e-03,4.2803e-04,4.0312e-03,RXC J1231.0+0037,cluster,0.116,Virgo,11.18,87.97,10.85,18.87,200,clear,yes
J123630+001315,NGC 4636,189.12500,0.22083,3709.3,4051.4,55.50,62.85,no,0.323049,-0.375307,-0.868783,-0.755753,-0.626796,0.189643,310.721,-60.318,3.62,2.2977e-14,1.8897e-13,1.9147e-04,1.5748e-03,2.4548e-04,2.0190e-03,2.0333e-04,1.6723e-03,RXCJ1253.0-0912,cluster,0.275,Virgo,78.88,41.17,19.63,24.42,200,clear,yes
J123641+030621,NGC 4636,189.17083,3.10583,1472.7,1811.9,24.82,65.72,no,0.971166,0.135894,-0.195880,0.241766,-0.969418,0.042173,7.966,-11.296,2.69,4.0361e-14,3.3187e-13,3.3634e-04,2.7656e-03,4.3121e-04,3.5457e-03,3.5718e-04,2.9369e-03,Virgo,cluster,0.901,Virgo,21.48,10.51,49.49,87.96,200,clear,no
J123703+065533,NGC 4636,189.26250,6.92583,1642.4,1976.5,27.08,69.51,no,0.634694,0.372765,-0.676912,-0.218151,-0.896092,-0.386561,30.426,-42.603,4.24,2.7824e-14,2.2567e-13,2.3187e-04,1.8806e-03,2.9727e-04,2.4110e-03,2.4623e-04,1.9971e-03,Virgo,cluster,0.945,Virgo,45.55,12.45,54.78,84.27,200,clear,no
J123803-021549,NGC 4636,189.51250,-2.26361,2568.0,2910.9,39.88,60.43,no,0.648992,-0.127535,-0.750029,-0.446588,-0.892396,0.064719,348.882,-48.593,2.98,3.4939e-14,2.8559e-13,2.9116e-04,2.3799e-03,3.7328e-04,3.0512e-03,3.0919e-04,2.5273e-03,RXCJ1315.3-1623,cluster,0.330,Virgo,62.16,25.85,12.39,19.29,200,clear,yes
J123805-000137,NGC 4636,189.52083,-0.02694,3791.6,4133.0,56.62,62.66,no,0.480026,-0.240158,-0.843741,-0.629166,-0.770012,0.105981,333.421,-57.537,4.36,2.2407e-14,1.8658e-13,1.8672e-04,1.5549e-03,2.3939e-04,1.9934e-03,1.9829e-04,1.6512e-03,RXCJ1253.0-0912,cluster,0.315,Virgo,68.56,42.30,9.76,14.70,200,clear,yes
J123835+012413,NGC 4636,189.64583,1.40361,5176.6,5516.5,75.57,64.09,no,0.817268,0.484324,0.312256,0.740944,-0.646640,-0.181269,30.652,18.195,6.03,1.4669e-14,1.4065e-13,1.2224e-04,1.1721e-03,1.5672e-04,1.5027e-03,1.2981e-04,1.2447e-03,RXCJ1204.4+0154,cluster,0.712,Virgo,26.36,61.13,23.33,37.57,200,clear,yes
J123911+004305,NGC 4636,189.79583,0.71806,5111.9,5452.0,74.69,63.43,no,0.785278,0.416370,0.458229,0.831562,-0.548807,-0.085529,27.933,27.273,5.15,1.4456e-14,1.3752e-13,1.2047e-04,1.1460e-03,1.5445e-04,1.4692e-03,1.2793e-04,1.2170e-03,RXCJ1204.4+0154,cluster,0.664,Virgo,30.30,60.29,25.14,32.09,200,clear,yes
J123917-003149,NGC 4636,189.82083,-0.53028,1072.6,1413.7,19.37,62.19,no,0.783069,0.230188,0.577769,0.870207,-0.477743,0.120420,16.381,35.294,0.70,1.0335e-13,8.4180e-13,8.6126e-04,7.0150e-03,1.1042e-03,8.9936e-03,9.1461e-04,7.4496e-03,Virgo,cluster,1.098,Virgo,1.39,5.98,44.63,83.12,200,clear,no
J123949+014016,NGC 4636,189.95417,1.67111,1237.9,1576.8,21.60,64.39,no,0.949031,0.185529,0.254794,0.638835,-0.761042,0.112717,11.061,14.761,1.33,6.6410e-14,5.4436e-13,5.5342e-04,4.5364e-03,7.0951e-04,5.8159e-03,5.8770e-04,4.8174e-03,Virgo,cluster,1.047,Virgo,5.68,7.61,55.53,96.56,200,clear,no
J123954-004804,NGC 4636,189.97500,-0.80111,4456.2,4797.1,65.71,61.93,no,0.827983,-0.112084,-0.549437,-0.201303,-0.968655,0.145548,352.291,-33.328,3.35,1.8164e-14,1.6222e-13,1.5136e-04,1.3519e-03,1.9406e-04,1.7331e-03,1.6074e-04,1.4356e-03,RXC J1259.7+2756,cluster,0.324,Virgo,41.66,51.44,15.33,24.10,200,clear,yes
J123955-000822,NGC 4636,189.97917,-0.13944,3057.8,3398.1,46.55,62.59,no,0.595291,-0.104884,-0.796635,-0.499164,-0.866307,0.018629,350.008,-52.810,3.66,2.6766e-14,2.2156e-13,2.2305e-04,1.8464e-03,2.8596e-04,2.3671e-03,2.3687e-04,1.9607e-03,RXCJ1315.3-1623,cluster,0.206,Virgo,61.27,32.29,8.67,13.82,200,clear,yes
J124111+012435,NGC 4636,190.29583,1.40972,1693.8,2032.2,27.84,64.16,no,0.385648,0.920730,0.059435,0.510149,-0.409090,-0.756567,67.274,3.407,3.44,2.2487e-14,1.9707e-13,1.8739e-04,1.6423e-03,2.4024e-04,2.1055e-03,1.9900e-04,1.7440e-03,12340849+0239137,gal2mpp,0.936,Virgo,54.18,13.64,63.02,86.38,200,clear,no
J124111-013526,NGC 4636,190.29583,-1.59056,4002.0,4342.7,59.49,61.18,no,0.494377,-0.234874,-0.836914,-0.616097,-0.780481,0.106174,334.588,-56.816,3.17,2.7903e-14,2.3355e-13,2.3252e-04,1.9463e-03,2.9811e-04,2.4952e-03,2.4693e-04,2.0668e-03,RXCJ1253.0-0912,cluster,0.389,Virgo,69.61,45.30,11.14,17.50,200,clear,yes
J124231+035729,NGC 4636,190.62917,3.95806,752.1,1086.9,14.89,66.73,no,0.149200,0.361755,0.920257,0.972592,0.225933,-0.054949,67.587,66.964,0.07,7.6485e-13,6.1362e-12,6.3738e-03,5.1135e-02,8.1715e-03,6.5558e-02,6.7686e-03,5.4303e-02,Virgo,cluster,1.022,Virgo,1.62,2.30,70.66,111.05,200,clear,no
J124232-012111,NGC 4636,190.63333,-1.35306,1108.0,1447.7,19.83,61.44,no,0.797823,0.305970,0.519482,0.851373,-0.523244,0.037156,20.982,31.298,0.79,8.5355e-14,6.9820e-13,7.1129e-04,5.8183e-03,9.1192e-04,7.4594e-03,7.5536e-04,6.1787e-03,Virgo,cluster,1.104,Virgo,3.18,6.55,51.76,85.20,200,clear,no
J124240+012047,NGC 4636,190.66667,1.34639,5018.9,5356.4,73.38,64.13,no,0.706994,0.669305,0.228450,0.690503,-0.601222,-0.402165,43.431,13.206,5.15,1.0990e-14,1.0568e-13,9.1580e-05,8.8068e-04,1.1741e-04,1.1291e-03,9.7253e-05,9.3523e-04,RXCJ1204.4+0154,cluster,0.702,Virgo,33.84,58.95,25.91,38.18,200,clear,yes
J124257-011345,NGC 4636,190.73750,-1.22917,3203.5,3542.8,48.53,61.57,no,0.563575,-0.089667,-0.821184,-0.527022,-0.849799,-0.009506,350.960,-55.204,3.69,2.5811e-14,2.1408e-13,2.1509e-04,1.7840e-03,2.7575e-04,2.2872e-03,2.2841e-04,1.8946e-03,RXCJ1248.7-4118,cluster,0.197,Virgo,64.65,34.36,8.65,13.29,200,clear,yes
J124317-003841,NGC 4636,190.82083,-0.64472,2649.6,2988.3,40.94,62.16,no,0.964587,-0.106779,-0.241187,0.117411,-0.959704,0.255311,353.683,-13.957,2.03,5.6740e-14,4.7990e-13,4.7283e-04,3.9992e-03,6.0620e-04,5.1271e-03,5.0212e-04,4.2469e-03,12435092-0033406,gal2mpp,0.659,Virgo,28.66,26.77,41.14,51.51,200,clear,no
J124350-003344,NGC 4636,190.95833,-0.56222,2619.7,2958.0,40.52,62.25,no,0.262942,0.127454,-0.956356,-0.682150,-0.658478,-0.317928,25.860,-73.010,3.31,2.7311e-14,2.1952e-13,2.2759e-04,1.8293e-03,2.9179e-04,2.3453e-03,2.4169e-04,1.9426e-03,12431778-0038392,gal2mpp,0.486,Virgo,81.20,26.35,31.66,39.32,200,clear,no
J124428+002815,NGC 4636,191.11667,0.47083,1210.4,1547.5,21.20,63.29,no,0.906227,0.304108,0.293720,0.696811,-0.717250,0.002583,18.551,17.081,1.13,6.9599e-14,5.7135e-13,5.7999e-04,4.7613e-03,7.4358e-04,6.1042e-03,6.1592e-04,5.0562e-03,Virgo,cluster,1.040,Virgo,6.51,7.46,53.13,92.83,200,clear,no
J124428-030017,NGC 4636,191.11667,-3.00472,7157.2,7496.5,102.69,59.82,no,0.960080,0.173676,0.219279,0.608323,-0.785061,0.116714,10.254,12.667,3.31,4.1656e-14,3.9283e-13,3.4714e-04,3.2736e-03,4.4505e-04,4.1969e-03,3.6864e-04,3.4764e-03,RXC J1259.7+2756,cluster,0.113,Virgo,7.27,88.55,5.21,7.15,200,clear,yes
J124433-021916,NGC 4636,191.13750,-2.32111,1581.2,1920.2,26.30,60.50,no,0.800902,-0.585482,-0.125564,-0.007730,-0.717260,0.696762,323.832,-7.213,2.30,4.5479e-14,3.6880e-13,3.7899e-04,3.0733e-03,4.8588e-04,3.9402e-03,4.0247e-04,3.2637e-03,12471748-0243391,gal2mpp,0.868,Virgo,57.30,12.62,60.95,78.01,200,clear,no
J124508-002747,NGC 4636,191.28333,-0.46306,1518.3,1855.7,25.42,62.37,no,0.961372,0.248968,-0.117385,0.344345,-0.937786,-0.044545,14.519,-6.741,2.73,3.6770e-14,3.0586e-13,3.0642e-04,2.5488e-03,3.9284e-04,3.2677e-03,3.2540e-04,2.7067e-03,Virgo,cluster,0.811,Virgo,23.73,11.54,51.46,72.09,200,clear,no
J124519-004538,NGC 4636,191.32917,-0.76056,6897.0,7234.6,99.10,62.07,no,0.891482,0.338049,0.301635,0.709688,-0.703860,-0.030386,20.767,17.556,2.97,4.2034e-14,3.8286e-13,3.5028e-04,3.1905e-03,4.4908e-04,4.0904e-03,3.7198e-04,3.3881e-03,RXC J1231.0+0037,cluster,0.216,Virgo,16.91,84.80,8.62,11.56,200,clear,yes
J124645+055723,NGC 4636,191.68750,5.95639,834.6,1164.1,15.95,68.80,no,0.515305,0.581333,0.629693,0.934410,-0.248555,-0.255143,48.446,39.027,0.04,7.5760e-13,6.0803e-12,6.3133e-03,5.0669e-02,8.0940e-03,6.4960e-02,6.7044e-03,5.3808e-02,Virgo,cluster,1.010,Virgo,2.12,2.32,69.59,101.46,200,clear,no
J124753-011107,NGC 4636,191.97083,-1.18528,7036.3,7372.5,100.99,61.67,no,0.939231,0.249560,0.235723,0.640580,-0.766546,0.045439,14.880,13.634,3.05,4.1662e-14,3.8902e-13,3.4718e-04,3.2418e-03,4.4511e-04,4.1562e-03,3.6869e-04,3.4427e-03,RXC J1259.7+2756,cluster,0.132,Virgo,10.39,86.73,6.04,8.15,200,clear,yes
J124915+043926,NGC 4808,192.31250,4.65722,2669.3,2999.0,41.08,67.52,no,0.618514,0.316815,-0.719075,-0.279657,-0.894280,-0.349364,27.122,-45.978,4.21,2.7408e-14,2.2820e-13,2.2840e-04,1.9017e-03,2.9282e-04,2.4380e-03,2.4255e-04,2.0195e-03,RXCJ1315.3-1623,cluster,0.237,Virgo,46.86,26.58,11.63,16.32,200,clear,yes
J124947+035042,NGC 4808,192.44583,3.84500,695.1,1025.4,14.05,66.71,no,-0.072539,0.572376,0.816777,0.872146,0.360593,-0.330657,97.223,54.763,0.10,6.2061e-13,4.9833e-12,5.1717e-03,4.1528e-02,6.6304e-03,5.3241e-02,5.4921e-03,4.4100e-02,Virgo,cluster,1.022,Virgo,13.40,2.55,65.33,80.39,200,clear,no
J124950+025100,NGC 4808,192.45833,2.85000,1161.2,1492.5,20.45,65.72,no,0.840085,0.497135,0.217060,0.671826,-0.709182,-0.213800,30.616,12.536,0.78,9.6277e-14,7.8649e-13,8.0231e-04,6.5541e-03,1.0286e-03,8.4026e-03,8.5201e-04,6.9601e-03,Virgo,cluster,0.992,Virgo,9.42,6.51,47.40,86.48,200,clear,no
J125038+012749,NGC 4636,192.65833,1.46361,1275.4,1607.7,22.02,64.33,no,0.843586,0.524919,0.113237,0.593140,-0.759505,-0.267089,31.892,6.502,1.35,5.8159e-14,4.8022e-13,4.8466e-04,4.0018e-03,6.2135e-04,5.1306e-03,5.1468e-04,4.2497e-03,Virgo,cluster,1.036,Virgo,15.47,8.15,48.98,80.83,200,clear,no
J125451+023900,NGC 4808,193.71250,2.65000,928.9,1257.1,17.22,65.51,no,0.490231,0.647506,0.583446,0.907737,-0.252195,-0.335278,52.870,35.693,0.14,2.5941e-13,2.0956e-12,2.1618e-03,1.7463e-02,2.7715e-03,2.2389e-02,2.2957e-03,1.8545e-02,Virgo,cluster,0.990,Virgo,8.99,3.99,45.29,80.82,200,clear,no
J125515+081543,NGC 4808,193.81250,8.26194,21348.6,21669.1,296.84,71.11,no,0.958204,0.205513,-0.199020,0.257963,-0.965785,-0.026740,12.105,-11.480,1.29,1.6185e-14,1.9920e-13,1.3488e-04,1.6600e-03,1.7292e-04,2.1282e-03,1.4323e-04,1.7628e-03,RXCJ1257.1-1724,cluster,0.019,Virgo,3.97,282.18,1.15,1.56,200,clear,yes
J125548+041805,NGC 4808,193.95000,4.30139,756.1,1081.8,14.82,67.15,no,0.037442,0.684978,0.727601,0.874970,0.212779,-0.434918,86.871,46.686,0.07,6.1713e-13,4.9568e-12,5.1428e-03,4.1307e-02,6.5933e-03,5.2957e-02,5.4614e-03,4.3865e-02,Virgo,cluster,0.974,Virgo,5.02,2.62,58.85,70.51,200,clear,no
J125549+040049,NGC 4808,193.95417,4.01361,754.1,1080.1,14.80,66.86,no,-0.050726,0.613681,0.787923,0.869558,0.324672,-0.372099,94.725,51.992,0.05,6.3010e-13,5.0626e-12,5.2509e-03,4.2188e-02,6.7319e-03,5.4088e-02,5.5761e-03,4.4802e-02,Virgo,cluster,0.913,Virgo,3.18,2.67,57.44,70.47,200,clear,no
J125604+034843,NGC 4808,194.01667,3.81194,632.3,958.3,13.13,66.66,no,-0.238051,0.927414,0.288504,0.475964,0.248773,-0.843546,104.396,16.768,0.16,6.4694e-13,5.1906e-12,5.3911e-03,4.3255e-02,6.9117e-03,5.5455e-02,5.7251e-03,4.5935e-02,RXC J1242.8+0241,cluster,0.702,Virgo,44.21,3.05,56.28,67.34,200,clear,no
J125907-121329,NGC 5044,194.77917,-12.22472,1316.8,1646.4,22.55,50.60,no,0.277349,0.561584,0.779552,0.967592,0.031353,-0.250564,63.717,51.220,0.76,4.5245e-14,3.8123e-13,3.7704e-04,3.1769e-03,4.8338e-04,4.0729e-03,4.0040e-04,3.3737e-03,Virgo,cluster,0.691,NGC 5044 group,139.73,13.48,47.58,78.31,200,clear,no
J125939-145813,NGC 5044,194.91250,-14.97028,4938.2,5265.8,72.13,47.85,no,0.748433,-0.386603,-0.538875,-0.315742,-0.866386,0.386888,332.681,-32.607,0.89,1.7199e-13,1.5989e-12,1.4332e-03,1.3324e-02,1.8375e-03,1.7083e-02,1.5220e-03,1.4150e-02,13002634-1517005,gal2mpp,0.874,NGC 5044 group,58.96,36.58,78.28,98.16,200,clear,no
J125956-192430,NGC 5044,194.98333,-19.40833,826.7,1149.9,15.75,43.42,no,-0.334906,0.176431,0.925587,0.732376,0.680841,0.008981,152.219,67.757,1.44,7.1134e-14,5.8130e-13,5.9278e-04,4.8442e-03,7.5998e-04,6.2105e-03,6.2951e-04,5.1442e-03,Virgo,cluster,0.767,NGC 5044 group,89.16,20.07,23.00,39.47,200,clear,yes
J130017-122041,NGC 5044,195.07083,-12.34472,1581.2,1910.0,26.16,50.47,no,0.625019,0.685782,0.372899,0.789884,-0.467222,-0.397224,47.654,21.895,4.53,5.2559e-15,5.8010e-14,4.3799e-05,4.8342e-04,5.6153e-05,6.1977e-04,4.6512e-05,5.1337e-04,Virgo,cluster,2.762,NGC 5044 group,162.99,10.00,118.04,155.18,200,clear,no
J130053-132655,NGC 5044,195.22083,-13.44861,2560.1,2887.9,39.56,49.36,no,0.769863,-0.203906,-0.604759,-0.302125,-0.931376,0.203125,345.165,-37.212,0.57,8.1747e-14,6.5920e-13,6.8123e-04,5.4934e-03,8.7337e-04,7.0428e-03,7.2343e-04,5.8337e-03,RXCJ1315.3-1623,cluster,0.842,NGC 5044 group,26.93,4.87,23.31,47.47,200,clear,yes
J130056-135640,NGC 5044,195.23333,-13.94444,2653.6,2981.0,40.84,48.86,no,0.876198,0.036307,-0.480582,-0.073223,-0.996648,0.036473,2.373,-28.723,0.54,1.2265e-13,1.0167e-12,1.0221e-03,8.4728e-03,1.3104e-03,1.0863e-02,1.0854e-03,8.9977e-03,13005972-1430492,gal2mpp,0.493,NGC 5044 group,27.68,5.84,29.94,71.60,200,clear,yes
J130059-143042,NGC 5044,195.24583,-14.51167,2627.7,2954.7,40.48,48.30,no,0.916630,-0.245428,-0.315524,-0.011973,-0.935225,0.353852,345.011,-18.392,0.66,5.9375e-14,4.7793e-13,4.9479e-04,3.9828e-03,6.3435e-04,5.1061e-03,5.2545e-04,4.2295e-03,RXCJ1315.3-1623,cluster,0.935,NGC 5044 group,20.18,5.42,29.26,61.11,200,clear,yes
