# LANE W1 per-side asymmetries, ALL per-side-capable WALLABY galaxies
# FIREWALL: N~237 -> ~1-1.5 sigma at AQUAL amplitude; NEITHER pre-registered
#   kill condition (3-sigma AQUAL-vs-BranchB, N~1157 canonical a0=9.36e-11 /
#   N~1424 alt a0=1.13e-10) CAN TRIGGER on this sample. a0 does not enter
#   this extraction; both footings enter at the confrontation stage only.
# CONVENTION: A_preregistered = 2(v_rec - v_appr)/(v_rec + v_appr), receding-
#   side tied (side determined EMPIRICALLY; pa_flipped flags anti-aligned PA).
#   A_raw_extractor = 2(v_app - v_rec)/(v_app + v_rec) as printed by the pilot
#   extractor (OPPOSITE ordering). PA_wkapp = Deg+22 PA_model_g, 'Position
#   angle in equatorial coordinates (East of North)' (arXiv:2211.07333 Tab.4).
# QC frozen BEFORE extraction: see QC_FROZEN.md.
jname,ra,dec,cz,field,hires,tr,inc,pa_wkapp,pa_flipped,n_outer,v_rec,v_appr,A_raw_extractor,A_preregistered,sigma_boot,sanity_ratio,weight,n_models_available,model_file,qc_pass,qc_reason
J101219-471739,153.081242,-47.293172,2523.0,Vela,False,1,81.4,289.2,False,6,199.9193229059989,174.4722926026078,-0.1359380351978321,0.1359380351978321,0.026613357008547566,0.9855277285627945,mom0,1,WALLABY_J101219-471739_Vela_Kin_TR1_AvgMod.txt,False,inc 81.4 >= 70
J101247-275028,153.197305,-27.838301,2602.6,Hydra,False,2,82.3,140.0,False,5,198.3341428090847,191.85284815866436,-0.033221479959366786,0.033221479959366786,0.03236611972813253,1.10052481257526,mom0,1,WALLABY_J101247-275028_Hydra_Kin_TR2_AvgMod.txt,False,inc 82.3 >= 70
J101330-434301,153.376206,-43.715755,4564.0,Vela,False,1,82.1,128.3,False,4,261.3551747319004,221.3053187664097,-0.16595456435727904,0.16595456435727904,0.0371533984912033,1.0532093003741918,mom0,1,WALLABY_J101330-434301_Vela_Kin_TR1_AvgMod.txt,False,inc 82.1 >= 70
J101331-434904,153.377655,-43.816572,4216.0,Vela,False,1,50.2,224.9,False,4,164.88273475848467,158.48102450147155,-0.03959448190275835,0.03959448190275835,0.016334047198093764,0.9020607757959445,mom0,1,WALLABY_J101331-434904_Vela_Kin_TR1_AvgMod.txt,True,pass
J101359-253824,153.496438,-25.638627,3180.8,Hydra,False,2,68.8,241.8,False,3,122.47448966287557,112.68400330925296,-0.08326712958466698,0.08326712958466698,0.02082158548886663,1.0305626519473323,mom0,1,WALLABY_J101359-253824_Hydra_Kin_TR2_AvgMod.txt,False,n_outer 3 < 4
J101441-285221,153.674728,-28.8705,1095.2,Hydra,False,2,70.1,234.6,False,3,166.0456294392645,150.27630586822667,-0.09970426841065409,0.09970426841065409,0.039061789426209116,1.0013433535988812,mom0,1,WALLABY_J101441-285221_Hydra_Kin_TR2_AvgMod.txt,False,inc 70.1 >= 70
J101442-445108,153.675039,-44.851044,1098.8,Vela,False,1,24.6,37.6,False,3,89.54775216723772,58.51792880025366,-0.4191359289232841,0.4191359289232841,0.028530143231197798,0.9136045081421905,mom0,1,WALLABY_J101442-445108_Vela_Kin_TR1_AvgMod.txt,False,n_outer 3 < 4
J101448-285723,153.70166,-28.955955,4195.7,Hydra,False,2,75.5,39.5,False,2,202.49043096556733,211.29505155705124,0.04255644996439733,-0.04255644996439733,0.0718464811631494,1.0076805974781808,mom0,1,WALLABY_J101448-285723_Hydra_Kin_TR2_AvgMod.txt,False,inc 75.5 >= 70
J101457-433710,153.740097,-43.619809,3032.5,Vela,False,1,83.6,79.6,False,9,152.08378815427938,180.67963576339451,0.17186893482734322,-0.17186893482734322,0.033157332880585456,0.9975509380395904,mom0,1,WALLABY_J101457-433710_Vela_Kin_TR1_AvgMod.txt,False,inc 83.6 >= 70
J101655-485238,154.228179,-48.879314,2738.2,Vela,False,1,58.6,196.8,False,8,219.83988710617234,188.8066904471154,-0.15188281690679378,0.15188281690679378,0.00519194028653305,1.0096955975960498,mom0,1,WALLABY_J101655-485238_Vela_Kin_TR1_AvgMod.txt,True,pass
