Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
82,CHEMBL417,EPIRUBICIN,543.5,"Carcinoma, Hepatocellular; Lymphoma, Large B-Cell, Diffuse; Neoplasms, Germ Cell and Embryonal",0.3622,0.7191,0.0021,0.3688,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
83,CHEMBL409,BICALUTAMIDE,430.4,Prostatic Neoplasms; Prostatic Neoplasms; Prostatic Neoplasms,0.3595,0.6768,0.0224,0.3993,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
84,CHEMBL23,DILTIAZEM,414.5,Metabolic Syndrome; Atrial Fibrillation; Cardiovascular Diseases,0.3579,0.706,0.0014,0.3747,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
85,CHEMBL49,BUSPIRONE,385.5,"Scleroderma, Systemic; Cocaine-Related Disorders; Child Development Disorders, Pervasive",0.3578,0.7275,0.0007,0.3326,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
86,CHEMBL27,PROPRANOLOL,259.4,"Carcinoma, Hepatocellular; Cardiovascular Diseases; Pulmonary Disease, Chronic Obstructive",0.3487,0.676,0.0176,0.3564,CC(C)NCC(O)COc1cccc2ccccc12
87,CHEMBL421,SULFASALAZINE,398.4,"Spondylitis, Ankylosing; Peripheral Nervous System Diseases; Arthritis, Rheumatoid",0.3365,0.676,0.0007,0.3294,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
88,CHEMBL423,BETAXOLOL,307.4,"Cardiovascular Diseases; Glaucoma, Open-Angle; Ocular Hypertension",0.3328,0.6707,0.0002,0.3221,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
89,CHEMBL266349,MELAGATRAN,429.5,Thrombosis,0.3309,0.5274,0.069,0.4616,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
90,CHEMBL422,TRIFLUOPERAZINE,407.5,"Psychotic Disorders; Anemia, Diamond-Blackfan",0.3296,0.5794,0.0287,0.4317,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
91,CHEMBL269732,TACROLIMUS ANHYDROUS,804.0,"Leukemia, Lymphocytic, Chronic, B-Cell; Carcinoma, Hepatocellular; Hodgkin Disease",0.3254,0.6387,0.0,0.3497,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
92,CHEMBL428,TROVAFLOXACIN,416.4,Osteomyelitis; Bacterial Infections,0.3215,0.5825,0.0113,0.4198,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
93,CHEMBL7568,QUINACRINE,400.0,"Colorectal Neoplasms; Carcinoma, Renal Cell; Carcinoma, Non-Small-Cell Lung",0.3209,0.5772,0.0147,0.4209,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
94,CHEMBL442,ERGOTAMINE,581.7,"Hypotension, Orthostatic; Migraine Disorders",0.3054,0.4185,0.0689,0.5519,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
95,CHEMBL6995,PRACTOLOL,266.3,Cardiovascular Diseases,0.2996,0.5787,0.0027,0.335,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
96,CHEMBL38,TRETINOIN,300.4,"Acne Vulgaris; Leukemia, Myeloid, Acute; Lymphoma",0.2869,0.5537,0.0008,0.3254,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
97,CHEMBL24,ATENOLOL,266.3,Angina Pectoris; Hypertension; Myocardial Infarction,0.2842,0.5161,0.0188,0.3512,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
98,CHEMBL413,SIROLIMUS,914.2,Precursor Cell Lymphoblastic Leukemia-Lymphoma; Kidney Diseases; Cardiovascular Abnormalities,0.28,0.49,0.0,0.4201,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
99,CHEMBL13,METOPROLOL,267.4,beta-Thalassemia; Cardiovascular Diseases; Atrial Fibrillation,0.2763,0.5267,0.001,0.326,COCCc1ccc(OCC(O)CNC(C)C)cc1
100,CHEMBL429,LABETALOL,328.4,Cardiovascular Diseases; Hypertension; Pre-Eclampsia,0.2664,0.5093,0.0001,0.3133,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
