#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
490000,979.9999999906498,-2325978.191979097,307.7986202321108,74.3
495000,989.9999999904134,-2325975.617548166,309.9489195041257,74.3
500000,999.9999999901769,-2324185.9158131424,310.776003759637,74.3
505000,1009.9999999899404,-2323632.6759041864,310.09414046001285,74.3
510000,1019.999999989704,-2325384.6175699066,311.15373070788957,74.3
515000,1029.9999999894676,-2327897.8100640625,310.10963178432854,74.3
520000,1039.9999999892311,-2324500.049311746,312.0349120836385,74.3
525000,1049.9999999889947,-2326870.6338647157,310.8014868520086,74.3
530000,1059.9999999887582,-2323914.0151597187,310.94823243735397,74.2
535000,1069.9999999885217,-2325363.4793543406,308.9577742287088,74.2
540000,1079.9999999882853,-2326914.644146135,311.2420503143571,74.2
545000,1089.9999999880488,-2324436.9206656236,311.0457814971485,74.2
550000,1099.9999999878123,-2328055.7638523243,312.11533628755507,74.2
555000,1109.9999999875758,-2326093.6032980923,310.37486285899166,74.2
560000,1119.9999999873394,-2327174.462657187,308.9873956010382,74.2
565000,1129.999999987103,-2327057.6593695115,309.2066972132751,74.1
570000,1139.9999999868664,-2325541.9076711927,309.077294288016,74.1
575000,1149.99999998663,-2324023.8271716684,312.31364701921655,74.1
580000,1159.9999999863935,-2327055.679392373,310.46007875549094,74.1
585000,1169.999999986157,-2325745.082898682,311.11229345725957,74.1
590000,1179.9999999859206,-2327391.6865106914,309.46776278245443,74
595000,1189.999999985684,-2327780.4870419856,308.4698928021061,74
600000,1199.9999999854476,-2326855.636577055,310.7676727486693,74
605000,1209.9999999852112,-2325243.0622705575,309.48962487986296,74
610000,1219.9999999849747,-2327660.007159751,311.57817665882345,74
615000,1229.9999999847382,-2327424.071484398,310.1198141310668,74
620000,1239.9999999845018,-2323135.4075889643,309.4632977961841,74
625000,1249.9999999842653,-2324587.1534429695,310.0649546961,74
630000,1259.9999999840288,-2325282.6133085657,308.6076811893849,74
635000,1269.9999999837923,-2323978.879325645,310.67488815593146,74
640000,1279.9999999835559,-2322832.6344855838,309.1939828926153,74
645000,1289.9999999833194,-2324144.3530794885,310.93908466060515,74.1
650000,1299.999999983083,-2325279.6969281025,308.6921619966811,74
655000,1309.9999999828465,-2324729.24313993,310.52974887662236,74
660000,1319.99999998261,-2323014.7992624342,310.1638378066704,74
665000,1329.9999999823735,-2327421.5988413263,310.3862159033496,74
670000,1339.999999982137,-2325453.5774087496,311.2586578852403,74
675000,1349.9999999819006,-2323927.131885946,310.94428473607843,74
680000,1359.9999999816641,-2324402.907471832,309.5857582123035,74
685000,1369.9999999814277,-2325950.9352549,309.8769352132809,74
690000,1379.9999999811912,-2328803.4049953185,309.5851047996786,74
695000,1389.9999999809547,-2327143.4520266224,310.59125133994246,74
700000,1399.9999999807183,-2327400.49360046,311.29693697484987,74
705000,1409.9999999804818,-2324730.8811670262,312.35829688191905,74
710000,1419.9999999802453,-2324108.7723844387,309.5423062727467,74
715000,1429.9999999800089,-2325852.854604516,311.24507234774734,74
720000,1439.9999999797724,-2324815.5212804247,308.1602841200008,74
725000,1449.999999979536,-2324600.883845184,311.8293593620509,74
730000,1459.9999999792994,-2326105.8066646475,311.81207115301675,74
735000,1469.999999979063,-2325838.063967483,310.3025518618345,73.9
740000,1479.9999999788265,-2323318.569409037,309.7488935643238,73.9
745000,1489.99999997859,-2324987.4192762263,310.0905466905758,73.9
750000,1499.9999999783536,-2327280.3991630133,310.24785578002394,73.9
755000,1509.999999978117,-2324033.968252402,312.960688871038,73.9
760000,1519.9999999778806,-2325374.628760636,310.7432786773392,73.9
765000,1529.9999999776442,-2327371.405144723,311.5869432782077,73.9
770000,1539.9999999774077,-2328292.7930756006,310.4670212646306,73.9
775000,1549.9999999771712,-2323950.922690442,310.5157277307128,73.9
