name,ra,dec,D,log_eN_noclu,log_eN_maxclu,ux_icrs,uy_icrs,uz_icrs,ux_sg,uy_sg,uz_sg,ra_dir,dec_dir,cos_no_max,dom_name,dom_kind,dom_share,flag
NGC0891,35.6371,42.3483,9.91,-3.84117,-2.88298,-0.920543,0.148162,-0.361454,-0.606172,0.657773,-0.447091,170.857,-21.1895,0.998004,Virgo,cluster,0.455844,soft
NGC1003,39.8204,40.8723,11.4,-3.91194,-2.94855,-0.913518,0.138436,-0.382519,-0.625012,0.643361,-0.442092,171.383,-22.4898,0.996995,Virgo,cluster,0.477582,soft
NGC1090,41.6413,-0.24704,37,-3.83616,-2.90233,-0.262045,0.232518,0.936626,0.78836,0.614754,-0.0237987,138.417,69.4924,0.994879,RXC J0319.7+4130,cluster,0.455124,soft
NGC1705,73.5563,-53.3611,5.73,-3.71422,-2.77003,-0.991356,-0.0767084,0.106438,-0.306222,0.943538,-0.126352,184.425,6.11005,0.997196,Virgo,cluster,0.505526,robust
NGC2366,112.216,69.2086,3.27,-3.48342,-2.55358,-0.989751,-0.105641,-0.0960839,-0.490046,0.858027,-0.153765,186.092,-5.51371,0.999082,Virgo,cluster,0.488896,soft
NGC2403,114.214,65.6025,3.16,-3.49384,-2.56375,-0.99005,-0.117637,-0.0772225,-0.477997,0.867531,-0.13751,186.776,-4.42893,0.998989,Virgo,cluster,0.505215,robust
NGC2683,133.172,33.4218,9.81,-3.40582,-2.48549,-0.760011,-0.588083,-0.276661,-0.724212,0.620401,0.301031,217.732,-16.061,0.999001,Virgo,cluster,0.587371,robust
NGC2841,140.511,50.9765,14.1,-3.46458,-2.54126,-0.560144,-0.536977,-0.630789,-0.937029,0.284119,0.203109,223.79,-39.1083,0.99883,Virgo,cluster,0.550797,robust
NGC2903,143.042,21.5008,6.6,-3.35003,-2.42992,-0.893202,-0.445586,-0.0603628,-0.539095,0.819154,0.195868,206.513,-3.46064,0.999196,Virgo,cluster,0.614219,robust
NGC2915,141.548,-76.6263,4.06,-3.56424,-2.62904,-0.989573,-0.0399158,0.138389,-0.265457,0.952114,-0.151697,182.31,7.95461,0.998327,Virgo,cluster,0.486008,soft
NGC2955,145.319,35.8821,97.9,-3.55111,-2.52337,0.573393,-0.352183,-0.739721,-0.542741,-0.798559,0.260262,328.441,-47.7077,0.999092,RXC J0919.8+3345,cluster,0.21807,soft
NGC2976,146.814,67.9164,3.58,-3.29942,-2.3904,-0.739723,-0.177632,0.649043,0.221354,0.959812,0.172519,193.503,40.4695,0.998815,09555243+6940469,gal2mpp,0.771879,robust
NGC2998,147.182,44.0813,68.1,-3.70825,-2.66847,-0.60046,-0.798384,0.0450638,-0.458878,0.635155,0.621296,233.053,2.58284,0.981023,09493422+4406098,gal2mpp,0.808672,robust
NGC3109,150.779,-26.1596,1.33,-3.50464,-2.57308,-0.996963,-0.0644277,0.0437498,-0.358162,0.920519,-0.156092,183.698,2.50748,0.998846,Virgo,cluster,0.524543,robust
NGC3198,154.979,45.5497,13.8,-3.30477,-2.38586,-0.540592,-0.552605,-0.634341,-0.938093,0.266529,0.221235,225.63,-39.3711,0.999376,Virgo,cluster,0.598397,robust
NGC3521,166.452,-0.0359,7.7,-3.15055,-2.23707,-0.872748,-0.437307,0.216962,-0.289577,0.9189,0.267895,206.614,12.5307,0.999511,Virgo,cluster,0.673507,robust
NGC3726,173.338,47.0291,18,-3.30222,-2.38459,-0.11691,-0.35654,-0.926936,-0.964459,-0.258303,0.0556549,251.846,-67.9622,0.999199,Virgo,cluster,0.575479,robust
NGC3741,174.024,45.2841,3.21,-3.41764,-2.48995,-0.994952,-0.0834896,-0.0556758,-0.449608,0.877905,-0.164727,184.797,-3.19164,0.999309,Virgo,cluster,0.563341,robust
NGC3769,174.434,47.8931,18,-3.30682,-2.38926,-0.0910083,-0.331947,-0.938898,-0.95666,-0.289054,0.0353487,254.668,-69.8673,0.999186,Virgo,cluster,0.567776,robust
NGC3877,176.532,47.4945,18,-3.29332,-2.37588,-0.075296,-0.277867,-0.957664,-0.948481,-0.316393,-0.0167032,254.838,-73.2684,0.999228,Virgo,cluster,0.57368,robust
NGC3893,177.159,48.7108,18,-3.30374,-2.38627,-0.0471804,-0.259708,-0.964534,-0.93766,-0.346334,-0.0291074,259.704,-74.6949,0.9992,Virgo,cluster,0.559426,robust
NGC3917,177.69,51.8242,18,-3.29844,-2.3807,0.00905433,-0.173871,-0.984727,-0.904673,-0.413726,-0.101966,272.981,-79.9733,0.999244,Virgo,cluster,0.484094,soft
NGC3949,178.424,47.8588,18,-3.28475,-2.36757,-0.0355086,-0.218637,-0.97516,-0.928421,-0.365306,-0.0677166,260.775,-77.2028,0.999255,Virgo,cluster,0.563469,robust
NGC3953,178.454,52.3265,18,-3.33938,-2.41937,-0.0783724,-0.116841,-0.990053,-0.922583,-0.342932,-0.176743,236.148,-81.9121,0.999143,Virgo,cluster,0.520727,robust
NGC3972,178.938,55.3207,18,-3.39734,-2.47182,-0.209678,0.167159,-0.963376,-0.851886,-0.240725,-0.465126,141.438,-74.4455,0.999129,Virgo,cluster,0.521019,robust
NGC3992,179.4,53.3745,23.7,-3.54347,-2.61521,-0.00699062,-0.0253353,-0.999655,-0.872852,-0.419932,-0.248567,254.575,-88.494,0.997555,Virgo,cluster,0.443665,soft
NGC4010,179.658,47.2613,18,-3.27373,-2.35648,-0.0387807,-0.17266,-0.984218,-0.92176,-0.370652,-0.113908,257.341,-79.8071,0.999288,Virgo,cluster,0.570766,robust
NGC4013,179.631,43.947,18,-3.21674,-2.30003,-0.0976547,-0.197149,-0.975498,-0.944683,-0.311681,-0.102124,243.649,-77.2904,0.99942,Virgo,cluster,0.590904,robust
NGC4051,180.79,44.5313,18,-3.22257,-2.30557,-0.0904788,-0.14977,-0.984572,-0.93364,-0.326554,-0.14724,238.863,-79.9226,0.999414,Virgo,cluster,0.586792,robust
NGC4068,181.014,52.5906,4.37,-3.38583,-2.45893,-0.987787,-0.0822594,-0.13233,-0.512568,0.838482,-0.184992,184.76,-7.60424,0.999482,Virgo,cluster,0.567714,robust
NGC4085,181.345,50.3528,18,-3.24494,-2.32653,-0.0166784,-0.00123395,-0.99986,-0.868436,-0.413624,-0.273376,184.231,-89.0417,0.999418,Virgo,cluster,0.466245,soft
NGC4088,181.392,50.539,18,-3.24895,-2.33025,-0.0286657,0.00975056,-0.999541,-0.868907,-0.403771,-0.286305,161.214,-88.2649,0.999413,Virgo,cluster,0.466414,soft
NGC4100,181.536,49.5823,18,-3.29801,-2.37837,-0.0855747,-0.0160089,-0.996203,-0.896164,-0.348751,-0.274339,190.596,-85.0056,0.999272,Virgo,cluster,0.544736,robust
NGC4138,182.374,43.6853,18,-3.1989,-2.28191,-0.104661,-0.0980698,-0.989661,-0.925695,-0.320945,-0.200206,223.138,-81.7538,0.999468,Virgo,cluster,0.587943,robust
NGC4157,182.768,50.4847,18,-3.25474,-2.33495,-0.0738298,0.0989631,-0.992348,-0.849191,-0.368655,-0.378112,126.724,-82.9077,0.999424,Virgo,cluster,0.475583,soft
NGC4183,183.32,43.6983,18,-3.19586,-2.27869,-0.109155,-0.0606222,-0.992174,-0.916764,-0.32157,-0.23693,209.047,-82.8274,0.999479,Virgo,cluster,0.586636,robust
NGC4214,183.913,36.3269,2.87,-3.40622,-2.47871,-0.997999,-0.0526331,-0.0350508,-0.422441,0.886532,-0.188693,183.019,-2.00867,0.999351,Virgo,cluster,0.555005,robust
NGC4217,183.962,47.0918,18,-3.27025,-2.35073,-0.128735,0.0280328,-0.991283,-0.893075,-0.312085,-0.324067,167.715,-82.4292,0.999348,Virgo,cluster,0.582458,robust
NGC4389,186.396,45.6847,18,-3.23008,-2.311,-0.14516,0.0764664,-0.986449,-0.878535,-0.299895,-0.371805,152.221,-80.5569,0.999447,Virgo,cluster,0.574768,robust
NGC4559,188.99,27.9598,9,-2.9666,-2.05249,-0.962823,-0.123255,-0.240376,-0.610323,0.773652,-0.170199,187.295,-13.9088,0.999942,Virgo,cluster,0.717024,robust
NGC5005,197.735,37.0589,16.9,-3.05873,-2.14276,-0.274671,0.302488,-0.912719,-0.786404,-0.173574,-0.592824,132.241,-65.8839,0.999738,Virgo,cluster,0.680375,robust
NGC5033,198.365,36.5936,15.7,-3.02393,-2.10408,-0.853876,0.41917,-0.308533,-0.443047,0.594634,-0.670909,153.853,-17.9708,0.999944,13105631+3703321,gal2mpp,0.727826,robust
NGC5055,198.956,42.0293,9.9,-3.14479,-2.22412,-0.858534,0.150502,-0.490171,-0.693057,0.546654,-0.469938,170.057,-29.3518,0.999986,Virgo,cluster,0.695188,robust
NGC5371,208.917,40.4618,39.7,-3.54901,-2.5976,-0.0845918,0.536002,-0.839968,-0.572706,-0.335485,-0.747969,98.9684,-57.1367,0.995851,13485605+3959068,gal2mpp,0.216965,soft
NGC5585,214.951,56.7291,7.06,-3.31669,-2.38979,-0.948631,0.117881,-0.293605,-0.568564,0.714996,-0.406836,172.916,-17.0739,0.999862,Virgo,cluster,0.513246,robust
NGC5907,228.974,56.3289,17.3,-3.46483,-2.52563,-0.568068,0.433895,-0.699309,-0.667641,0.168918,-0.725067,142.627,-44.3716,0.999687,Virgo,cluster,0.422494,soft
NGC5985,234.905,59.3319,39.7,-4.00896,-3.04583,-0.138231,0.854111,-0.501385,-0.192414,-0.172572,-0.966021,99.1931,-30.0916,0.982011,15413284+5945191,gal2mpp,0.977541,robust
NGC6015,237.855,62.31,17,-3.52628,-2.58226,-0.60721,0.43475,-0.665048,-0.652499,0.218689,-0.725548,144.398,-41.686,0.999775,Virgo,cluster,0.395309,soft
NGC6195,249.136,39.028,127.8,-2.54129,-1.59893,-0.300909,0.885686,-0.353573,-0.115247,0.0339218,-0.992758,108.765,-20.706,0.999144,RXC J1628.6+3932,cluster,0.751971,robust
NGC6503,267.36,70.1443,6.26,-3.49242,-2.55588,-0.939423,0.174406,-0.29507,-0.547078,0.700686,-0.457978,169.483,-17.1618,0.999706,Virgo,cluster,0.472737,soft
NGC6674,279.641,25.3751,51.2,-3.89153,-2.89255,-0.66826,0.360503,-0.650743,-0.68841,0.286773,-0.666223,151.655,-40.5977,0.998895,18401982+2411599,gal2mpp,0.271289,soft
NGC6789,289.172,63.9733,3.52,-3.51817,-2.58143,-0.976927,0.143799,-0.157913,-0.453378,0.796117,-0.400807,171.626,-9.08577,0.999445,Virgo,cluster,0.477868,soft
