name,ra,dec,D,log_eN_noclu,log_eN_maxclu,ux_icrs,uy_icrs,uz_icrs,ux_sg,uy_sg,uz_sg,ra_dir,dec_dir,cos_no_max,dom_name,dom_kind,dom_share,flag
UGC05716,157.93,25.3076,21.3,-3.36347,-2.44895,0.0345059,-0.720946,-0.692132,-0.829696,-0.258759,0.49462,272.74,-43.7991,0.998358,Virgo,cluster,0.587047,robust
UGC05721,158.072,27.6688,6.18,-3.28031,-2.3608,-0.933533,-0.349601,-0.0793417,-0.537812,0.838058,0.0917491,200.531,-4.55072,0.999475,Virgo,cluster,0.624624,robust
UGC05750,158.938,20.9902,58.7,-3.75785,-2.81244,0.196415,-0.835375,-0.513391,-0.653986,-0.31661,0.687067,283.231,-30.89,0.995803,A1367,cluster,0.259578,soft
UGC05764,159.18,31.5473,7.47,-3.23347,-2.31544,-0.900621,-0.404111,-0.159923,-0.613528,0.779159,0.128433,204.166,-9.2024,0.999579,Virgo,cluster,0.646312,robust
UGC05829,160.678,34.4493,8.64,-3.19681,-2.27971,-0.862059,-0.440268,-0.251034,-0.689936,0.708912,0.146399,207.054,-14.5387,0.999653,Virgo,cluster,0.66385,robust
UGC05918,162.402,65.5336,7.66,-3.3997,-2.47199,-0.919135,-0.13375,-0.370543,-0.70971,0.679598,-0.185629,188.279,-21.7491,0.999569,Virgo,cluster,0.543129,robust
UGC05986,163.13,36.6188,8.63,-3.19399,-2.27657,-0.869555,-0.411455,-0.273091,-0.701922,0.703429,0.11177,205.323,-15.8483,0.999679,Virgo,cluster,0.662786,robust
UGC05999,163.244,7.6198,47.7,-3.67778,-2.74421,0.400432,-0.784064,-0.474234,-0.526212,-0.488005,0.696385,297.054,-28.3095,0.995909,RXC J1259.7+2756,cluster,0.148498,soft
UGC06399,170.847,50.8927,18,-3.37891,-2.46055,-0.125808,-0.439065,-0.889604,-0.96379,-0.226403,0.140891,254.011,-62.8235,0.998926,Virgo,cluster,0.566307,robust
UGC06446,171.669,53.7467,12,-3.3276,-2.40271,-0.747691,-0.176387,-0.640193,-0.892376,0.414046,-0.17953,193.274,-39.8062,0.999685,Virgo,cluster,0.66667,robust
UGC06614,174.812,17.1436,88.7,-2.4874,-1.57399,0.400375,-0.512233,0.759814,0.63016,0.0151666,0.776317,308.012,49.4478,0.999871,A1367,cluster,0.910873,robust
UGC06628,175.024,45.9422,15.1,-3.27105,-2.35633,-0.244717,-0.539453,-0.80567,-0.970311,-0.0739847,0.230269,245.599,-53.675,0.999368,Virgo,cluster,0.762001,robust
UGC06667,175.61,51.598,18,-3.32132,-2.40368,-0.023433,-0.280039,-0.959703,-0.93153,-0.363648,-0.00335396,265.217,-73.679,0.999158,Virgo,cluster,0.50693,robust
UGC06786,177.289,27.0221,29.3,-3.43772,-2.51752,0.333255,-0.309972,-0.890426,-0.748277,-0.651498,0.125029,317.073,-62.9268,0.997045,Virgo,cluster,0.360701,soft
UGC06787,177.314,56.0844,21.3,-3.51025,-2.58344,-0.0517448,-0.0484203,-0.997486,-0.895647,-0.376588,-0.236638,223.099,-85.9362,0.998116,Virgo,cluster,0.473501,soft
UGC06818,177.696,45.8072,18,-3.261,-2.34387,-0.0857483,-0.245679,-0.965551,-0.948211,-0.313466,-0.0513279,250.76,-74.9173,0.999315,Virgo,cluster,0.583992,robust
UGC06917,179.12,50.4284,18,-3.2777,-2.36016,0.00706058,-0.145099,-0.989392,-0.89962,-0.416689,-0.130588,272.786,-81.647,0.999302,Virgo,cluster,0.495468,soft
UGC06923,179.206,53.1603,18,-3.30126,-2.38196,-0.0150614,-0.02149,-0.999656,-0.874567,-0.41305,-0.25401,234.975,-88.4962,0.999277,Virgo,cluster,0.463366,soft
UGC06930,179.322,49.2833,18,-3.27484,-2.3579,0.015936,-0.176318,-0.984204,-0.902478,-0.419449,-0.0979607,275.164,-79.8028,0.999295,Virgo,cluster,0.519684,robust
UGC06973,179.718,42.7224,18,-3.18792,-2.27183,-0.093169,-0.207441,-0.973801,-0.945051,-0.313998,-0.0910144,245.813,-76.8558,0.999473,Virgo,cluster,0.591016,robust
UGC06983,179.786,52.7078,18,-3.29161,-2.37224,-0.0203691,0.00419967,-0.999784,-0.867899,-0.410796,-0.279281,168.35,-88.8083,0.999308,Virgo,cluster,0.463316,soft
UGC07089,181.491,43.1434,18,-3.18775,-2.27123,-0.0969505,-0.137953,-0.985682,-0.93299,-0.322347,-0.160071,234.901,-80.2928,0.999483,Virgo,cluster,0.586735,robust
UGC07125,182.173,36.8023,19.8,-3.14778,-2.23306,0.0406429,-0.152465,-0.987473,-0.887887,-0.445329,-0.115495,284.926,-80.9214,0.999383,Virgo,cluster,0.589919,robust
UGC07151,182.494,46.4572,6.87,-3.21822,-2.29827,-0.950733,-0.211074,-0.227056,-0.624287,0.77691,-0.0817103,192.517,-13.1238,0.999733,Virgo,cluster,0.5576,robust
UGC07232,183.434,36.6313,2.83,-3.40887,-2.48124,-0.997979,-0.0529938,-0.0350615,-0.422566,0.886544,-0.188354,183.04,-2.00929,0.999343,Virgo,cluster,0.554287,robust
UGC07261,183.81,20.6591,13.1,-2.31722,-1.4115,-0.746257,-0.390313,-0.539217,-0.877836,0.476533,0.0481676,207.611,-32.6304,0.999994,Virgo,cluster,0.919034,robust
UGC07323,184.376,45.6193,8,-3.18695,-2.26783,-0.945312,-0.218009,-0.242606,-0.638023,0.766036,-0.0781951,192.987,-14.0404,0.999778,Virgo,cluster,0.599694,robust
