  NGC 5897      241  101.2| 0.2 1.33  13.43a 2.03E+5|0.21E+5  3.05|0.43  5.85 11.59  8.02  1.59  1.20  9.92 -1.17d  3.9 13.2
* NGC 5904      889   53.8| 0.2 1.13   7.50b 3.72E+5|0.06E+5  1.52|0.20  1.20  5.58  3.61  3.66  2.41  9.45 -0.52c  7.7 29.9
  NGC 5927      386 -104.1| 0.3 1.42   8.40b 3.54E+5|0.03E+5  2.61|0.36  1.46  7.21  4.98  3.28  2.23  9.54 -0.30c  6.5 24.9
* NGC 5986      231  101.0| 0.4 1.07   9.00a 3.01E+5|0.31E+5  2.45|0.38  1.09  3.73  2.44  4.13  3.27  9.12 -0.57c  8.3 31.1
  Pal 14         17   72.2| 0.2 0.00  71.00a 2.27E+4|1.14E+4  3.40|1.82 17.10 33.14 23.60 -0.68 -1.06 10.27 -1.52c  0.8  2.6
* NGC 6093      455   11.2| 0.4 1.94  10.50a 2.49E+5|0.12E+5  1.43|0.15  0.19  3.02  1.83  5.48  3.15  8.94 -0.31c  9.5 40.2
* NGC 6121     2981   71.0| 0.1 0.85   2.14a 9.69E+4|0.26E+4  1.71|0.10  0.66  4.20  2.82  3.63  2.17  8.99 -0.19c  4.6 18.4
  NGC 6101        0  361.4| 1.7 0.00  16.07a 1.27E+5|0.11E+5  3.00|1.70  5.45 14.97 10.32  1.32  0.66  9.98 -1.02c  2.7  9.6
  NGC 6144       19  196.0| 0.7 0.08  12.02a 4.63E+4|2.66E+4  0.54|0.32  2.72  7.91  5.90  1.77  1.05  9.25  0.12c  2.2  8.0
  NGC 6139       56   25.0| 0.8 0.16  10.40a 3.59E+5|0.73E+5  1.90|0.40  0.41  4.29  2.62  4.84  2.71  9.28 -0.57d  9.2 37.8
* Ter 3          22 -135.7| 0.6 0.00   8.10a 5.46E+4|2.25E+4  7.70|3.49  2.39  7.92  5.27  1.95  1.12  9.35 -0.63d  2.4  9.2
* NGC 6171      392  -34.7| 0.2 1.53   6.09a 8.70E+4|0.70E+4  2.16|0.61  0.88  4.27  3.11  3.31  2.12  8.95  0.08c  4.3 16.4
  ESO 452-SC11   13   16.4| 0.4 0.00   7.80a 1.06E+4|0.57E+4  3.38|1.91  0.16  5.21  3.66  4.06  1.02  8.73 -0.05d  1.6  6.3
  NGC 6205      386 -244.4| 0.3 2.92   6.60a 4.53E+5|0.34E+5  2.61|0.26  1.58  4.56  3.08  3.58  2.87  9.36 -0.62c  9.2 33.4
  NGC 6229       21 -138.3| 0.8 0.00  30.62a 2.91E+5|0.94E+5  2.42|0.88  1.16  5.01  3.18  3.56  2.46  9.35 -0.63d  7.1 27.3
* NGC 6218      469  -41.2| 0.2 0.99   5.22a 8.65E+4|0.60E+4  1.27|0.30  0.71  4.05  2.82  4.05  2.51  8.91 -0.25c  4.5 16.9
* NGC 6254      400   74.0| 0.2 1.07   4.71a 1.84E+5|0.04E+5  1.94|0.07  0.81  4.39  2.78  3.78  2.49  9.15 -0.50c  6.2 24.1
  NGC 6256       15  -99.6| 1.1 0.00   6.40a 7.23E+4|3.32E+4  2.23|1.43  0.05  4.38  2.93  5.98  1.99  8.96 -0.26d  4.5 17.7
  NGC 6266      239  -74.5| 0.7 1.67   6.47b 7.07E+5|0.05E+5  2.57|0.21  0.39  2.95  1.83  5.13  3.52  9.13 -0.43d 15.2 60.9
  NGC 6273      296  145.3| 0.5 0.55   8.24a 6.80E+5|0.59E+5  2.09|0.20  1.11  4.97  3.13  4.04  2.82  9.53 -0.81d 11.0 42.5
  NGC 6284       56   29.0| 0.7 0.24  15.30a 5.51E+5|1.13E+5  3.42|1.11  0.63  6.77  3.91  4.17  2.38  9.67 -0.94d  8.9 36.2
  NGC 6293        0 -142.6| 0.4 1.06   9.50a 1.88E+5|0.18E+5  1.67|0.29  0.11  4.37  2.76  5.55  2.34  9.17 -0.46d  7.5 29.9
  NGC 6304      193 -108.2| 0.4 0.65   9.40a 2.77E+5|0.29E+5  1.37|0.26  1.02  6.68  4.45  3.39  2.03  9.49 -0.66c  5.7 23.0
  NGC 6316       70   99.1| 0.8 0.39  11.60a 3.75E+5|0.69E+5  2.10|0.75  0.59  4.49  2.72  4.40  2.69  9.32 -0.61d  9.0 35.9
  NGC 6341      422 -120.7| 0.3 0.75   8.10b 2.68E+5|0.03E+5  1.81|0.09  0.61  4.14  2.28  4.94  2.67  9.24 -0.82c  8.0 31.9
  NGC 6342       19  116.0| 0.8 0.00   8.43a 4.64E+4|1.60E+4  2.82|1.44  0.07  2.88  2.10  6.69  2.96  8.53  0.14d  4.5 17.0
  NGC 6356       20   37.6| 1.2 0.00  15.10a 3.98E+5|1.54E+5  1.62|0.65  1.14  5.89  3.71  3.76  2.42  9.54 -0.81d  7.8 30.7
* NGC 6355       10 -196.4| 1.3 0.00   8.70a 1.53E+5|0.77E+5  1.22|0.66  0.33  4.22  2.64  4.82  2.41  9.09 -0.39d  6.2 24.6
  NGC 6352       33 -140.1| 0.8 0.02   5.89a 9.38E+4|3.49E+4  2.47|0.95  0.57  4.71  3.23  3.64  1.97  9.08 -0.37d  4.4 16.8
* NGC 6366      220 -120.9| 0.2 0.51   3.30a 4.73E+4|0.56E+4  2.34|0.73  1.38  4.54  3.31  2.65  1.83  8.89 -0.16c  3.0 11.2
* HP 1           24   40.1| 1.1 0.00   6.80a 1.11E+5|0.38E+5  5.04|1.95  0.27  3.86  2.55  5.16  2.41  8.95 -0.26d  5.5 21.3
  NGC 6362      374  -14.7| 0.2 1.11   8.00b 1.47E+5|0.04E+5  2.60|0.14  2.85  8.07  5.77  2.22  1.53  9.51 -0.39c  3.9 14.2
* Lil 1          64   58.2| 2.2 0.30   8.10a 6.66E+5|1.17E+5  1.48|0.29  0.06  1.57  1.11  7.85  4.91  8.61  0.07d 23.2 94.3
  Ter 1          27   57.7| 1.2 0.00   6.70a 2.23E+5|0.66E+5  3.22|1.81  0.61  3.34  2.27  4.18  2.89  8.99 -0.29d  7.8 30.2
  Ton 2          24 -183.8| 0.8 0.00   6.40a 8.01E+4|4.02E+4  5.31|3.05  0.95  6.39  4.45  2.67  1.38  9.18 -0.47d  2.9 11.8
* NGC 6388      481   83.4| 0.5 2.89  11.00b 1.06E+6|0.01E+6  1.93|0.16  0.35  3.20  1.96  5.55  3.59  9.28 -0.57d 18.2 74.2
  NGC 6402      333  -60.7| 0.4 1.22   9.30a 7.74E+5|0.61E+5  2.20|0.23  2.28  5.33  3.57  3.32  2.79  9.60 -0.87d 11.1 39.0
* NGC 6397     2945   18.4| 0.1 1.33   2.48b 8.89E+4|0.16E+4  2.18|0.34  0.08  4.00  2.19  5.99  2.67  8.96 -0.75c  5.2 21.9
* Ter 5         398  -82.3| 1.3 0.58   5.90a 5.66E+5|0.71E+5  1.31|0.26  0.13  1.58  1.14  6.92  4.77  8.59  0.09d 19.0 72.1
* NGC 6440      164  -67.8| 1.0 1.24   8.24a 4.42E+5|0.64E+5  2.04|0.40  0.21  1.79  1.25  6.21  4.48  8.63  0.05d 15.8 61.7
* NGC 6441      326   17.1| 0.8 1.78  12.00b 1.23E+6|0.01E+6  2.05|0.13  0.42  3.37  2.03  5.40  3.59  9.35 -0.63d 18.8 75.8
* Ter 6          15  136.6| 1.6 0.00   6.70a 1.17E+5|0.44E+5  1.15|0.49  0.04  2.01  1.48  8.37  3.87  8.45  0.22d  8.7 32.8
  NGC 6496      120 -134.7| 0.3 0.65  11.69a 1.06E+5|0.16E+5  2.79|1.65  3.07  7.73  5.05  2.06  1.47  9.47 -0.75d  3.4 12.2
* NGC 6522      158  -14.0| 0.6 0.99   7.70a 3.92E+5|0.54E+5  3.31|1.03  0.15  7.78  4.34  5.58  2.01  9.75 -1.01d  8.2 33.3
* NGC 6535       30 -214.9| 0.4 0.41   7.28a 2.00E+4|0.56E+4  4.80|2.65  0.20  2.94  2.22  5.04  2.37  8.39  0.82d  2.8 11.1
* NGC 6528       50  211.0| 0.7 1.43   7.45a 8.96E+4|1.85E+4  2.26|0.75  0.11  2.80  1.97  5.94  3.02  8.65  0.03d  6.4 26.3
  NGC 6539      139   35.6| 0.5 0.81   8.40a 2.50E+5|0.35E+5  1.55|0.40  0.91  6.44  4.04  3.75  2.03  9.50 -0.78d  5.9 23.9
  NGC 6544       10  -36.4| 1.0 0.00   2.46a 6.34E+4|3.12E+4  1.88|0.94  0.08  1.84  1.37  7.71  3.91  8.25  0.41d  6.4 25.1
* NGC 6541      148 -163.9| 0.4 1.10   8.63a 2.77E+5|0.09E+5  1.42|0.50  0.22  4.28  2.61  5.66  2.65  9.21 -0.46c  8.7 36.5
* NGC 6553      431    0.5| 0.4 1.12   4.90a 2.35E+5|0.19E+5  3.13|0.45  0.55  2.93  2.02  4.83  3.55  8.87 -0.18d  8.5 32.8
* NGC 6558       17 -195.6| 0.7 0.00   6.30a 2.93E+4|1.09E+4  1.05|0.40  0.24  2.33  1.77  5.17  3.30  8.26  0.40d  3.5 13.7
  IC 1276        16  155.3| 0.9 0.00   4.00a 5.46E+4|2.60E+4  1.99|1.04  1.05  4.60  3.16  3.38  2.29  8.90 -0.21d  3.3 12.3
  NGC 6569      223  -49.9| 0.4 2.55  12.00a 3.02E+5|0.36E+5  1.98|0.44  1.21  4.60  2.94  3.55  2.58  9.29 -0.58d  7.5 28.4
  NGC 6584        0  222.9|15.0 0.00  13.18a 9.07E+4|2.00E+4  1.12|0.37  0.72  4.70  2.98  3.16  1.74  9.12 -0.67c  4.2 16.6
* NGC 6624      196   54.7| 0.4 0.96   7.00b 7.31E+4|0.20E+4  1.02|0.13  0.19  2.08  1.49  5.21  3.26  8.40  1.25c  6.1 24.4
* NGC 6626      201   11.0| 0.6 2.02   5.50a 3.69E+5|0.38E+5  2.19|0.35  0.13  2.63  1.76  7.42  3.67  8.89 -0.18d 12.6 49.5
* NGC 6642       13  -33.0| 1.0 0.00   8.05a 8.72E+4|5.49E+4  1.77|1.13  0.12  1.99  1.50  6.34  3.89  8.36  0.30d  6.9 27.5
* NGC 6656      720 -147.8| 0.3 1.04   3.10b 4.16E+5|0.05E+5  2.15|0.08  1.19  5.16  3.26  3.66  2.56  9.45 -0.68c  8.4 32.3
  NGC 6681       32  217.4| 0.9 1.12   9.20b 1.13E+5|0.02E+5  2.00|0.28  0.05  3.07  2.10  7.33  3.07  8.76 -0.00d  7.1 26.4
  NGC 6712      215 -107.5| 0.3 0.44   6.73a 1.27E+5|0.13E+5  1.41|0.31  1.22  4.31  2.86  3.57  2.69  9.03 -0.33c  5.0 18.7
* NGC 6715      548  142.3| 0.3 4.77  23.50b 1.41E+6|0.02E+6  2.04|0.10  0.54  5.62  3.20  5.35  2.98  9.77 -1.03d 16.2 53.5
  NGC 6723      360  -94.4| 0.2 0.88   8.20a 1.57E+5|0.13E+5  1.77|0.28  1.69  4.82  3.50  2.99  2.29  9.14  0.02c  5.3 19.0
  NGC 6749       15  -58.5| 0.9 0.00   7.80a 5.68E+4|3.57E+4  1.45|0.95  1.30  4.97  3.37  3.00  2.06  8.98 -0.28d  3.2 11.8
* NGC 6752     1095  -26.2| 0.1 1.20   4.30b 2.39E+5|0.04E+5  2.17|0.34  0.19  4.01  2.40  5.38  2.64  9.16 -0.45c  8.3 34.5
  NGC 6760       23   -1.6| 1.7 0.00   7.40a 2.54E+5|1.08E+5  2.29|0.98  0.75  4.50  2.82  4.03  2.54  9.24 -0.53d  7.2 28.6
  NGC 6779       96 -122.0| 0.5 0.28  13.49a 2.81E+5|0.52E+5  1.58|0.38  1.71  6.40  4.38  3.08  2.14  9.49 -0.59c  6.1 23.4
* Ter 7          42  159.6| 0.1 2.12  26.91a 1.66E+4|0.51E+4  1.00|0.57  3.26 21.36 13.07  0.71 -0.67  9.84 -1.10d  0.8  3.2
* Arp 2          65  122.5| 0.3 0.30  32.36a 1.09E+5|0.31E+5 10.03|3.47 11.21 23.58 16.74  0.40 -0.04 10.32 -1.50d  2.0  6.9
* NGC 6809      581  174.8| 0.2 2.42   5.75a 1.88E+5|0.12E+5  2.38|0.49  2.93  6.92  4.70  2.45  1.91  9.51 -0.82c  4.8 17.0
* Ter 8         110  148.2| 0.2 0.70  26.73a 4.39E+4|1.21E+4  4.02|1.53 12.44 21.40 15.26  0.02 -0.26 10.07 -1.32d  1.4  4.5
  Pal 11         18  -67.2| 1.0 0.00  14.30a 1.48E+5|1.17E+5  2.26|1.83  5.08  9.33  6.63  2.08  1.75  9.64 -0.91d  3.7 12.3
* NGC 6838      237  -22.5| 0.2 1.17   3.86a 4.91E+4|0.47E+4  2.76|1.05  0.52  4.54  2.95  3.67  1.94  8.90 -0.19c  3.3 13.1
  NGC 6864       59 -188.6| 0.9 1.12  20.00a 5.86E+5|1.24E+5  2.94|0.68  0.56  4.00  2.46  4.81  3.14  9.31 -0.60d 11.8 47.1
  NGC 6934       29 -406.1| 0.5 0.08  14.00a 1.17E+5|0.34E+5  1.76|0.51  1.12  4.72  2.63  3.56  2.50  9.17 -0.97c  4.7 17.9
  NGC 7006       30 -383.2| 0.6 0.02  58.80a 2.29E+5|0.82E+5  1.23|0.44  3.23 10.33  6.68  2.04  1.22  9.87 -1.12d  4.4 16.1
* NGC 7078     1473 -106.5| 0.2 1.31   9.90b 4.53E+5|0.05E+5  1.15|0.11  0.08  3.41  1.90  6.60  3.23  9.18 -0.75c 12.9 48.5
* NGC 7089      543   -3.6| 0.3 2.44  11.50a 5.82E+5|0.12E+5  1.62|0.06  0.77  4.79  3.00  4.31  2.80  9.44 -0.56c 10.6 42.1
* NGC 7099      762 -185.3| 0.1 0.93   8.10a 1.33E+5|0.08E+5  1.85|0.39  0.06  4.88  2.44  5.99  2.21  9.26 -1.06c  5.5 22.9
  Pal 12         26   28.2| 0.2 0.00  19.05a 1.19E+4|0.73E+4  2.92|2.02  3.69  9.98  6.98  1.16  0.50  9.18 -0.38d  1.0  3.6
  Pal 13         43   25.7| 0.3 0.00  24.80a 2.74E+4|1.45E+4 10.74|5.75  3.45 18.13 11.08  1.03 -0.24  9.85 -1.11d  1.2  4.6
  NGC 7492       29 -176.7| 0.2 0.37  26.55a 2.58E+4|0.77E+4  1.21|0.56  4.09 11.14  7.51  1.06  0.40  9.47 -0.74d  1.4  4.3
