name,M_Msun,rh_pc,sigma0_kms
NGC 6715,1.590000e+06,3.5800,17.20
NGC 6717,2.630000e+04,2.6300,2.90
NGC 6723,1.970000e+05,3.6400,5.90
NGC 6749,2.050000e+05,4.1700,5.40
NGC 6752,2.610000e+05,2.8600,7.70
NGC 6760,2.860000e+05,3.3500,6.60
NGC 6779,1.660000e+05,2.9600,5.80
Ter 7,2.230000e+04,6.3400,1.30
Pal 10,1.250000e+05,4.0300,3.90
Arp 2,3.870000e+04,14.2100,1.30
NGC 6809,1.970000e+05,4.6000,5.00
Ter 8,7.590000e+04,15.1700,1.80
Pal 11,1.420000e+04,6.1000,1.10
Sagittarius II,3.050000e+04,29.0400,0.80
NGC 6838,3.780000e+04,3.3200,2.60
NGC 6864,4.590000e+05,2.0500,12.30
NGC 6934,1.500000e+05,2.9600,5.50
NGC 6981,8.120000e+04,4.1400,3.50
NGC 7006,1.320000e+05,4.3100,4.20
Laevens 3,2.700000e+03,7.1600,0.50
NGC 7078,5.180000e+05,2.0300,13.10
NGC 7089,6.240000e+05,3.0500,11.10
NGC 7099,1.210000e+05,2.5400,5.90
Pal 12,6.190000e+03,7.0600,0.70
Pal 13,2.780000e+03,11.7200,0.50
NGC 7492,1.970000e+04,7.6200,1.30
