Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
38,CHEMBL1628233,FLUORESCEIN SODIUM,376.3,0.866,0.8708,0.9614,0.6658,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
39,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8654,0.8638,0.9827,0.6337,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
40,CHEMBL615,PENICILLIN V,350.4,0.8646,0.8708,0.9752,0.631,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
41,CHEMBL1200802,TALBUTAL,224.3,0.8635,0.8934,0.9409,0.6489,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
42,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8632,0.8486,0.9857,0.6475,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
43,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8631,0.8826,0.9473,0.6557,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
44,CHEMBL1200922,MEBUTAMATE,232.3,0.8625,0.8499,0.9877,0.6374,CCC(C)C(C)(COC(N)=O)COC(N)=O
45,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8616,0.8987,0.9203,0.6701,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
46,CHEMBL3544908,AZATADINE MALEATE,522.5,0.8615,0.9325,0.8766,0.6894,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
47,CHEMBL40,PHENOBARBITAL,232.2,0.8612,0.8869,0.947,0.6379,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
48,CHEMBL1200521,ALMOTRIPTAN MALATE,469.6,0.8611,0.8819,0.9517,0.6384,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
49,CHEMBL468837,HEPTABARBITAL,250.3,0.8609,0.8472,0.9958,0.6188,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
50,CHEMBL395091,ESKETAMINE,237.7,0.8608,0.8492,0.9951,0.6153,CN[C@]1(c2ccccc2Cl)CCCCC1=O
