Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
39,CHEMBL452,CLONAZEPAM,315.7,0.8455,0.8863,0.9085,0.638,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
40,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.8448,0.8516,0.9899,0.5409,O.O=P1(N(CCCl)CCCl)NCCCO1
41,CHEMBL592,LEVORPHANOL,257.4,0.8445,0.8736,0.9453,0.5847,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
42,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.8445,0.8512,0.9899,0.5403,O=P1(N(CCCl)CCCl)NCCCO1
43,CHEMBL963,OXYMORPHONE,301.3,0.8443,0.864,0.9596,0.5744,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
44,CHEMBL2364609,ESKETAMINE HYDROCHLORIDE,274.2,0.8442,0.8431,0.997,0.5408,CN[C@]1(c2ccccc2Cl)CCCCC1=O.Cl
45,CHEMBL450,METHARBITAL,198.2,0.8429,0.9024,0.9219,0.5661,CCC1(CC)C(=O)NC(=O)N(C)C1=O
46,CHEMBL700,SULFAPYRIDINE,249.3,0.8422,0.8454,0.9814,0.5574,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
47,CHEMBL1542,AZATHIOPRINE,277.3,0.8419,0.838,1.0,0.5338,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
48,CHEMBL395091,ESKETAMINE,237.7,0.8415,0.8492,0.9768,0.5553,CN[C@]1(c2ccccc2Cl)CCCCC1=O
49,CHEMBL1220,TINIDAZOLE,247.3,0.8409,0.8922,0.9321,0.5557,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
50,CHEMBL468837,HEPTABARBITAL,250.3,0.8407,0.8472,0.9752,0.5588,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
51,CHEMBL267936,MECAMYLAMINE,167.3,0.8394,0.9474,0.8337,0.635,CNC1(C)C2CCC(C2)C1(C)C
52,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.8361,0.8584,0.9657,0.5322,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
53,CHEMBL3989768,LEVORPHANOL TARTRATE,443.5,0.8359,0.8567,0.9486,0.5691,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13.O.O.O=C(O)C(O)C(O)C(=O)O
54,CHEMBL1095292,BRETYLIUM TOSYLATE,414.4,0.8357,0.8263,0.9934,0.539,CC[N+](C)(C)Cc1ccccc1Br.Cc1ccc(S(=O)(=O)[O-])cc1
55,CHEMBL268164,CYCLOBARBITAL,236.3,0.835,0.8262,0.9942,0.5344,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
56,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8307,0.8812,0.8902,0.6106,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
57,CHEMBL4303669,ZOLEDRONIC ACID,290.1,0.8306,0.854,0.9595,0.5264,O.O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
58,CHEMBL777,CLAVULANIC ACID,199.2,0.8303,0.8196,0.9969,0.5182,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
59,CHEMBL970,HALAZEPAM,352.7,0.8301,0.9054,0.8623,0.6155,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
60,CHEMBL856,PRIMIDONE,218.3,0.8283,0.8258,0.9709,0.5481,CCC1(c2ccccc2)C(=O)NCNC1=O
61,CHEMBL971,PENTOBARBITAL SODIUM,248.3,0.8276,0.8277,0.9636,0.5556,CCCC(C)C1(CC)C(=O)N=C([O-])NC1=O.[Na+]
62,CHEMBL568,OXAZEPAM,286.7,0.8275,0.8506,0.9117,0.6129,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
63,CHEMBL433,VALPROATE SODIUM,166.2,0.8272,0.8431,0.9579,0.5338,CCCC(CCC)C(=O)[O-].[Na+]
64,CHEMBL1003,CLAVULANATE POTASSIUM,237.2,0.8271,0.8757,0.9181,0.5478,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+]
65,CHEMBL1286,LEVETIRACETAM,170.2,0.8264,0.8901,0.9012,0.5495,CC[C@@H](C(N)=O)N1CCCC1=O
66,CHEMBL1237082,MECAMYLAMINE HYDROCHLORIDE,203.8,0.8253,0.9396,0.8138,0.6196,CNC1(C)C2CCC(C2)C1(C)C.Cl
67,CHEMBL3990694,PIPERAZINE CITRATE ANHYDROUS,642.7,0.825,0.8331,0.9723,0.5142,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
