Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
1,CHEMBL449,BUTABARBITAL,212.2,0.9132,0.9617,0.9696,0.7034,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
2,CHEMBL1200825,METHADONE HYDROCHLORIDE,345.9,0.9101,0.9656,0.9267,0.7656,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1.Cl
3,CHEMBL651,METHADONE,309.4,0.9061,0.9745,0.8854,0.8106,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
4,CHEMBL104,CLOTRIMAZOLE,344.9,0.9011,0.9766,0.887,0.778,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
5,CHEMBL1200790,METHYPRYLON,183.2,0.8984,0.9724,0.909,0.7288,CCC1(CC)C(=O)NCC(C)C1=O
6,CHEMBL454,BUTALBITAL,224.3,0.8936,0.9216,0.9999,0.625,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
7,CHEMBL1200817,LEVOMETHADYL ACETATE HYDROCHLORIDE,390.0,0.8891,0.9883,0.8083,0.8523,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1.Cl
8,CHEMBL3989949,CENOBAMATE,267.7,0.8807,0.9011,0.9813,0.6387,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
9,CHEMBL1200903,SECOBARBITAL SODIUM,260.3,0.8794,0.9086,0.9912,0.5973,C=CCC1(C(C)CCC)C(=O)[N-]C(=O)NC1=O.[Na+]
10,CHEMBL566534,ARTEMETHER,298.4,0.8787,0.8963,0.9979,0.6052,CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3
11,CHEMBL580,LORAZEPAM,321.2,0.8786,0.9109,0.9566,0.6578,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
12,CHEMBL16,PHENYTOIN,252.3,0.8762,0.9003,0.9771,0.6262,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
13,CHEMBL671,THIOTEPA,189.2,0.8719,0.9802,0.8206,0.7579,S=P(N1CC1)(N1CC1)N1CC1
14,CHEMBL1200472,QUAZEPAM,386.8,0.8714,0.9245,0.9329,0.6421,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
15,CHEMBL2106556,CYCLOBARBITAL CALCIUM,510.6,0.8701,0.8888,0.9957,0.5814,CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.CCC1(C2=CCCCC2)C(=O)[N-]C(=O)NC1=O.[Ca+2]
16,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8698,0.8942,0.9717,0.6173,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
17,CHEMBL447,SECOBARBITAL,238.3,0.8694,0.8869,0.9895,0.594,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
18,CHEMBL1200802,TALBUTAL,224.3,0.8692,0.8934,0.9851,0.5889,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
19,CHEMBL40,PHENOBARBITAL,232.2,0.8657,0.8869,0.9883,0.5779,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
20,CHEMBL452,CLONAZEPAM,315.7,0.8639,0.8863,0.9546,0.638,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
21,CHEMBL807,MEMANTINE,179.3,0.8637,0.9697,0.816,0.7471,CC12CC3CC(C)(C1)CC(N)(C3)C2
22,CHEMBL870,ALENDRONIC ACID,249.1,0.8615,0.879,0.99,0.5697,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
23,CHEMBL979,MEPROBAMATE,218.2,0.8612,0.8531,0.9982,0.6035,CCCC(C)(COC(N)=O)COC(N)=O
24,CHEMBL2105233,PROXIBARBAL,226.2,0.8612,0.8813,0.9867,0.5701,C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O
25,CHEMBL1068,OXCARBAZEPINE,252.3,0.8608,0.8703,0.9884,0.5868,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
26,CHEMBL592,LEVORPHANOL,257.4,0.858,0.8736,0.979,0.5847,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13
27,CHEMBL963,OXYMORPHONE,301.3,0.8554,0.864,0.9874,0.5744,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
28,CHEMBL2105613,DIVALPROEX SODIUM,310.4,0.8544,0.8725,0.9698,0.5871,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
29,CHEMBL1514,LEVOMETHADYL ACETATE,353.5,0.8542,0.9915,0.6998,0.8882,CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1
30,CHEMBL7728,HEXOBARBITAL,236.3,0.8541,0.8596,0.9968,0.5576,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
31,CHEMBL970,HALAZEPAM,352.7,0.8534,0.9054,0.9203,0.6155,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC(F)(F)F
