time_ps,rmsd_nm
2.0,0.37079094132492907
4.0,0.382430351952248
6.0,0.4234451280320574
8.0,0.4175174648486185
10.0,0.39588717729157885
12.0,0.39753604765578576
14.0,0.4244045073207446
16.0,0.43748707990850993
18.0,0.43438815140534204
20.0,0.4489795175967216
22.0,0.452147469824573
24.0,0.40676859107836194
26.0,0.38303483480210765
28.0,0.40634320109005234
30.0,0.42603811009833076
32.0,0.4502862663380899
34.0,0.5040052760392064
36.0,0.4896480237357928
38.0,0.4756713496820779
40.0,0.442632751764274
42.0,0.5099719289181529
44.0,0.5644676873183022
46.0,0.5611582750805238
48.0,0.6271556045056553
50.0,0.6154018251830309
52.0,0.6046314698545927
54.0,0.5752090868078217
56.0,0.568775234740437
58.0,0.6199262234698388
60.0,0.595693387644771
62.0,0.5967260697252335
64.0,0.5614571719528293
66.0,0.5251044529233043
68.0,0.5067005075590642
70.0,0.5603620910247543
72.0,0.5694541893424531
74.0,0.5489833642056087
76.0,0.5713610139270295
78.0,0.5696017654253592
80.0,0.5640678058462012
82.0,0.5612785321419557
84.0,0.5563444679769003
86.0,0.5825000101503096
88.0,0.5473440048745477
90.0,0.5404436586085116
92.0,0.5917772663018231
94.0,0.6088399050895594
96.0,0.5711803221921415
98.0,0.562945729295143
100.0,0.5779565087399401
