time_ps,rmsd_nm
2.0,0.21343513474554132
4.0,0.22368051227141755
6.0,0.26909528216355005
8.0,0.2869845017979284
10.0,0.3099952013714743
12.0,0.3285400674429437
14.0,0.3313030129579178
16.0,0.3124499245967783
18.0,0.3320040640263535
20.0,0.3394896309137955
22.0,0.3490448837192757
24.0,0.33767768808392623
26.0,0.36960827412839936
28.0,0.37487892466656725
30.0,0.3646019780459383
32.0,0.3679938602938247
34.0,0.38579428218936296
36.0,0.3738121198970362
38.0,0.37531003341557523
40.0,0.3456639529245
42.0,0.37186540615306807
44.0,0.35749356822739753
46.0,0.3734746922598809
48.0,0.37586171317074074
50.0,0.38017404591632775
52.0,0.44569144024836194
54.0,0.440367911074973
56.0,0.43197401678599995
58.0,0.4427301522577834
60.0,0.47082951193465844
62.0,0.5035941576607368
64.0,0.5084873453540778
66.0,0.503571516732173
68.0,0.5209979330028643
70.0,0.4986457899261499
72.0,0.5194669500424584
74.0,0.5210204400549595
76.0,0.5579684392273714
78.0,0.538160623066484
80.0,0.5003261929609443
82.0,0.5103312664955807
84.0,0.5212615128584098
86.0,0.5557289323201862
88.0,0.5878127416740616
90.0,0.5800138733153407
92.0,0.5801481072914618
94.0,0.6013881909319259
96.0,0.6224309222555531
98.0,0.6391510797936341
100.0,0.6135819661419346
