ugc,vsys,ra,dec,incl,pa_receding,v_c,v_rec,v_appr,rc_type,eps_kin_printed,eps_kin_recomputed,A_signed
7603,650.0,12 28 43.5,+22 50 09.1,73.12,199.93,65.07,68.97,60.59,2,0.064,0.0644,0.0644
7766,805.0,12 35 58.5,+27 57 16.9,67.31,323.31,121.95,114.51,131.16,5,0.068,0.0683,-0.0683
7989,1190.0,12 50 25.8,+25 29 56.2,44.19,32.45,256.47,243.12,242.6,4,0.001,0.001,0.001
8863,1787.0,13 56 16.3,+47 14 07.3,54.06,211.35,213.6,211.17,215.06,4,0.009,0.0091,-0.0091
9133,3841.0,14 16 06.9,+35 20 21.6,51.94,30.36,237.97,231.8,245.23,3,0.028,0.0282,-0.0282
9211,688.0,14 22 32.0,+45 23 05.0,46.22,291.13,61.6,63.72,60.02,3,0.03,0.03,0.03
9649,446.0,14 57 47.3,+71 40 54.7,56.56,228.21,88.27,89.76,89.34,1,0.002,0.0024,0.0024
9858,2628.0,15 26 41.5,+40 33 53.7,69.98,75.8,170.73,184.91,154.54,5,0.089,0.0889,0.0889
10359,908.0,16 20 57.0,+65 23 32.9,43.82,278.01,127.97,122.73,126.05,1,0.013,0.013,-0.013
10470,1359.0,16 32 39.8,+78 12 07.9,36.78,300.11,130.96,142.0,117.28,2,0.094,0.0944,0.0944
11670,777.0,21 03 33.4,+29 53 49.9,67.34,335.63,173.0,177.36,168.55,2,0.026,0.0255,0.0255
11707,901.0,21 14 30.8,+26 44 04.1,65.37,55.72,97.71,89.37,102.82,5,0.069,0.0688,-0.0688
11852,5837.0,21 55 59.6,+27 53 57.0,46.03,192.35,181.95,163.18,171.37,2,0.023,0.0225,-0.0225
11861,1481.0,21 56 22.3,+73 15 40.6,48.3,216.95,152.18,149.95,148.84,1,0.004,0.0036,0.0036
11891,457.0,22 03 31.4,+43 45 11.1,46.26,115.49,87.5,81.05,84.74,5,0.021,0.0211,-0.0211
12082,805.0,22 34 11.3,+32 51 24.3,20.56,145.25,87.19,58.33,45.02,2,0.076,0.0763,0.0763
12632,426.0,23 30 00.6,+40 59 41.5,49.49,38.38,65.93,69.07,69.0,5,0.001,0.0005,0.0005
12732,747.0,23 40 40.1,+26 14 00.0,40.27,14.33,79.34,83.81,78.05,3,0.036,0.0363,0.0363
12754,753.0,23 43 54.1,+26 04 38.5,49.46,344.85,116.74,116.93,120.25,4,0.014,0.0142,-0.0142
