Rank,ChEMBL_ID,Name,MW,Original_Indication,Combined_Score,Shape_Score,Size_Score,Allosteric_Score,SMILES
74,CHEMBL428,TROVAFLOXACIN,416.4,Osteomyelitis; Bacterial Infections,0.4417,0.7948,0.0796,0.4598,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
75,CHEMBL411,DIETHYLSTILBESTROL,268.4,"Neoplasms; Prostatic Neoplasms, Castration-Resistant",0.4389,0.6286,0.258,0.4215,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
76,CHEMBL413,SIROLIMUS,914.2,Precursor Cell Lymphoblastic Leukemia-Lymphoma; Kidney Diseases; Cardiovascular Abnormalities,0.434,0.8549,0.0,0.4601,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
77,CHEMBL43,AMSACRINE,393.5,"Neoplasms; Leukemia; Leukemia, Myeloid, Acute",0.4325,0.6937,0.1751,0.4249,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
78,CHEMBL31,GATIFLOXACIN,375.4,"Conjunctivitis, Bacterial; Osteomyelitis; Infections",0.4284,0.7027,0.1554,0.4258,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
79,CHEMBL407,FLUMAZENIL,303.3,Sleep Initiation and Maintenance Disorders; Obsessive-Compulsive Disorder; Substance-Related Disorders,0.427,0.6414,0.2157,0.4208,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
80,CHEMBL425,OLSALAZINE,302.2,"Spondylitis, Ankylosing",0.4114,0.554,0.2673,0.4147,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
81,CHEMBL23,DILTIAZEM,414.5,Metabolic Syndrome; Atrial Fibrillation; Cardiovascular Diseases,0.4033,0.7817,0.0192,0.4147,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
82,CHEMBL33,LEVOFLOXACIN ANHYDROUS,361.4,"Infections; Osteomyelitis; Urinary Bladder, Overactive",0.3957,0.6495,0.1336,0.412,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
83,CHEMBL269732,TACROLIMUS ANHYDROUS,804.0,"Leukemia, Lymphocytic, Chronic, B-Cell; Carcinoma, Hepatocellular; Hodgkin Disease",0.3935,0.7887,0.0001,0.3897,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
84,CHEMBL431,SPIRAPRIL,466.6,Cardiovascular Diseases,0.3897,0.723,0.0471,0.4081,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
85,CHEMBL6966,VERAPAMIL,454.6,"Cardiovascular Diseases; Atrial Fibrillation; Osteoarthritis, Knee",0.389,0.7439,0.025,0.4071,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
86,CHEMBL417,EPIRUBICIN,543.5,"Carcinoma, Hepatocellular; Lymphoma, Large B-Cell, Diffuse; Neoplasms, Germ Cell and Embryonal",0.3874,0.7386,0.0255,0.4088,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1
87,CHEMBL32,MOXIFLOXACIN,401.4,"Diabetes Mellitus; Acute Coronary Syndrome; Pulmonary Disease, Chronic Obstructive",0.3693,0.6775,0.0459,0.3998,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
88,CHEMBL4,OFLOXACIN,361.4,Hearing Loss; Otitis Media; Diabetic Foot,0.3665,0.6387,0.0771,0.4011,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
89,CHEMBL2,PRAZOSIN,383.4,"Hypertension; Stress Disorders, Post-Traumatic; Tobacco Use Disorder",0.3497,0.6416,0.0378,0.3899,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
90,CHEMBL430,GEMIFLOXACIN,389.4,Rhinoscleroma; Helicobacter Infections; Bacterial Infections,0.3495,0.6315,0.0457,0.3931,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
91,CHEMBL27,PROPRANOLOL,259.4,"Carcinoma, Hepatocellular; Cardiovascular Diseases; Pulmonary Disease, Chronic Obstructive",0.3488,0.5671,0.1068,0.3964,CC(C)NCC(O)COc1cccc2ccccc12
92,CHEMBL408,TROGLITAZONE,441.6,Diabetes Mellitus; Sarcoma,0.3323,0.6311,0.0115,0.3761,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2
93,CHEMBL24,ATENOLOL,266.3,Angina Pectoris; Hypertension; Myocardial Infarction,0.3183,0.4887,0.1114,0.3912,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
94,CHEMBL49,BUSPIRONE,385.5,"Scleroderma, Systemic; Cocaine-Related Disorders; Child Development Disorders, Pervasive",0.3174,0.5948,0.0125,0.3726,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
95,CHEMBL421,SULFASALAZINE,398.4,"Spondylitis, Ankylosing; Peripheral Nervous System Diseases; Arthritis, Rheumatoid",0.306,0.5684,0.0119,0.3694,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
96,CHEMBL423,BETAXOLOL,307.4,"Cardiovascular Diseases; Glaucoma, Open-Angle; Ocular Hypertension",0.3014,0.5674,0.0052,0.3621,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
97,CHEMBL6995,PRACTOLOL,266.3,Cardiovascular Diseases,0.2946,0.5184,0.0306,0.375,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
98,CHEMBL38,TRETINOIN,300.4,"Acne Vulgaris; Leukemia, Myeloid, Acute; Lymphoma",0.281,0.5069,0.013,0.3654,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
99,CHEMBL13,METOPROLOL,267.4,beta-Thalassemia; Cardiovascular Diseases; Atrial Fibrillation,0.2757,0.4913,0.015,0.366,COCCc1ccc(OCC(O)CNC(C)C)cc1
100,CHEMBL429,LABETALOL,328.4,Cardiovascular Diseases; Hypertension; Pre-Eclampsia,0.2647,0.4817,0.0034,0.3533,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
