source_id,ra,dec,parallax,parallax_error,pmra,pmdec,radial_velocity,phot_g_mean_mag
596540171089699456,128.16624474778519,8.404619005564236,4.498715129713227,0.06451566,-29.621594827770867,-3.3440860353566833,,16.45035
610609831115899776,133.8665536507564,15.69552279448295,5.306926803769553,0.14463557,-36.5336659230846,-8.720071092760854,,18.216173
611443230866052608,133.41550402122434,16.228642687646985,6.26461155276918,0.05632956,-42.908475089633384,-11.959810558174972,,16.269482
612455056441184256,135.06034333751506,18.907949580936656,5.547084109517398,0.19874595,-42.001319456476594,-12.135453681764432,,18.332537
636535048284271360,135.72993735762137,19.778341745510758,6.399852519963777,0.047523186,-47.85118465891493,-14.158348468870944,,15.908156
652212469190268928,124.44901443570541,14.442307776638923,4.652581846133439,0.06663568,-27.52228604955221,-8.35983494940684,,16.534348
658310704273685504,131.39272391839768,16.910993836708894,5.062132320974857,0.17897898,-33.389136323070986,-9.684823626005176,,18.137386
658587467670294784,130.31197803139997,17.46010804811318,5.713344929644436,0.13051073,-35.48054379963078,-11.166676070943268,,17.9729
659373141744409984,129.90414825337888,17.788814427935883,5.371860603771807,0.030681659,-35.57638630522419,-10.43849521331822,31.736969,14.734729
659440138937561344,129.73526108184353,18.216520795284247,5.2495830154532666,0.21677552,-36.16400326606244,-11.9629350433763,,18.370014
659522430511553792,128.7020003520506,17.932919152459295,5.755165298295575,0.16489208,-34.53206713193869,-12.503465451756277,,18.04562
3063100478563614336,124.66183314843875,-7.822645229000161,3.829676434244879,0.19841738,-19.875861285584634,2.9447396377956463,,18.524448
3075493799968761600,131.7666172526994,0.6727495323827322,3.7997735857136643,0.027101478,-26.975501631679442,1.5455777865628157,36.33051,14.994026
3079453003901743744,128.23606794528112,2.0530770149550626,4.235782767565235,0.027610498,-29.582548112545624,0.5112169096730464,35.435844,14.944091
3096944996949707008,125.9830837116063,6.937867862251327,3.728141136820859,0.02969261,-23.500559404289056,-2.2974804212829305,30.654858,15.0458975
1036813871283902336,137.14857046984665,57.51100866028724,6.824131229358079,0.03408779,-50.05657037715395,-37.55127674055882,14.713094,15.614
1041345817695595776,132.92329383806776,60.97526332054696,6.436504096983066,0.0378336,-42.98215086580038,-39.530780120192176,,15.987486
609169062862663168,130.88000246019232,13.797750438726752,4.624986147172876,0.06360592,-34.95952236396797,-7.84595129910192,34.943787,15.263491
609857047904101248,133.1274819473507,15.582921609004156,5.538684487715038,0.017513057,-38.51851878250592,-9.364980995574147,33.534393,12.067272
611340426527962368,136.72014461813302,17.903275291611514,6.194775850958654,0.018377114,-46.378731383944654,-11.98416492075431,30.692837,13.722612
649007835174417792,123.98585577856899,11.567369877586616,4.117011317639206,0.2159009,-26.20342571663432,-5.917005895515574,,18.870533
649026153212537088,123.46939325107077,11.465623079526678,4.558149991762256,0.05022042,-26.81953699958835,-6.697521272132893,,15.844883
651928657751421824,125.10308159741244,13.739281497719478,4.942246301928457,0.09368177,-31.834170694519088,-8.137136466883211,,17.174963
656465036568844672,122.73873478511379,16.528105043973085,5.653729838581537,0.02992399,-32.776005801670564,-11.844422772495578,39.56547,14.866352
656873230260202368,122.94424244410048,17.669793119202,4.544374753694621,0.07095569,-26.761995255068243,-10.399322225266392,,16.937275
657708824736752896,130.48452843993044,15.629768608680996,5.62447217629384,0.023818783,-39.03097304994478,-10.892925613851485,39.456474,14.678762
657769675833233408,129.74029959685444,15.887504750219332,4.975810347436903,0.032799903,-33.049337486274624,-8.833514716358255,,14.620172
659462855021155840,130.07939332771576,18.361897444516458,5.297786385367453,0.058386758,-35.27464620357421,-11.9434365454963,,16.063524
659485807326329600,129.91897571515736,18.616255616818343,5.164170932604877,0.111676574,-35.299386735034254,-11.492860274513719,,17.050997
659524805629742592,128.7242374966254,18.018117610754032,5.505140587991296,0.13836469,-34.963957202758664,-12.551137415472116,,17.821222
659608295497452160,128.65175864982388,18.39800759592264,5.238035232722707,0.025061952,-33.339723236494066,-11.150019836013888,34.09454,14.458054
659661213791017600,129.19612936692064,18.579646551639193,5.021755206574767,0.018195214,-33.17499188807257,-10.673074499441004,35.885765,12.496139
659674614089017984,129.84765366282434,18.666423608473163,5.276202065595552,0.03465661,-35.45926205921435,-11.60735592162151,60.883423,15.222378
3079158506583841024,129.7015991345158,2.5791968915415797,4.202226569702713,0.014010525,-28.544849004522902,0.3583733016390818,38.513596,12.573965
1014666305485854976,130.4093781568726,48.08642902601088,7.012859634632514,0.11726223,-47.25923573987083,-39.802214377298476,,17.640944
1039936312507866496,140.89976997791632,61.63965468892834,6.730743514968501,0.037953492,-51.0078502431164,-35.75878950415467,,15.958553
1041331764562604928,132.88543438498118,60.86713510756524,7.124268944113484,0.014947828,-46.88082081093461,-43.342437526364165,15.8069935,12.186749
1043327167712720640,139.27426581418902,63.2373119634601,6.956677601917098,0.028367512,-51.394797587001705,-37.69289526409163,8.77178,15.58847
596689468447942656,128.94040862690235,9.201164925650247,4.135228627451773,0.016225416,-27.664073194892836,-3.8321768219607475,35.339527,13.424107
604924497006948736,132.9079756454988,11.980314706148244,5.259112145498908,0.015590785,-38.76255154706057,-7.8382156223019335,35.38557,12.583746
610086944617465088,131.33101527669862,16.119386053082422,5.004425424045533,0.24786179,-36.60466624020242,-9.785969446813478,,18.830614
658875028617474048,128.51786785381805,16.973509800783983,5.2671814896590945,0.105593465,-33.54636360730239,-11.468557180979937,,17.415432
658931408652027008,128.73869128255726,17.48774590583996,5.230217832771267,0.23324242,-32.6918717723226,-10.288959400082511,,18.636286
659248858275152128,129.30751049381675,17.513484048779084,5.311279889982488,0.016148366,-35.350548281649104,-11.79671461186802,34.815235,13.257988
659698219229186688,129.7370441267475,18.858082812267664,5.554473856628747,0.050390802,-36.87305371062334,-12.882803043397637,,15.864371
5749933032829405952,133.17960368688165,-8.806612661783541,3.238205847188541,0.02722539,-23.678977220197588,5.954046161100094,44.929924,14.788285
1013177528086624128,138.35739235509575,50.03913076668491,6.797715583490222,0.1187558,-49.649928935775534,-33.17968835983781,,17.724144
1034351171396636672,129.50181728410595,57.13480395711253,6.579828099541834,0.014720472,-41.23658378175723,-41.30967070028233,18.505217,13.01933
1062988192259470208,144.44381509059647,61.79035173058942,5.99736404373569,0.046855994,-47.801037281550464,-30.37535734089073,,16.342993
1093271353829635200,126.52734708784567,65.29032238181694,5.998464777473009,0.07118673,-34.90604268538339,-41.60362998868804,,17.230402
610928865581927552,136.17549677702,16.618634377821817,4.804997557485242,0.07867769,-39.64565754203401,-9.774681155516546,,16.841494
