Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
59,CHEMBL1542,AZATHIOPRINE,277.3,0.8486,0.838,0.9867,0.5938,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12
60,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8485,0.8638,0.9405,0.6337,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
61,CHEMBL1200922,MEBUTAMATE,232.3,0.8475,0.8499,0.9503,0.6374,CCC(C)C(C)(COC(N)=O)COC(N)=O
62,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8474,0.8486,0.9462,0.6475,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
63,CHEMBL1057,FLUORESCEIN,332.3,0.8473,0.8851,0.893,0.68,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
64,CHEMBL267894,AMOBARBITAL,226.3,0.846,0.8191,0.9973,0.5972,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
65,CHEMBL1200982,BUTABARBITAL SODIUM,234.2,0.8459,0.8985,0.8997,0.6332,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+]
66,CHEMBL615,PENICILLIN V,350.4,0.8453,0.8708,0.9269,0.631,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
67,CHEMBL1201313,CHLOPHEDIANOL,289.8,0.845,0.9146,0.8599,0.6761,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl
68,CHEMBL1200796,CYCLOPHOSPHAMIDE,279.1,0.8443,0.8516,0.9586,0.6009,O.O=P1(N(CCCl)CCCl)NCCCO1
69,CHEMBL1201338,CYCLOPENTOLATE,291.4,0.8441,0.9007,0.8768,0.6656,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
70,CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,261.1,0.844,0.8512,0.9586,0.6003,O=P1(N(CCCl)CCCl)NCCCO1
71,CHEMBL223228,EFAVIRENZ,315.7,0.8437,0.8945,0.8676,0.6942,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1
72,CHEMBL70,MORPHINE,285.3,0.8437,0.8554,0.9428,0.622,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
73,CHEMBL1628233,FLUORESCEIN SODIUM,376.3,0.8431,0.8708,0.9042,0.6658,O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc([O-])ccc12.[Na+].[Na+]
74,CHEMBL108,CARBAMAZEPINE,236.3,0.8417,0.8175,0.9827,0.6084,NC(=O)N1c2ccccc2C=Cc2ccccc21
75,CHEMBL1670,MITOTANE,320.1,0.8411,0.8637,0.9264,0.6254,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
76,CHEMBL1201777,TAPENTADOL HYDROCHLORIDE,257.8,0.8408,0.8221,0.9743,0.6112,CC[C@@H](c1cccc(O)c1)[C@@H](C)CN(C)C.Cl
77,CHEMBL1576,ETHINAMATE,167.2,0.8407,0.8773,0.9207,0.6075,C#CC1(OC(N)=O)CCCCC1
78,CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,272.1,0.84,0.8776,0.9153,0.6143,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
79,CHEMBL904,DEXMETHYLPHENIDATE HYDROCHLORIDE,269.8,0.8397,0.8384,0.9545,0.6126,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1.Cl
80,CHEMBL1505,ALMOTRIPTAN,335.5,0.8389,0.8574,0.9297,0.6204,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
81,CHEMBL861,MEPHENYTOIN,218.3,0.8379,0.8017,0.9938,0.5986,CCC1(c2ccccc2)NC(=O)N(C)C1=O
82,CHEMBL1213252,CLORAZEPIC ACID,314.7,0.8373,0.8826,0.8827,0.6557,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
83,CHEMBL1200521,ALMOTRIPTAN MALATE,469.6,0.8361,0.8819,0.8893,0.6384,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O
84,CHEMBL448,PENTOBARBITAL,226.3,0.8342,0.8031,0.9834,0.5978,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
85,CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,337.8,0.834,0.8374,0.9425,0.6102,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl
86,CHEMBL967,TEMAZEPAM,300.8,0.8337,0.8694,0.8862,0.6573,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
87,CHEMBL1705,CLONIDINE HYDROCHLORIDE,266.6,0.8335,0.8016,0.9789,0.6064,Cl.Clc1cccc(Cl)c1NC1=NCCN1
88,CHEMBL777,CLAVULANIC ACID,199.2,0.833,0.8196,0.9739,0.5782,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
89,CHEMBL6437,MIANSERIN,264.4,0.8325,0.8467,0.9105,0.6482,CN1CCN2c3ccccc3Cc3ccccc3C2C1
90,CHEMBL450,METHARBITAL,198.2,0.832,0.9024,0.8646,0.6261,CCC1(CC)C(=O)NC(=O)N(C)C1=O
91,CHEMBL139,DICLOFENAC,296.1,0.8316,0.8533,0.9177,0.6158,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
92,CHEMBL1712842,MEPAZINE ACETATE,370.5,0.8313,0.8987,0.8444,0.6701,CC(=O)O.CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
93,CHEMBL13280,FLUNITRAZEPAM,313.3,0.8309,0.8591,0.8841,0.6683,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
94,CHEMBL1220,TINIDAZOLE,247.3,0.8308,0.8922,0.8769,0.6157,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C
95,CHEMBL395110,MEPAZINE,310.5,0.8302,0.8974,0.8444,0.6676,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
96,CHEMBL1455,ALTRETAMINE,210.3,0.8302,0.7658,0.9955,0.6286,CN(C)c1nc(N(C)C)nc(N(C)C)n1
97,CHEMBL3989401,PAMIDRONATE DISODIUM,369.1,0.83,0.8584,0.9206,0.5922,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O.O.O.O.O.O.[Na+].[Na+]
98,CHEMBL25,ASPIRIN,180.2,0.8288,0.8027,0.9783,0.5817,CC(=O)Oc1ccccc1C(=O)O
99,CHEMBL742,KETAMINE,237.7,0.8284,0.8195,0.9515,0.6,CNC1(c2ccccc2Cl)CCCCC1=O
100,CHEMBL659,GALANTAMINE,287.4,0.8277,0.8326,0.924,0.6251,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
