Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
36,CHEMBL227529,ALOGLIPTIN BENZOATE,461.5,0.8781,0.887,0.9769,0.6629,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1
37,CHEMBL404,TAZOBACTAM,300.3,0.8773,0.8755,0.9966,0.6423,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
38,CHEMBL607,MEPERIDINE,247.3,0.8773,0.8709,0.9987,0.6471,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
39,CHEMBL13280,FLUNITRAZEPAM,313.3,0.8771,0.8591,0.9996,0.6683,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
40,CHEMBL398707,HYDROMORPHONE,285.3,0.8768,0.8752,0.9969,0.64,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
41,CHEMBL615,PENICILLIN V,350.4,0.8737,0.8708,0.9978,0.631,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
42,CHEMBL1200347,ISOPROPAMIDE IODIDE,480.4,0.8735,0.8884,0.9812,0.6281,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-]
43,CHEMBL3183075,NIZATIDINE,331.5,0.8729,0.8925,0.9752,0.6292,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
44,CHEMBL646,TRIAZOLAM,343.2,0.8728,0.8829,0.984,0.6302,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
45,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8703,0.8638,0.9949,0.6337,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
46,CHEMBL1334033,PERHEXILINE MALEATE,393.6,0.8698,0.8773,0.9824,0.6296,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
47,CHEMBL1670,MITOTANE,320.1,0.8697,0.8637,0.9979,0.6254,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
48,CHEMBL2216870,IDELALISIB,415.4,0.8693,0.9429,0.8704,0.7198,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
49,CHEMBL1201172,IODAMIDE MEGLUMINE,823.2,0.8692,0.8654,0.9894,0.6365,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
50,CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,375.9,0.8692,0.9444,0.8722,0.7125,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl
51,CHEMBL2105754,TRELAGLIPTIN SUCCINATE,475.5,0.8691,0.8638,0.9839,0.6503,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O
