Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
71,CHEMBL1201172,IODAMIDE MEGLUMINE,823.2,0.8472,0.8654,0.9344,0.6365,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
72,CHEMBL1200699,DOXYCYCLINE,462.5,0.847,0.8388,0.9995,0.5584,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
73,CHEMBL1433,DOXYCYCLINE ANHYDROUS,444.4,0.8469,0.8386,0.9995,0.5581,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
74,CHEMBL516,CYPROHEPTADINE,287.4,0.8461,0.8518,0.9622,0.6027,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
75,CHEMBL1200438,TIOCONAZOLE,387.7,0.8461,0.8358,0.9988,0.5614,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
76,CHEMBL1057,FLUORESCEIN,332.3,0.8457,0.8851,0.8891,0.68,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
77,CHEMBL1200472,QUAZEPAM,386.8,0.8455,0.9245,0.8382,0.7021,Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21
78,CHEMBL5315117,ZANAMIVIR HYDRATE,350.3,0.8445,0.8389,0.954,0.6366,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N.O
79,CHEMBL222813,ZANAMIVIR,332.3,0.8444,0.8388,0.954,0.6365,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N
80,CHEMBL2325741,CAPIVASERTIB,428.9,0.8436,0.8598,0.97,0.5583,NC1(C(=O)N[C@@H](CCO)c2ccc(Cl)cc2)CCN(c2nc[nH]c3nccc2-3)CC1
