Rank,ChEMBL_ID,Name,MW,Combined,Shape,Size,Allosteric,SMILES
40,CHEMBL1201232,ISOPROPAMIDE,353.5,0.8683,0.8913,0.9883,0.5826,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
41,CHEMBL452,CLONAZEPAM,315.7,0.8683,0.8863,0.9556,0.658,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
42,CHEMBL1334033,PERHEXILINE MALEATE,393.6,0.8683,0.8773,0.9987,0.5896,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O
43,CHEMBL245807,OXYPHENISATINE,317.3,0.8683,0.8935,0.9779,0.5986,O=C1Nc2ccccc2C1(c1ccc(O)cc1)c1ccc(O)cc1
44,CHEMBL946,AZATADINE,290.4,0.8676,0.8755,0.9982,0.5907,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
45,CHEMBL2105754,TRELAGLIPTIN SUCCINATE,475.5,0.8672,0.8638,0.9991,0.6103,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O.O=C(O)CCC(=O)O
46,CHEMBL13280,FLUNITRAZEPAM,313.3,0.8671,0.8591,0.9946,0.6283,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
47,CHEMBL1480,FELODIPINE,384.3,0.8661,0.8776,0.9898,0.5957,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl
48,CHEMBL1201172,IODAMIDE MEGLUMINE,823.2,0.8654,0.8654,1.0,0.5965,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
49,CHEMBL2096631,CLORAZEPATE DIPOTASSIUM,408.9,0.8647,0.8812,0.9653,0.6306,O=C([O-])C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[OH-]
50,CHEMBL1200769,TRIPELENNAMINE CITRATE,447.5,0.8639,0.8633,0.9925,0.608,CN(C)CCN(Cc1ccccc1)c1ccccn1.O=C(O)CC(O)(CC(=O)O)C(=O)O
51,CHEMBL3301670,DIFEMERINE HYDROCHLORIDE,363.9,0.8639,0.8813,0.9915,0.574,CN(C)CC(C)(C)OC(=O)C(O)(c1ccccc1)c1ccccc1.Cl
52,CHEMBL376359,ALOGLIPTIN,339.4,0.8634,0.8671,0.9974,0.588,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O
53,CHEMBL515914,AZARIBINE,371.3,0.8632,0.8878,0.9795,0.5813,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O
54,CHEMBL3989949,CENOBAMATE,267.7,0.8623,0.9011,0.9254,0.6587,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl
55,CHEMBL16,PHENYTOIN,252.3,0.862,0.9003,0.9317,0.6462,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
56,CHEMBL404,TAZOBACTAM,300.3,0.8619,0.8755,0.9781,0.6023,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
57,CHEMBL398707,HYDROMORPHONE,285.3,0.8616,0.8752,0.9789,0.6,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
58,CHEMBL1611,PHENYTOIN SODIUM,274.2,0.8606,0.8942,0.9387,0.6373,O=C1N=C([O-])NC1(c1ccccc1)c1ccccc1.[Na+]
59,CHEMBL655,MIDAZOLAM,325.8,0.8606,0.8614,1.0,0.5802,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
60,CHEMBL1201728,DESVENLAFAXINE SUCCINATE,381.5,0.8603,0.8575,0.9971,0.592,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.O=C(O)CCC(=O)O
61,CHEMBL615,PENICILLIN V,350.4,0.859,0.8708,0.9813,0.591,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O
62,CHEMBL259209,MILNACIPRAN,246.3,0.8577,0.857,0.9983,0.5779,CCN(CC)C(=O)C1(c2ccccc2)CC1CN
63,CHEMBL1237055,HYDROMORPHONE HYDROCHLORIDE,321.8,0.8567,0.8589,0.9963,0.5732,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5.Cl
64,CHEMBL1200959,METHDILAZINE,296.4,0.8567,0.8548,1.0,0.5738,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1
65,CHEMBL6437,MIANSERIN,264.4,0.8554,0.8467,0.9876,0.6082,CN1CCN2c3ccccc3Cc3ccccc3C2C1
66,CHEMBL1670,MITOTANE,320.1,0.8552,0.8637,0.9815,0.5854,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
67,CHEMBL2105527,TETRAZEPAM,288.8,0.8545,0.8444,0.9949,0.5939,CN1C(=O)CN=C(C2=CCCCC2)c2cc(Cl)ccc21
68,CHEMBL1200770,IOCETAMIC ACID,614.0,0.8541,0.8638,0.9744,0.5937,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I
69,CHEMBL5315117,ZANAMIVIR HYDRATE,350.3,0.8536,0.8389,0.9969,0.5966,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N.O
70,CHEMBL222813,ZANAMIVIR,332.3,0.8536,0.8388,0.9969,0.5965,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N
71,CHEMBL70418,CLOBAZAM,300.8,0.8535,0.8369,0.9967,0.6005,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
72,CHEMBL12,DIAZEPAM,284.8,0.8531,0.8394,0.9949,0.5971,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
73,CHEMBL99946,LEVOMILNACIPRAN,246.3,0.8523,0.8514,0.9966,0.5656,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN
74,CHEMBL2103744,MORPHINE SULFATE,758.8,0.8521,0.8644,0.971,0.5899,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.O.O.O.O.O.O=S(=O)(O)O
75,CHEMBL451,CHLORDIAZEPOXIDE,299.8,0.8521,0.8382,0.9997,0.5846,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
76,CHEMBL1505,ALMOTRIPTAN,335.5,0.8511,0.8574,0.98,0.5804,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
77,CHEMBL1201119,LIOTHYRONINE SODIUM,673.0,0.851,0.9572,0.8332,0.6741,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-].[Na+]
78,CHEMBL516,CYPROHEPTADINE,287.4,0.8508,0.8518,0.9938,0.5627,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
79,CHEMBL139,DICLOFENAC,296.1,0.8505,0.8533,0.9851,0.5758,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
80,CHEMBL1701,MEPERIDINE HYDROCHLORIDE,283.8,0.8493,0.8486,0.971,0.6075,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl
81,CHEMBL32479,BROTIZOLAM,393.7,0.8491,0.8535,0.9798,0.5787,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
82,CHEMBL426559,LAROPIPRANT,435.9,0.8486,0.8823,0.9565,0.5656,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3
83,CHEMBL568,OXAZEPAM,286.7,0.8483,0.8506,0.9537,0.6329,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
84,CHEMBL1200873,PHENTOLAMINE MESYLATE,377.5,0.848,0.851,0.9896,0.5591,CS(=O)(=O)O.Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
85,CHEMBL70,MORPHINE,285.3,0.8478,0.8554,0.9731,0.582,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
86,CHEMBL661,ALPRAZOLAM,308.8,0.847,0.837,0.9996,0.5616,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
87,CHEMBL14370,REBOXETINE,313.4,0.8469,0.8414,0.9963,0.5589,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
