01 52 17.93 +01 04 57.65 67795  51 1 1
01 52 50.47 +01 12 45.11 68206  48 1 1
07 56 35.16 +54 04 28.60 30795  42 1 1
07 58 18.82 +53 57 37.69 30630  42 1 1
07 58 44.16 +54 00 46.55 31295  39 1 1
07 58 48.15 +53 59 04.92 30576  45 1 1
07 58 52.58 +54 01 11.75 30360  45 1 1
07 58 53.12 +53 58 17.87 30093  42 1 1
07 58 59.96 +53 58 47.75 30189  51 1 1
07 59 08.58 +53 54 32.44 30492  51 1 1
07 59 27.05 +53 57 37.37 30075  15 1 1
07 59 37.72 +54 16 52.97 31184  51 1 1
07 59 41.10 +54 00 34.45 31211  48 1 1
07 59 42.03 +53 56 43.01 30420  42 1 1
07 59 54.41 +54 01 01.20 30129  57 1 1
07 59 55.49 +53 58 37.06 30201  42 1 1
07 59 56.83 +54 03 03.71 31208  48 1 1
07 59 58.88 +53 56 18.96 31310  45 1 1
08 00 01.80 +54 03 09.29 31094  51 1 1
08 00 05.69 +53 56 50.42 30480  42 1 1
08 00 17.06 +54 05 04.52 30507  42 1 1
08 00 28.39 +54 06 31.93 30552  27 1 1
08 00 32.25 +53 58 18.52 31118  42 1 1
08 00 36.23 +54 03 12.85 31106  39 1 1
08 00 46.97 +54 03 17.60 31055  45 1 1
08 00 51.63 +54 04 46.85 30828  48 1 1
08 01 00.14 +54 04 12.22 31190  39 1 1
08 01 04.12 +54 07 59.41 30648  51 1 1
08 01 07.81 +53 59 45.49 30201  45 1 1
08 01 19.73 +53 54 13.39 31244  51 1 1
08 01 29.78 +53 50 45.42 30078  45 1 1
08 01 34.70 +53 57 17.28 30204  39 1 1
08 01 34.90 +53 58 20.86 31115  45 1 1
08 02 55.39 +54 20 27.89 30755  09 1 1
08 03 24.06 +53 43 32.99 30820  05 1 1
08 04 07.20 +53 36 56.02 30752  09 1 1
08 12 58.70 +46 52 43.03 38474  08 1 1
08 14 02.83 +46 48 44.64 38554  10 1 1
08 15 06.18 +46 57 46.80 38329  08 1 1
08 15 27.00 +47 08 07.55 38457  09 1 1
08 15 44.01 +46 39 05.51 38292  11 1 1
08 15 49.91 +47 41 32.32 37713  05 1 1
08 15 52.15 +46 41 42.65 38281  08 1 1
08 16 53.02 +47 02 10.97 38443  12 1 2
08 17 09.62 +47 01 59.34 37966  11 1 2
08 17 12.66 +46 47 57.12 38193  10 1 2
08 17 49.07 +45 51 04.50 38301  04 1 1
08 18 33.27 +46 57 15.37 37709  07 1 2
08 18 35.24 +47 28 25.75 38861  09 1 1
08 18 36.76 +47 04 02.03 38538  08 1 2
08 18 38.07 +47 31 54.95 38860  08 1 1
08 18 44.63 +47 17 23.35 37906  09 1 2
08 19 02.80 +47 46 24.56 37494  05 1 1
08 19 10.89 +47 00 56.77 37927  33 1 2
08 19 24.06 +47 46 37.38 38006  12 1 2
08 19 36.64 +47 35 12.55 38454  08 1 2
08 19 41.96 +46 54 54.79 38176  42 1 2
08 19 56.44 +47 35 29.29 37946  07 1 2
08 20 10.73 +46 58 07.50 37999  45 1 2
08 20 39.50 +46 53 21.73 38466  39 1 2
08 20 42.37 +47 08 26.63 38403  36 1 2
08 20 50.48 +47 20 47.58 38666  09 1 2
08 20 51.57 +47 13 50.66 38337  39 1 2
08 21 26.78 +47 03 33.19 38475  42 1 2
08 21 33.61 +47 02 37.28 38447  11 1 2
08 21 36.31 +47 07 16.36 37789  45 1 2
08 21 38.71 +47 03 34.16 37129  42 1 1
08 21 43.48 +47 11 45.71 38343  45 1 2
08 21 45.29 +47 09 51.55 37390  39 1 2
08 21 51.89 +47 20 07.55 38583  45 1 2
08 21 58.78 +46 59 49.16 38550  45 1 2
08 22 04.97 +47 05 10.28 38556  51 1 2
08 22 09.55 +47 05 52.87 38098  04 1 2
08 22 11.51 +47 13 17.22 37501  42 1 2
08 22 16.58 +48 15 19.19 38099  14 1 2
08 22 17.43 +47 42 59.15 37913  06 1 2
08 22 18.72 +47 03 33.95 36470  15 1 1
08 22 19.92 +47 11 22.13 36251  51 1 1
08 22 20.54 +46 59 13.67 37105  48 1 1
08 22 20.97 +48 10 57.22 38257  07 1 2
08 22 21.76 +47 07 32.95 38544  60 1 2
08 22 23.50 +47 00 29.45 38370  42 1 2
08 22 23.71 +47 08 44.20 39561  45 1 1
08 22 25.63 +47 04 15.42 36374  48 1 1
08 22 28.00 +47 07 39.07 38898  42 1 2
08 22 33.82 +44 16 01.88 43637  10 1 1
08 22 40.87 +47 09 28.91 37630  36 1 2
