01 50 49.556 +01 02 12.196  69153  35 10.56 Q 0
01 50 50.707 +01 04 06.564 113666  33 13.70 Q 0
01 50 52.011 +00 52 56.928 122005  36 12.00 Q 0
01 50 52.308 +01 05 49.391 188459  23 13.49 Q 0
01 50 52.987 +00 58 50.880 106822  48 08.77 Q 0
01 50 53.390 +00 53 45.420  68681  38 11.53 Q 1
01 50 53.645 +01 04 45.840  83518  36 10.82 Q 0
01 50 54.372 +01 04 44.400  83779  33 12.66 Q 0
01 50 54.541 +01 03 13.734  27612  25 15.29 Q 0
01 50 54.589 +00 53 55.082  57260  35 10.44 Q 0
01 50 54.715 +01 00 35.280 122614  23 16.04 Q 0
01 50 55.548 +01 01 03.360  66311  59 04.91 Q 0
01 50 55.682 +01 00 50.724  66102  30 14.62 Q 0
01 50 57.161 +00 49 09.912 122024  41 07.63 Q 0
01 50 58.296 +00 51 39.852 144008  50 06.64 Q 0
01 50 58.305 +01 06 58.975  54804  26 16.88 Q 0
01 51 00.045 +01 10 11.769  67962  44 10.54 Q 0
01 51 00.096 +01 05 28.068  77019  38 13.49 Q 0
01 51 00.545 +01 01 01.956  77099  39 10.37 Q 0
01 51 00.765 +00 56 34.908 147402  25 10.24 Q 0
01 51 01.138 +01 05 00.348  77556  40 09.74 Q 0
01 51 01.337 +00 51 26.568 107172  39 07.61 Q 0
01 51 01.594 +00 53 00.344 107392  42 06.59 Q 0
01 51 01.798 +00 57 45.558  27591  41 07.58 Q 0
01 51 02.093 +00 55 27.019  18066  17 14.67 Q 0
01 51 02.167 +00 51 05.688 107853  29 16.36 Q 0
01 51 02.525 +00 51 00.288 107333  41 09.96 Q 0
01 51 02.818 +01 05 28.212  76969  28 19.01 Q 0
01 51 03.317 +00 41 57.048  75611  39 12.87 Q 0
01 51 03.658 +01 10 43.284  54372  30 18.82 Q 0
01 51 03.660 +00 50 35.844 107925  50 06.24 Q 0
01 51 04.044 +01 11 16.368 133342  44 08.33 Q 0
01 51 04.279 +00 59 26.905  25756  17 17.88 Q 0
01 51 05.106 +01 12 21.957  54640  40 09.27 Q 0
01 51 05.424 +01 06 08.028 117042  28 11.72 Q 0
01 51 06.055 +00 48 26.316 137939  49 06.80 Q 0
01 51 06.348 +00 52 23.592  99792  19 12.71 Q 0
01 51 07.104 +00 43 41.282  75675  38 09.74 Q 0
01 51 08.009 +01 03 42.840  83625  40 09.51 Q 0
01 51 08.866 +01 08 35.088  54436  36 13.27 Q 0
01 51 08.988 +00 43 00.682  18026  17 17.63 Q 0
01 51 10.240 +01 00 35.500  62806  24 18.48 Q 0
01 51 10.598 +00 49 22.440  88594  43 08.73 Q 0
01 51 10.947 +00 56 50.608  80751  24 18.99 Q 0
01 51 11.563 +01 13 54.912 106855  39 08.18 Q 0
01 51 12.211 +01 14 19.500  75809  47 07.74 Q 0
01 51 12.751 +01 08 45.312  40226  70 04.28 Q 0
01 51 12.782 +00 58 56.028  71492  33 14.41 Q 0
01 51 13.763 +00 42 29.441  31959  24 16.73 Q 0
01 51 13.881 +00 56 59.100  78110  41 08.67 Q 0
01 51 14.062 +00 51 23.580  71642  30 13.07 Q 0
01 51 14.746 +01 00 57.420  79200  34 09.25 Q 0
01 51 15.317 +01 14 56.832  71691  30 16.14 Q 0
01 51 15.427 +00 58 48.792  77474  42 10.51 Q 0
