muse_id model virial_velocity virial_velocity_err log_Mvir log_Mdvir_err concentration concentration_err rs_kpc rs_kpc_err rhos rhos_err log_X log_X_err
3 DC14 126.27302053440118 7.289079538916234 11.75867459743989 0.07407093979791769 11.60586459481388 1.4579090122652842 9.379458182615314 1.8191151326674408 13890498.898429714 4169746.3551403196 -1.7162496336143993 0.07926756893906524
11 DC14 147.4725389089124 6.037321780656576 11.832606697021264 0.05311737695933089 10.583462485502505 1.2908005223511407 8.526487153735241 1.4915477578077874 19393119.656204123 5196215.185917475 -1.851793990852318 0.08062757745873629
12 DC14 154.7537470212452 10.570362792930199 11.907307851148495 0.08861337248478864 13.245228562345623 0.720515046504683 6.4380578383385165 0.7803375534342533 32506355.954643022 4152962.750196108 -2.8991896063036697 0.10762660245198663
13 DC14 80.60883470141235 3.6103374372768577 11.05747429463039 0.05683835625511272 16.441364188056394 1.6933205043482848 2.8260712046611736 0.78519946110109 48824596.915664636 9920317.405202819 -2.4777779856513917 0.3025195062106487
15 DC14 106.75312347706385 3.016576931067492 11.524785521546164 0.03666590131954373 23.364134012848467 1.834547063922217 6.935975387040112 3.538465147554577 59467671.01442975 19794878.580727562 -1.3065758129121938 0.09485593581813649
17 DC14 298.17408869742354 2.1759598405766725 12.807256380309138 0.009574137011888448 5.073887513962067 0.09154256945618139 38.900291662156725 0.7394669316310323 2412793.105814064 99046.55895853782 -2.257404564280843 0.030348346742275087
21 DC14 81.03065196684818 3.077034582010538 11.094713273523647 0.04864512158754134 22.33096149402776 3.0606876935072975 2.5841575575597364 1.1247787075659248 104725022.52620834 29914402.832714014 -1.6592592570187166 0.10790148052879946
25 DC14 121.74113504652291 8.981031303932545 11.643779271010516 0.09492776741583542 13.030209862261922 2.9360703700899715 6.415204349346311 2.2702834998848394 23159032.552161153 12756166.970292727 -1.962263983519278 0.3591778450311561
26 DC14 141.0336227203197 10.321169134994733 11.74729213752807 0.09162938681008706 17.8216078260566 1.5966478688078756 4.204158741134504 0.9919272257711015 69937856.54064688 13230762.62958338 -2.4734181722039708 0.30602588307330203
26 DC14 103.41381870085029 2.070106270181595 11.343059873367778 0.026090397233468975 24.357777614131457 0.8436582785932925 2.37031998699371 0.1206503733658817 155047390.7902422 10620665.930205926 -2.008569327906798 0.03876200500763077
28 DC14 140.22791277856084 11.749705109050312 11.84835075082472 0.1064502038964799 24.290637446574422 0.8387127977193989 4.213493788967107 0.3598850388410067 95065916.0876837 8966249.888590585 -1.952046165524647 0.09806976564599822
32 DC14 96.77576095238271 5.3575767720023375 11.21059836025542 0.07130748878848572 11.574494024566487 1.0217033837497307 3.980049909800964 0.6062521368630187 31274275.310652513 6637145.500940135 -2.4694416256610037 0.2687379472150666
37 DC14 140.98512243722567 18.785818845540554 11.790409137618974 0.1737417925607045 6.0207673516103455 0.4841736615889973 13.055038225278722 2.578005270635257 5030720.176346048 837031.770028433 -2.8534215335044717 0.12439847998874831
