muse_id model virial_velocity virial_velocity_err log_Mdisk log_Mdisk_err log_Mgas log_Mgas_err
3 baryons_only 161.04261068106018 81.53089940642724 10.798769950862319 0.0012925761284022408 10.192112764304513 0.10667648053646352
11 baryons_only 156.18204785844873 81.66147877308337 10.778396363941006 0.006731531540573269 10.313642621720454 0.11592281483599237
12 baryons_only 155.88595940442883 81.13492811611475 8.955377408448333 0.26409628434465793 10.40409622030515 0.11008599398468194
13 baryons_only 157.4750525558859 83.59883929184942 10.11240509940968 0.005139093914496943 10.235743890747631 0.114046584690333
15 baryons_only 148.197803719217 80.39099930040295 10.799334038803842 0.0007419395672573704 10.255690923960774 0.1084407620289361
17 baryons_only 159.66552045590336 81.14042402178526 10.78647341593607 0.013239926289631684 10.047819898015826 0.11626497675610202
21 baryons_only 159.33711982152724 81.37804783981109 10.414999465104124 0.008159912635834073 10.137240380234296 0.11382339684491713
25 baryons_only 160.29305438019912 82.02263979975417 10.531354258191874 0.011237223126173618 10.011908397321973 0.11309834545534371
26 baryons_only 163.14530720110787 81.95280214848495 10.401658906737113 0.006646403669062255 10.159050674482518 0.11702723585013453
28 baryons_only 155.42917987936323 84.11090603874929 10.421716484363198 0.015859029515334643 10.20602760768461 0.11725391047827166
32 baryons_only 152.9116106428227 81.20602268583744 10.218888824376332 0.01920762552450222 10.030289722469835 0.1128311609326627
36 baryons_only 146.55357790512042 80.30847497346299 10.101815028215942 0.0741309040497954 10.241815004311196 0.1111773049623445
37 baryons_only 168.28967381475974 80.25841436971874 9.915143511649045 0.012373881254339093 9.816977100067943 0.1042905232090011
45 baryons_only 157.99714815837635 81.76225991535101 10.65336884951323 0.034320483950093024 9.941338848703344 0.1126982068446109
66 baryons_only 162.4602229642682 85.7285082042081 9.745675109303244 0.03192876704884698 9.763218658133965 0.11169530343041886
72 baryons_only 149.66355215537826 80.41219043311305 9.377381086982442 0.06840426488848406 9.864316911388311 0.11482627925164263
95 baryons_only 156.45282967137973 83.5730201728146 10.022234735652566 0.048492943567522775 9.913476983984648 0.11407932715975223
859 baryons_only 160.7565938139836 78.9872963552093 9.645835837826702 0.6432495884682544 10.545228987040105 0.11296439041189477
863 baryons_only 153.70561635658288 82.31592606470952 10.547629718821653 0.0005624295235896569 10.30602242247603 0.0028018490359453326
864 baryons_only 151.5491139795979 25.972589998340293 10.79782566026139 0.0011252256453244782 10.55098125113319 0.0979803482960573
875 baryons_only 162.1660230654848 79.54514516060843 10.799459016580133 0.0006581483605610635 10.182521196187052 0.09704109197209249
876 baryons_only 159.70993802176855 84.04896073661388 9.792102258576982 0.005838143064979489 10.254542645806058 0.1140895162374274
884 baryons_only 149.36176029763482 82.3914816973083 9.272767491989423 0.1616730770861134 10.25033358784519 0.11246329499930581
887 baryons_only 157.0989747897687 81.32175755957145 10.68471776969833 0.019773722112106394 10.217428149233706 0.11436855609057278
888 baryons_only 153.3922825164969 82.989121888515 10.204130412393082 0.005179680474836916 10.101426059473749 0.11304261878269777
899 baryons_only 159.29538446395605 82.08190395909328 10.559621574859445 0.00956493443487481 10.401127458294908 0.11497541608615373
901 baryons_only 153.82017367918428 80.35424746076292 10.747178734538494 0.010044497771885612 10.084020759343154 0.11738714013578483
905 baryons_only 152.05697316381108 81.20286595952642 10.199781971217428 0.07265492900003664 10.355646220100915 0.11108367633142689
909 baryons_only 154.75529752522993 80.34280828504087 10.08411504539173 0.011065143338149643 9.987585650455834 0.11617477148158269
910 baryons_only 157.3547196306243 82.3285144222544 9.562247534484381 0.04127647006830842 9.799904174681851 0.11415900183969381
911 baryons_only 153.90389225920924 80.641231094803 10.799314454508137 0.0007155179481875295 10.051621659527164 0.1062158450493656
915 baryons_only 152.6849969300461 81.86081673786757 10.483427959329168 0.02977714740823252 9.934164696770031 0.11101731513974257
916 baryons_only 160.74900829034925 81.24548809948492 10.79890599671629 0.0011745617997032845 10.351361243529745 0.11376676804393797
918 baryons_only 170.7392106128256 79.25502317088699 8.576454537160913 0.06560772786439913 9.911111122000857 0.11226305601097991
925 baryons_only 165.0049492577665 81.2967873405455 10.799734356659316 0.0002798312422924681 10.26259447355885 0.08757669800604673
926 baryons_only 152.3598750396504 82.79093004411416 9.797835715972957 0.00927773742374957 10.020970866662255 0.11375299020831445
927 baryons_only 155.27626992570785 81.84709244484874 10.152649741708974 0.08050368985438813 10.066992154147261 0.11343523457053781
929 baryons_only 151.71992083297565 79.84788518007736 10.767878019583975 0.011745777502490147 10.05147094487589 0.11464185360219359
931 baryons_only 160.3448586467349 82.9798449802209 9.763088821890126 0.01774230697039165 9.786237568847408 0.11329381677509337
933 baryons_only 152.55273467315632 82.21254803788766 10.378316941843613 0.05555230386117347 10.124625164281804 0.11047192512272334
934 baryons_only 155.5011510057436 82.05432376619767 10.518926147297083 0.011368467801309384 10.212834670757424 0.11489652340294651
937 baryons_only 163.3398866402233 78.5005878701461 10.745591485170113 0.00954939733401539 10.075890402700335 0.11412397129936076
939 baryons_only 156.0145866419545 82.80756638839281 10.788431982411602 0.013716426089031685 10.257146488699977 0.11137856954125108
941 baryons_only 157.5068726592566 80.41607105523838 9.94650684568492 0.037775871533347875 10.015285518622056 0.11445444045860104
945 baryons_only 160.9918801642369 79.4644653164886 8.560123271881233 0.06585193186809889 9.723213893396288 0.07732647006736948
947 baryons_only 152.91851722965873 83.15368834297131 10.446989279013469 0.020918579999842177 10.051376755291932 0.11244956361338522
948 baryons_only 156.88911482175115 79.0885240691197 10.679119097099507 0.018292912529254395 10.225326433007254 0.11195964770358885
952 baryons_only 164.3643882595091 82.06903251201845 9.623739102320792 0.0362966080619655 10.191645729537068 0.11462597346852467
956 baryons_only 154.3738405190865 80.84698607572422 10.008735183370675 0.19457705398700345 10.164018316142997 0.1119187724739016
958 baryons_only 158.07423561979175 79.30463221050181 9.376897028798298 0.05146239415154999 9.723814447261033 0.11415966103043057
961 baryons_only 157.43840990239582 80.37836675514689 9.624569624085733 0.02246357803081373 9.671298007508792 0.1168318743498082
963 baryons_only 162.86580646783912 78.2531307639172 9.566304091192134 0.014856373957515654 9.907782624239116 0.11796342945063833
968 baryons_only 161.17773128354852 80.90459964943351 10.208325227780009 0.044688090706658655 10.265516710816383 0.1149821063056782
975 baryons_only 162.08796931338006 79.45320629718285 10.789427373187838 0.01100485092433982 10.161957980879611 0.11188538242261946
977 baryons_only 152.8098759356329 81.19003479772843 10.11535079761687 0.07600986083151852 9.764957388743284 0.1119132876413453
978 baryons_only 152.1785381219083 81.01256867208471 9.933973885878654 0.01702059692477426 9.993925360342763 0.11333100629080332
982 baryons_only 155.33986251808778 84.13473861529715 10.34052551373452 0.012132759126475288 10.08663317285341 0.10323499318646372
983 baryons_only 159.757882862531 81.64288568433894 9.621326001674017 0.09680195278213581 9.857107068939705 0.11558850954775611
987 baryons_only 168.66898049288545 83.3122065339274 9.884654818158621 0.09176738521041816 9.918893022623829 0.11542198162235721
995 baryons_only 157.41480746777864 81.40578373075614 10.439047819970225 0.045653682040834496 10.062282635367037 0.11663260612441492
1000 baryons_only 159.46309654609618 82.90683945088267 10.215703029131486 0.010184489062273006 10.108138830680382 0.11633027120151652
1002 baryons_only 159.38880345898747 81.55004338632286 10.365611834850224 0.007355690710682919 9.99779041862504 0.10866040894584321
1005 baryons_only 165.35451296465055 82.2630625821251 8.73575712238574 0.07321685481091632 10.012327660525942 0.11499819943007697
1007 baryons_only 160.7915918770137 80.8358921601115 9.519509496992294 0.22416331289655336 9.87414913337343 0.1149441196703759
1008 baryons_only 153.3483170184003 80.65668370797853 9.278837178596882 0.05894619122243372 9.715395115683537 0.11614294425611779
1013 baryons_only 157.2555427622435 80.04588112690591 9.520975492009148 0.06459058842129342 9.837632625998245 0.11449536731792023
1022 baryons_only 159.69970498834118 82.1986913322981 9.594943053214806 0.01911066716322625 9.924830852411677 0.11357702111474724
1029 baryons_only 147.14391902709184 80.81427727350196 10.089831465928729 0.0639016710932721 10.104569251481545 0.11409482629244679
1031 baryons_only 162.85322921357294 79.83172569692252 9.874103055342578 0.04945412587674892 10.14613575571598 0.11071451516942346
1035 baryons_only 151.82478227375665 82.92468987259868 10.25923417262753 0.049566695892257255 9.95761415583531 0.11326901888014616
1037 baryons_only 160.52571454354754 80.67443255616183 9.611444769188871 0.01765514025538727 9.80570500295379 0.11477859389879366
1040 baryons_only 161.17152098595972 83.68835645517346 9.800082657656267 0.03960703204689384 9.84765983014455 0.11425745327286826
1041 baryons_only 150.70705391658893 83.9003732398909 10.049774431260117 0.025849158979387686 10.070889850220581 0.112046235028095
1046 baryons_only 154.63176592341156 81.69981719345084 9.829016988026993 0.024684673687630877 10.02408700472009 0.11404007767631887
1047 baryons_only 158.73252439067065 81.25751960066965 10.004668921655066 0.03525681205775534 9.904828214957213 0.11598973625001238
1053 baryons_only 162.2887707974819 82.97990522925859 10.630340373174104 0.017845763689179155 10.005084612357942 0.11469874509960196
