muse_id z r_kpc incl PA Mstar eMstar SFR eSFR
6877 0.73435026 4.472952729996949 49.19437970442268 13.720000267028809 9.307 0.065 0.267 0.22
6879 1.4265369 4.651226863724058 57.411184882060894 -54.060001373291016 9.337 0.14 0.362 0.09
6881 1.136561 1.2827142464958017 59.24200227911282 4.389999866485596 9.242 0.025 -0.113 0.375
6885 1.2157588 0.8640638172561714 53.759952677878935 -36.279998779296875 8.817 0.0 -0.333 0.03
6887 0.99634886 1.2488541481041167 39.96749566015436 60.459999084472656 8.797 0.09 -0.493 0.06
6893 1.4131321 1.2279385155829126 64.79057904529591 43.40999984741211 9.372 0.125 -0.128 0.15
6901 1.3415313 0.6989563512181081 45.524898852128466 51.119998931884766 9.072 0.035 -0.298 0.03
6907 0.53504723 2.50404600778533 67.62404604901911 86.56999969482422 7.497 0.125 -1.723 0.12
6927 1.4165387 1.228119060232728 73.55244109634398 66.83999633789062 8.677 0.15 -0.548 0.09
6935 0.66666836 1.386150999008215 38.096085045119274 40.88999938964844 9.017 0.05 0.077 0.385
6943 1.2205966 4.495564137541867 51.022341481448606 -74.23999786376953 10.02 0.16 0.157 0.65
6949 0.90704346 1.4627796532585653 36.213292909607006 0.7799999713897705 8.557 0.11 -0.403 0.175
6951 0.66462225 0.9471994445406894 39.03314193992836 -30.670000076293945 8.677 0.1 -0.533 1.065
6953 1.0373474 22.348660950870695 32.40897743859657 -72.08000183105469 8.762 0.085 -0.233 0.095
6955 0.4240754 6.613771259906477 53.759952677878935 75.51000213623047 7.682 0.125 -0.728 0.29
6961 0.82738924 1.6599147200381152 45.524898852128466 -47.459999084472656 8.272 0.085 -0.548 0.32
6963 0.43107304 0.8200373256582587 66.67314343624743 83.05999755859375 7.832 0.06 -1.523 0.1
6965 1.099807 1.5302296922530925 61.07980392276708 -37.849998474121094 8.877 0.06 -0.208 0.07
6971 1.0867779 1.0178458958921863 48.278962954227964 71.22000122070312 8.652 0.0 0.197 0.29
6977 1.4383444 1.0535840619553167 67.62404604901911 76.5199966430664 9.207 0.02 0.052 0.035
6987 0.83247685 3.0887799202188386 57.411184882060894 38.2599983215332 8.647 0.0 -1.023 0.035
7025 1.1871787 1.1194624195786333 64.79057904529591 -15.109999656677246 8.942 0.04 -0.518 0.02
7039 1.3435055 0.8738078984795469 30.48512217570619 2.8299999237060547 8.632 0.05 -0.428 0.045
7049 0.72167945 0.9790652652407968 70.52951109757946 63.0 8.242 0.125 -0.968 0.85
7055 1.1876212 16.362283097525488 68.58280707852482 -65.66999816894531 8.717 0.035 -0.608 0.07
7097 0.7196836 1.0532555432079846 66.67314343624743 -12.630000114440918 7.797 0.215 -0.768 0.365
7217 0.737305 0.7592716975176517 79.14203723594564 24.1299991607666 7.462 0.08 -1.778 0.6
7381 "" 0.0 52.84772515973276 83.8499984741211 "" "" "" ""
7382 1.0938524 4.161366969314933 73.55244109634398 83.13999938964844 9.512 0.25 1.442 0.03
