birth,death,persistence
0.0,3.757699489593506,3.757699489593506
0.0,3.759737253189087,3.759737253189087
0.0,3.76871395111084,3.76871395111084
0.0,3.7712903022766113,3.7712903022766113
0.0,3.7731149196624756,3.7731149196624756
0.0,3.7775440216064453,3.7775440216064453
0.0,3.7784805297851562,3.7784805297851562
0.0,3.7798311710357666,3.7798311710357666
0.0,3.7819414138793945,3.7819414138793945
0.0,3.782034397125244,3.782034397125244
0.0,3.784203052520752,3.784203052520752
0.0,3.78590726852417,3.78590726852417
0.0,3.7874298095703125,3.7874298095703125
0.0,3.7878317832946777,3.7878317832946777
0.0,3.7879436016082764,3.7879436016082764
0.0,3.7882204055786133,3.7882204055786133
0.0,3.7891509532928467,3.7891509532928467
0.0,3.789341449737549,3.789341449737549
0.0,3.790489435195923,3.790489435195923
0.0,3.7906410694122314,3.7906410694122314
0.0,3.790790557861328,3.790790557861328
0.0,3.7908008098602295,3.7908008098602295
0.0,3.790853261947632,3.790853261947632
0.0,3.793734550476074,3.793734550476074
0.0,3.793837547302246,3.793837547302246
0.0,3.793933868408203,3.793933868408203
0.0,3.795039176940918,3.795039176940918
0.0,3.7957773208618164,3.7957773208618164
0.0,3.7985196113586426,3.7985196113586426
0.0,3.799694776535034,3.799694776535034
0.0,3.8001842498779297,3.8001842498779297
0.0,3.800191879272461,3.800191879272461
0.0,3.8005781173706055,3.8005781173706055
0.0,3.8008100986480713,3.8008100986480713
0.0,3.801279067993164,3.801279067993164
0.0,3.8013031482696533,3.8013031482696533
0.0,3.80220103263855,3.80220103263855
0.0,3.8026795387268066,3.8026795387268066
0.0,3.803175210952759,3.803175210952759
0.0,3.803809404373169,3.803809404373169
0.0,3.8038392066955566,3.8038392066955566
0.0,3.804030656814575,3.804030656814575
0.0,3.8044393062591553,3.8044393062591553
0.0,3.8052356243133545,3.8052356243133545
0.0,3.8054850101470947,3.8054850101470947
0.0,3.805750846862793,3.805750846862793
0.0,3.806072473526001,3.806072473526001
0.0,3.8062071800231934,3.8062071800231934
0.0,3.8072686195373535,3.8072686195373535
0.0,3.807471752166748,3.807471752166748
0.0,3.8074944019317627,3.8074944019317627
0.0,3.807899236679077,3.807899236679077
0.0,3.8079094886779785,3.8079094886779785
0.0,3.80867862701416,3.80867862701416
0.0,3.8091065883636475,3.8091065883636475
0.0,3.809401035308838,3.809401035308838
0.0,3.8095366954803467,3.8095366954803467
0.0,3.810105562210083,3.810105562210083
0.0,3.8110148906707764,3.8110148906707764
0.0,3.811143159866333,3.811143159866333
0.0,3.812636137008667,3.812636137008667
0.0,3.8135251998901367,3.8135251998901367
0.0,3.8140668869018555,3.8140668869018555
0.0,3.8143110275268555,3.8143110275268555
0.0,3.81451416015625,3.81451416015625
0.0,3.814957618713379,3.814957618713379
0.0,3.8163564205169678,3.8163564205169678
0.0,3.8173789978027344,3.8173789978027344
0.0,3.81738018989563,3.81738018989563
0.0,3.8179514408111572,3.8179514408111572
0.0,3.8184962272644043,3.8184962272644043
0.0,3.8192341327667236,3.8192341327667236
0.0,3.819610118865967,3.819610118865967
0.0,3.8200716972351074,3.8200716972351074
0.0,3.8204143047332764,3.8204143047332764
0.0,3.8207314014434814,3.8207314014434814
0.0,3.8209927082061768,3.8209927082061768
0.0,3.821035146713257,3.821035146713257
0.0,3.821368932723999,3.821368932723999
0.0,3.8223233222961426,3.8223233222961426
0.0,3.823000192642212,3.823000192642212
0.0,3.8230292797088623,3.8230292797088623
0.0,3.823160409927368,3.823160409927368
0.0,3.8233866691589355,3.8233866691589355
0.0,3.8243298530578613,3.8243298530578613
0.0,3.8250951766967773,3.8250951766967773
0.0,3.8255064487457275,3.8255064487457275
0.0,3.827111005783081,3.827111005783081
0.0,3.8281610012054443,3.8281610012054443
0.0,3.8283188343048096,3.8283188343048096
0.0,3.828507423400879,3.828507423400879
0.0,3.8290598392486572,3.8290598392486572
0.0,3.829176425933838,3.829176425933838
0.0,3.832023859024048,3.832023859024048
0.0,3.8328914642333984,3.8328914642333984
0.0,3.833930253982544,3.833930253982544
0.0,3.8345565795898438,3.8345565795898438
0.0,3.835871458053589,3.835871458053589
0.0,3.837346315383911,3.837346315383911
0.0,3.8382515907287598,3.8382515907287598
0.0,3.838376522064209,3.838376522064209
0.0,3.8389296531677246,3.8389296531677246
0.0,3.840012788772583,3.840012788772583
0.0,3.842376947402954,3.842376947402954
0.0,3.8450119495391846,3.8450119495391846
0.0,3.8482964038848877,3.8482964038848877
0.0,3.850515365600586,3.850515365600586
0.0,3.855015516281128,3.855015516281128
0.0,3.8550949096679688,3.8550949096679688
0.0,3.8572325706481934,3.8572325706481934
0.0,4.345729827880859,4.345729827880859
0.0,inf,inf
