birth,death,persistence
0.0,3.70917010307312,3.70917010307312
0.0,3.752389669418335,3.752389669418335
0.0,3.7551348209381104,3.7551348209381104
0.0,3.7596261501312256,3.7596261501312256
0.0,3.764863967895508,3.764863967895508
0.0,3.766495704650879,3.766495704650879
0.0,3.7670652866363525,3.7670652866363525
0.0,3.7671215534210205,3.7671215534210205
0.0,3.76749324798584,3.76749324798584
0.0,3.7678370475769043,3.7678370475769043
0.0,3.7683894634246826,3.7683894634246826
0.0,3.7699460983276367,3.7699460983276367
0.0,3.770033597946167,3.770033597946167
0.0,3.77056622505188,3.77056622505188
0.0,3.7708792686462402,3.7708792686462402
0.0,3.771451234817505,3.771451234817505
0.0,3.771991014480591,3.771991014480591
0.0,3.7725038528442383,3.7725038528442383
0.0,3.7728431224823,3.7728431224823
0.0,3.7731761932373047,3.7731761932373047
0.0,3.7733335494995117,3.7733335494995117
0.0,3.7735869884490967,3.7735869884490967
0.0,3.7741525173187256,3.7741525173187256
0.0,3.7748355865478516,3.7748355865478516
0.0,3.774970293045044,3.774970293045044
0.0,3.778289318084717,3.778289318084717
0.0,3.778301954269409,3.778301954269409
0.0,3.778637647628784,3.778637647628784
0.0,3.7790637016296387,3.7790637016296387
0.0,3.779090642929077,3.779090642929077
0.0,3.7793800830841064,3.7793800830841064
0.0,3.7795748710632324,3.7795748710632324
0.0,3.780298948287964,3.780298948287964
0.0,3.7805700302124023,3.7805700302124023
0.0,3.7809720039367676,3.7809720039367676
0.0,3.7810440063476562,3.7810440063476562
0.0,3.7812631130218506,3.7812631130218506
0.0,3.7814338207244873,3.7814338207244873
0.0,3.781524658203125,3.781524658203125
0.0,3.7815771102905273,3.7815771102905273
0.0,3.7817394733428955,3.7817394733428955
0.0,3.7820239067077637,3.7820239067077637
0.0,3.7826919555664062,3.7826919555664062
0.0,3.783071994781494,3.783071994781494
0.0,3.783747911453247,3.783747911453247
0.0,3.7838103771209717,3.7838103771209717
0.0,3.7839179039001465,3.7839179039001465
0.0,3.783940553665161,3.783940553665161
0.0,3.784594774246216,3.784594774246216
0.0,3.7847063541412354,3.7847063541412354
0.0,3.784830331802368,3.784830331802368
0.0,3.7848780155181885,3.7848780155181885
0.0,3.785114288330078,3.785114288330078
0.0,3.7851765155792236,3.7851765155792236
0.0,3.7853572368621826,3.7853572368621826
0.0,3.785421848297119,3.785421848297119
0.0,3.7854597568511963,3.7854597568511963
0.0,3.785609483718872,3.785609483718872
0.0,3.7857463359832764,3.7857463359832764
0.0,3.7858269214630127,3.7858269214630127
0.0,3.786018133163452,3.786018133163452
0.0,3.786254644393921,3.786254644393921
0.0,3.786461353302002,3.786461353302002
0.0,3.786921739578247,3.786921739578247
0.0,3.787155866622925,3.787155866622925
0.0,3.787248373031616,3.787248373031616
0.0,3.7873284816741943,3.7873284816741943
0.0,3.7873570919036865,3.7873570919036865
