pdb_id,h1_death_radius
1MBN,8.60871696472168
1MBN,8.14063835144043
1MBN,8.003748893737793
1MBN,8.080841064453125
1MBN,8.535221099853516
1MBN,7.751773834228516
1MBN,8.003748893737793
1MBN,7.971198081970215
1MBN,7.547847270965576
1MBN,8.285529136657715
1MBN,7.74338436126709
1MBN,8.043009757995605
1MBN,8.545173645019531
1MBN,7.605261325836182
1MBN,7.089428901672363
1MBN,8.041144371032715
1MBN,7.590784072875977
1MBN,8.196340560913086
1MBN,8.240145683288574
1MBN,6.66783332824707
1MBN,6.319018840789795
1MBN,5.835237979888916
1MBN,5.866003513336182
1MBN,5.6267218589782715
1MBN,5.55877685546875
1MBN,5.539855480194092
1MBN,5.8292365074157715
1MBN,6.164413928985596
1MBN,5.7043843269348145
1MBN,5.595533847808838
1MBN,5.52539587020874
1MBN,5.441507339477539
1MBN,5.54075813293457
1MBN,5.835237979888916
1MBN,5.342284202575684
1MBN,5.430469512939453
1MBN,5.648008346557617
1MBN,5.471745491027832
1MBN,5.643580436706543
1MBN,6.220932483673096
1MBN,5.390732765197754
1MBN,8.191458702087402
1MBN,5.338539123535156
1MBN,6.004997730255127
1MBN,5.323532581329346
1MBN,5.441507339477539
1MBN,5.54075813293457
1MBN,5.323532581329346
1MBN,5.316013336181641
1MBN,5.492722511291504
1MBN,5.316954135894775
1MBN,8.601162910461426
1MBN,5.478138446807861
1MBN,5.223983287811279
1MBN,5.314132213592529
1MBN,5.352569580078125
1MBN,5.68242883682251
1MBN,5.437830448150635
1MBN,5.499090671539307
1MBN,5.495452880859375
1MBN,5.374941825866699
1MBN,5.482699871063232
1MBN,5.314132213592529
1MBN,5.204805374145508
1MBN,5.312250137329102
1MBN,5.125426769256592
1MBN,5.363767147064209
1MBN,5.400000095367432
1MBN,5.08625602722168
1MBN,5.085272789001465
1MBN,5.316013336181641
1MBN,5.108816146850586
1MBN,5.3860931396484375
1MBN,5.446099758148193
1MBN,5.352569580078125
1MBN,5.073460578918457
1MBN,8.7852144241333
1MBN,5.247856616973877
1MBN,5.064582824707031
1MBN,5.331978797912598
1MBN,5.363767147064209
1MBN,5.568662166595459
1MBN,5.177837371826172
1MBN,5.085272789001465
1MBN,5.3758721351623535
1MBN,4.999000072479248
1MBN,5.166236400604248
1MBN,5.204805374145508
1MBN,5.081338405609131
1MBN,5.028916358947754
1MBN,5.3758721351623535
1MBN,5.212484836578369
1MBN,5.108816146850586
1MBN,4.968903064727783
1MBN,4.980963706970215
1MBN,5.453439235687256
1MBN,5.247856616973877
1MBN,5.142956256866455
1MBN,4.983974456787109
1MBN,5.239274978637695
1MBN,4.968903064727783
1MBN,5.08625602722168
1MBN,5.316954135894775
1MBN,5.2697248458862305
1MBN,5.224940299987793
1MBN,5.3609700202941895
1MBN,5.125426769256592
1MBN,6.096720218658447
1MBN,5.150728225708008
1MBN,5.025932788848877
1MBN,5.073460578918457
1MBN,4.980963706970215
1MBN,9.708759307861328
2RH1,14.132522583007812
2RH1,10.771602630615234
2RH1,9.95432186126709
2RH1,8.836999893188477
2RH1,8.649059295654297
2RH1,9.242730140686035
2RH1,9.99368667602539
2RH1,8.782115936279297
2RH1,8.773686408996582
2RH1,8.632896423339844
2RH1,8.932842254638672
2RH1,8.416993141174316
2RH1,8.73675537109375
2RH1,8.414210319519043
2RH1,8.759895324707031
2RH1,8.867401123046875
2RH1,7.840195178985596
2RH1,8.879149436950684
2RH1,7.636756896972656
2RH1,7.512479305267334
2RH1,8.24521255493164
2RH1,7.941896438598633
2RH1,7.7183098793029785
2RH1,7.626174449920654
2RH1,7.336892604827881
2RH1,7.494791030883789
2RH1,7.6800689697265625
2RH1,7.907003402709961
2RH1,7.4114251136779785
2RH1,7.002703666687012
2RH1,8.62525749206543
2RH1,6.8108110427856445
2RH1,7.43557071685791
2RH1,8.11227035522461
2RH1,7.901193618774414
2RH1,6.853450775146484
2RH1,8.968040466308594
2RH1,8.292374610900879
2RH1,7.574075698852539
2RH1,7.068319797515869
2RH1,6.507712364196777
2RH1,7.913264274597168
2RH1,7.069819927215576
2RH1,8.234789848327637
2RH1,7.817445755004883
2RH1,7.817322731018066
2RH1,6.269534111022949
2RH1,7.5508294105529785
