birth,death,persistence
0.0,3.7616329193115234,3.7616329193115234
0.0,3.7652413845062256,3.7652413845062256
0.0,3.7772154808044434,3.7772154808044434
0.0,3.7788782119750977,3.7788782119750977
0.0,3.7800333499908447,3.7800333499908447
0.0,3.7872049808502197,3.7872049808502197
0.0,3.7887394428253174,3.7887394428253174
0.0,3.79150652885437,3.79150652885437
0.0,3.7938807010650635,3.7938807010650635
0.0,3.798140287399292,3.798140287399292
0.0,3.7987895011901855,3.7987895011901855
0.0,3.80263352394104,3.80263352394104
0.0,3.8032751083374023,3.8032751083374023
0.0,3.8038227558135986,3.8038227558135986
0.0,3.8042283058166504,3.8042283058166504
0.0,3.8043062686920166,3.8043062686920166
0.0,3.804335832595825,3.804335832595825
0.0,3.8055918216705322,3.8055918216705322
0.0,3.8086607456207275,3.8086607456207275
0.0,3.8092405796051025,3.8092405796051025
0.0,3.8134710788726807,3.8134710788726807
0.0,3.8179006576538086,3.8179006576538086
0.0,3.8184974193573,3.8184974193573
0.0,3.818530797958374,3.818530797958374
0.0,3.8208038806915283,3.8208038806915283
0.0,3.822906494140625,3.822906494140625
0.0,3.8238580226898193,3.8238580226898193
0.0,3.8261337280273438,3.8261337280273438
0.0,3.8283798694610596,3.8283798694610596
0.0,3.8287465572357178,3.8287465572357178
0.0,3.82959246635437,3.82959246635437
0.0,3.8312594890594482,3.8312594890594482
0.0,3.8356051445007324,3.8356051445007324
0.0,3.8362531661987305,3.8362531661987305
0.0,3.8394761085510254,3.8394761085510254
0.0,3.8398194313049316,3.8398194313049316
0.0,3.8400626182556152,3.8400626182556152
0.0,3.840759038925171,3.840759038925171
0.0,3.840914487838745,3.840914487838745
0.0,3.8419697284698486,3.8419697284698486
0.0,3.842097759246826,3.842097759246826
0.0,3.84439754486084,3.84439754486084
0.0,3.8541133403778076,3.8541133403778076
0.0,3.8574419021606445,3.8574419021606445
0.0,3.862877368927002,3.862877368927002
0.0,inf,inf
