birth,death,persistence
0.0,3.7473137378692627,3.7473137378692627
0.0,3.761766195297241,3.761766195297241
0.0,3.7652711868286133,3.7652711868286133
0.0,3.7667055130004883,3.7667055130004883
0.0,3.7734920978546143,3.7734920978546143
0.0,3.77815318107605,3.77815318107605
0.0,3.778278112411499,3.778278112411499
0.0,3.7802042961120605,3.7802042961120605
0.0,3.780860424041748,3.780860424041748
0.0,3.7810986042022705,3.7810986042022705
0.0,3.7822928428649902,3.7822928428649902
0.0,3.7845592498779297,3.7845592498779297
0.0,3.784632444381714,3.784632444381714
0.0,3.7853386402130127,3.7853386402130127
0.0,3.785754919052124,3.785754919052124
0.0,3.7861897945404053,3.7861897945404053
0.0,3.7867443561553955,3.7867443561553955
0.0,3.7884089946746826,3.7884089946746826
0.0,3.7909998893737793,3.7909998893737793
0.0,3.791001081466675,3.791001081466675
0.0,3.791555643081665,3.791555643081665
0.0,3.7917284965515137,3.7917284965515137
0.0,3.792091131210327,3.792091131210327
0.0,3.7921862602233887,3.7921862602233887
0.0,3.7927584648132324,3.7927584648132324
0.0,3.793081521987915,3.793081521987915
0.0,3.7935938835144043,3.7935938835144043
0.0,3.793869972229004,3.793869972229004
0.0,3.794196844100952,3.794196844100952
0.0,3.7945353984832764,3.7945353984832764
0.0,3.795020580291748,3.795020580291748
0.0,3.7951250076293945,3.7951250076293945
0.0,3.7952544689178467,3.7952544689178467
0.0,3.7954275608062744,3.7954275608062744
0.0,3.7955517768859863,3.7955517768859863
0.0,3.796299695968628,3.796299695968628
0.0,3.7964138984680176,3.7964138984680176
0.0,3.7966291904449463,3.7966291904449463
0.0,3.796886444091797,3.796886444091797
0.0,3.7971954345703125,3.7971954345703125
0.0,3.7980055809020996,3.7980055809020996
0.0,3.798417329788208,3.798417329788208
0.0,3.7984182834625244,3.7984182834625244
0.0,3.798647165298462,3.798647165298462
0.0,3.7997164726257324,3.7997164726257324
0.0,3.7997541427612305,3.7997541427612305
0.0,3.7997548580169678,3.7997548580169678
0.0,3.8000755310058594,3.8000755310058594
0.0,3.80009126663208,3.80009126663208
0.0,3.801304340362549,3.801304340362549
0.0,3.8018155097961426,3.8018155097961426
0.0,3.8021202087402344,3.8021202087402344
0.0,3.8021717071533203,3.8021717071533203
0.0,3.8023006916046143,3.8023006916046143
0.0,3.8023035526275635,3.8023035526275635
0.0,3.8026533126831055,3.8026533126831055
0.0,3.8026795387268066,3.8026795387268066
0.0,3.8026909828186035,3.8026909828186035
0.0,3.8028743267059326,3.8028743267059326
0.0,3.802889108657837,3.802889108657837
0.0,3.8033390045166016,3.8033390045166016
0.0,3.8037548065185547,3.8037548065185547
0.0,3.8039774894714355,3.8039774894714355
0.0,3.804079532623291,3.804079532623291
0.0,3.80440354347229,3.80440354347229
0.0,3.8052642345428467,3.8052642345428467
0.0,3.8065459728240967,3.8065459728240967
0.0,3.8065712451934814,3.8065712451934814
0.0,3.806619644165039,3.806619644165039
0.0,3.806856632232666,3.806856632232666
